خبر فوری همین که خبری‌ در راه است,хабари фаврӣ ҳамин ки хабаре дар роҳ аст
یا رب ز تماشای حقارت برهانم,ё раб зи тамошои ҳақорат бираҳонам
قاموس مرا خود بنویس من که ندانم,қомуси маро худ бинавис ман ки надонам
کابوس مرا پردۀ پایان برافکن,кобуси маро пардаи поён барафкан
ناموس بده از درِ روسیه برانم,номус бидеҳ аз дари русия биронам
ای یار بیا روسیه‌ات یار نباشد,эй ёр биё русияат ёр набошад
دلداده تو و روسیه دلدار نباشد,дилдода туву русия дилдор набошад
این قصه که بی روسیه روز سیه آید,ин қисса ки бе русия рӯзи сияҳ ояд
چیزی به جز از توطئۀ مار نباشد,чизе ба ҷуз аз тавтеаи мор набошад
خاک اروس روضۀ رضوان نیست که,хоки урус равзаи ризвон нест-ки
تاجیک نمایندۀ شیطان نیست که,тоҷик намояндаи шайтон нест-ки
گول بلندی موقتش چه می‌خوری,гӯли баландии муваққаташ чи мехурӣ
بالاتر از چکاد بدخشان نیست که,болотар аз чакоди бадахшон нест-ки
ای روس سرزمین دلیران نیستی,эй рус сарзамини далерон нестӣ
بودی گمان نیست ولی همان نیستی,будӣ гумон нест вале ҳамон нестӣ
یاد یـِـسـِـنین و چـِـخـُـف و پوشکین به خیر,ёди есенину чехуфу пушкин ба хайр
شایستۀ این جمع عزیزان نیستی,шоистаи каломи азизон нестӣ
می‌روم از خاک ناپاکت دد بی‌عزتا,меравам аз хоки нопокат дади беъиззато
ای دد بی‌عزت پتیاره بر تو لعنتا,эй дади беъиззати патёра бар ту лаънато
خون ملت‌ها مکیدی پیر گشتی سیر نه,хуни миллатҳо макидӣ пир гаштӣ сер на
ای تو ناسیرا عجوزه ای جهنم‌خلقتا,эй ту носеро аҷуза эй ҷаҳаннамхилқато
تا به کی چوبی شوم تا تکیه بر من آوری,бо мане ин хонаи вайронаат обод шуд
بشکند این چوب بر فرق سرت با همتا,обрӯятро барам ҳоло ба садҳо миннато
با منی این خانۀ ویرانه‌ات آباد شد,ёд дорӣ чун задӣ шаҳри бухорои шариф
آبرویت‌را برم حالا به صدها منتا,чун ба моҳи хосса овардӣ балои бехато
یاد داری چون زدی شهر بخارای شریف چون به ماه خاصه آوردی بلای بی‌خطا,чун маро куштӣ ба ҷурми ҳамли шеъри мавлавӣ
چون مرا کشتی به جرم حمل شعر مولوی,чун забонамро буридӣ бо пириликин хатто
چون زبانم‌را بریدی با پیریلیکین خطا,ёд дорӣ хонаҳоямро рабудӣ бо ғаним
یاد داری خانه‌هایم‌را ربودی با غنیم,аз самарқанду бухоро то дари панҷекато
از سمرقند و بخارا تا درِ پنجیکتا,чун ба дасти душманонам даст додию бирафт
چون به دست دشمنانم دست دادی و برفت,бойсуну чусту хӯқанду замини миллато
بایسون و چُست و خوقند و زمین ملتا,ёд дорӣ ки ба ормитожи маъруфат чи рафт
یاد داری که به آرمیتاژ معروفت چه رفت,аз дафина ёдгори ҳафт пушти уммато
از دفینه یادگار هفت پشت امتا,ёд дорӣ ки заминам пунбазоре сохтӣ
یاد داری که زمینم پنبه‌زاری ساختی,миллатам андохта чун роҳиёни зиллато
ملتم انداخته چون راهیان ذلتا می‌گسارانت به فکر بچه کردن نیستند,майгусоронат ба фикри бачча кардан нестанд
این گناه ما نویسی یا گناه فطرتا,ин гуноҳи мо нависӣ ё гуноҳи фитрато
می‌روم از خاک منحوست که با من نیستی,меравам аз хоки манҳусат ки бо ман нестӣ
با رقیبانم نشینی تا رسی بر خفتا,бо рақибонам нишинӣ то расӣ бар хиффато
خفت ما‌را علاجی هست یک شهنامه هست,хиффати моро илоҷе ҳаст як шаҳнома ҳаст
خفتت‌را لیک علاجی نیست امان از علتا,хиффататро лек илоҷе нест амон аз иллато
ای خرس روسیاه گرفتار من‌منی,эй хирси рӯсиёҳи гирифтори манманӣ
ای پیشوای گم‌شدگان هریمنی,эй пешвои гумшудагони ҳариманӣ
تا کی به زیر سایۀ تو خوار می‌شویم,то кай ба зери сояи ту хор мешавем
تا کی به خیال گرفتن و ربودنی,то кай ба хиёли гирифтану рабуданӣ
تا کی به سان مار اندرون خاک من,то кай ба сони мор андаруни хоки ман
سرگرم موذیانه روال خزیدنی,саргарми мӯзиёна раволи хазиданӣ
تا کی چو لاشه‌خوار کهن‌سال دیرمیر,то кай чу лошахори куҳансоли дермир
در وسوسۀ خوردن خسپیده میهنی,дар васвасаи хурдани хуспида меҳанӣ
ای خرس روسیاه شرور,эй хирси рӯсиёҳи шарур
آی,ой
روسیه,русия
تا چند با خرام کـَـژت تار می‌زنی,то чанд бо хироми кажат тор мезанӣ
نادم شوی آخر به تهِ چاه وهم‌ها,нодим шавӣ охир ба таҳи чоҳи ваҳмҳо
خاکت به سر که باز به سودای بردنی,хокат ба сар ки боз ба савдои бурданӣ
تا خیره‌سر شغال سیه‌طینتی بدان,то хирасар шағоли сияҳтинатӣ бидон
یار ددان و دشمن بی‌عرضۀ منی,ёри дадону душмани беъурзаи манӣ
گفتم سرشت من بنما ذات کردگار,гуфтам сиришти ман бинамо зоти кирдигор
گفتا تو‌را ز فطرت ایران سرشته‌ام,гуфто туро зи фитрати эрон сириштаам
گفتم ز یار کار مرا بهره‌ای بود,гуфтам зи ёри кор маро баҳрае бувад
گفتا تو‌را ز رشتۀ بی‌یار رشته‌ام,гуфто туро зи риштаи беёр риштаам
گفتم سپاس و ارج و نمازت برم ولی,гуфтам сипосу арҷу намозат барам вале
بیدادگری نیست مگر سرنوشته‌ام,бедодгарӣ нест магар сарнавиштаам
گفتا ز داد حرف میاور که بر زمین,гуфто зи дод ҳарф маёвар ки бар замин
از دادگری جز به فغانش نـَهشته‌ام,аз додгарӣ ҷуз ба фиғонаш наҳиштаам гуфтам
گفتم اگر فرشته فرستی به داد من,агар фаришта фиристӣ ба доди ман… гуфто
گفتا مخاطب تو خدا نی فرشته‌ام,мухотаби ту худо не фариштаам гуфтам
گفتم خدای من تو به چاهم چرا نهی,худои ман ту ба чоҳам чаро ниҳӣ
گفتا چه راه‌ها که به چاه تو کِشته‌ام,гуфто чи роҳҳо ки ба чоҳи ту киштаам
گفتم یکی بگو که روانم شود روان,гуфтам яке бигӯ ки равонам шавад равон
گفتا یکی کدام,гуфто яке кадом
هزاران نوشته‌ام,ҳазорон навиштаам
گفتم که سرآغاز ِ هزاران کدام بود,гуфтам ки сароғози ҳазорон кадом бувад
گفتا به پارسی بنگر درنبشته‌ام,гуфто ба порсӣ бинигар дарнабиштаам
نگو که چشم مرا مونس نگاه نبود,нагӯ ки чашми маро мӯниси нигоҳ набуд
و یا گلایۀ من لایق هم‌آه نبود,ва ё гилояи ман лоиқи ҳам-оҳ набуд
اگر گناه پیریلیک‌نگاری‌ام باشد,агар гуноҳ пирилликнигориам бошад
تو‌را به خدا این که هیچ گناه نبود,туро ба худо ин ки ҳеч гуноҳ набуд
پناه از حجرالاسود زمانه کجاست,паноҳ аз ҳаҷар-ул-асвади замона куҷост
مرا به غیر پیریلیک که سرپناه نبود,маро ба ғайри пириллик ки сарпаноҳ набуд
بیا دوباره بیارای خوان معرفتم,биё дубора биорой хони маърифатам
مگر شناخت به تفسیر راه و چاه نبود,магар шинохт ба тафсири роҳу чоҳ набуд
اگر دوباره به رسم نیا قلم گیرم,агар дубора ба расми ниё қалам гирам
بگو که مرحمت افزون اشتباه نبود,бигӯ ки марҳамат афзун иштибоҳ набуд
خطاب به پارسیگویان ورارود,хитоб ба порсигӯёни варорӯд
بیا برگرد این راه من و ما نیست,биё баргард ин роҳи ману мо нест
دم و دستگاه اقوام پریشانی ست,даму дастгоҳи ақвоми парешонест
بیا که خط ما در شعر مولاناست,биё ки хатти мо дар шеъри мавлоност
به کلک رودکی و بیت خاقانی ست,ба килки рӯдакию байти хоқонист
بیا که ما و تو امروز مدهوشیم,биё ки мову ту имрӯз мадҳушем
دمی سودابه و گاهی سیاووشیم,даме судобову гоҳе сиёвушем
میسر نیست با صد حله و ترفند,муяссар нест бо сад ҳиллаву тарфанд
ز گاو روس شیر پارسی دوشیم,зи гови рус шири порсӣ дӯшем
بیا که روس هم از ما گریزان شد,биё ки рус ҳам аз мо гурезон шуд
که گویی حضرت نوح است و طوفان شد,ки гӯӣ ҳазрати нӯҳ асту тӯфон шуд
به کشتی پوشکین اندر شود آخر,ба киштӣ пушкин андар шавад охир
الفبای من و تو خط بطلان شد,алифбои ману ту хатти бутлон шуд
بیا که یوسفستیم و زلیخایی,биё ки юсуфастему зулайхое
ربوده با فسونی بند تقوایی,рабуда бо фусуне банди тақвое
به یعقوبش قسم کین قصه‌را باید,ба яъқубаш қасам к-ин қиссаро бояд
به ته برد تا نگشتیم بند رسوایی ء,ба таҳ бурд то нагаштем банди расвоӣ
خراب‌تر ز من خلوتی خراب کجا,харобтар зи мани хилватӣ хароб куҷо
به خرابات ته‌نشسته‌تر شراب کجا,ба харобот таҳнишастатар шароб куҷо
به خواب رفته سرنوشت من سرگردان,ба хоб рафта сарнавишти мани саргардон
ز خواب جز به حروفش بگو که خواب کجا,зи хоб ҷуз ба ҳуруфаш бигӯ ки хоб куҷо
به بطالت سپرده عمر بی‌دریغ و چه حیف,ба батолат супурда умр бедареғу чи ҳайф
به شرافت قسم که نیست یقین باب کجا,ба шарофат қасам ки нест яқин боб куҷо
آب و نانم به دوش هرمز و حساب حرام,обу нонам ба дӯши ҳурмузу ҳисоб ҳаром
بگو که بهر من خام نان و آب کجا,бигӯ ки баҳри мани хом нону об куҷо
به آب و نان نصیبم مباد اگر دانم,ба обу нон насибам мабод агар донам
که بودنم به رهیابی شباب کجا,ки буданам ба рaҳёбии шабоб куҷо
ز شعبه‌خواه زبان و پریش قوم عجم,зи шуъбахоҳ забону пареш қавми аҷам
فرّار‌تر ز تب قسم و انشعاب کجا,фаррортар зи таби қисму иншиъоб куҷо
اگر به دار فلک گریه‌ام نصیبم بود,агар ба дори фалак гиряам насибам буд
بگو گناه کجا بوده و ثواب کجا,бигӯ гуноҳ куҷо будаву савоб куҷо…
لحظه‌های عزیمت سال,лаҳзаҳои азимати сол
خوشه‌های رسیده افتاده,хӯшаҳои расида уфтода
غژم انگور ترک‌خورده به تاک,ғужми ангури таракхурда ба ток
سیب سرخ به باغ ناپیدا,себи сурхи ба боғ нопайдо
باغ پرحادثۀ سرگردان ء,боғи пурҳодисаи саргардон
دیری‌ست از عزیمت مرغان نگفته‌ام,дерест аз азимати мурғон нагуфтаам
گویی که این حدیث به عقبی نهفته‌ام,гӯӣ ки ин ҳадис ба уқбо нуҳуфтаам
دیری‌ست شدّه‌های دل بی‌پدرشده,дерест шаддаҳои дили бепадаршуда
با اشک بی‌پدرشدگانم نسفته‌ام,бо ашки бепадаршудагонам насуфтаам
با پلک شاد از فرح روزگار هم,бо пилки шод аз фараҳи рӯзгор ҳам
دیری‌ست از جفای بلایا نخفته‌ام,дерест аз ҷафои балоё нахуфтаам
این غم چو برگ‌های خزان فروشده,ин ғам чу баргҳои хазони фурӯшуда
تا عمق قلب زار به‌ناچار رُفته‌ام,то умқи қалби зор баночор руфтаам
دیری‌ست جز به زوزۀ خاموش گرگ پیر,дерест ҷуз ба зӯзаи хомӯши гурги пир
در این سرای غم سخنی ناشنفته‌ام,дар ин сарои ғам сухане ношунуфтаам…
تو‌را اگر به دلم راه نیست با خود باش,туро агар ба дилам роҳ нест бо худ бош
چه بد که شکل ابر آسمان مطیع تو نیست,чи бад ки шакли абри осмон мутеъи ту нест
اين کافران حب وطن بين که عاقبت,ин кофарони ҳубби ватан бин ки оқибат
کاشانه‌ها به وفق مراد آفريده‌اند,кошонаҳо ба вифқи мурод офаридаанд
از خفت مردم به صلابت رسيده‌اند,аз хиффати мардум ба салобат расидаанд
ناموس‌ها فروخته بامی خريده‌اند,номусҳо фурӯхта боме харидаанд
اين آسياب دور چه وارونه می‌رود,ин осиёби давр чи воруна меравад
بيچاره آن که عشق وطن‌را به سينه کاشت,бечора он ки ишқи ватанро ба сина кошт
آواره آن که ميهن خود‌را عزيز داشت,овора он ки меҳани худро азиз дошт
افسرده آن که در ره عشقش قدم گذاشت,афсурда он ки дар раҳи ишқаш қадам гузошт
ناخلف‌تر ز تو کس هست به پهنای زمين,нохалафтар зи ту кас ҳаст ба паҳнои замин
که زمين پدری‌اش بدهد مفت به چين,ки замини падариаш бидиҳад муфт ба чин
چين‌ها بر رخ ملت فکنی بی‌پروا,чинҳо бар рухи миллат фиканӣ бепарво
ای عجوز بی‌مروت احمق چرب‌جبين,эй аҷузи бемурувват аҳмақи чарбҷабин
وا دريغای سمرقند و بخارای تو کو,во дареғо-и самарқанду бухорои ту ку
ای بخار غيرت و سايۀ گردان متين,эй бухори ғайрату сояи гурдони матин
خانه‌ات سوخته بادا که زمينم بدهی,хонаат сӯхта бодо ки заминам бидиҳӣ
به ازاء دو پشيز بدل ساخت پکين,ба изои ду пашизи бадали сохти пекин
دو پشيزی که ته جيب درازت برود,ду пашизе ки таҳи ҷайби дарозат биравад
تا بسازی دو سه کاخ دگر جهل‌نگين,то бисозӣ ду-cе кохи дигари ҷаҳлнигин
کاه اندوه خيانت به کجا درريزم,коҳи андӯҳи хиёнат ба куҷо даррезам
کوه فرياد هزيمت به سرم ريخت چنين,кӯҳи фарёди ҳазимат ба сарам рехт чунин
بزرگ بود به وسعت روان و قلبش,бузург буд ба вусъати равону қалбаш
دانه‌های انار دلش‌را می‌شد ديد و شمرد؛ شفاف بود,донаҳои анори дилашро мешуд диду шумурд шаффоф буд
سختگير بود به اندازۀ سختی‌های کشيده‌اش,сахтгир буд ба андозаи сахтиҳои кашидааш
متين بود همتای استواری روح و پيکرش,матин буд ҳамтои устувории рӯҳу пайкараш
گنجينه‌ای از اندوخته‌ها و دانسته‌ها بود و هم‌کلام و هم‌نشين دانايان دوران,ганҷинае аз андӯхтаҳову донистаҳо буд ва ҳамкалому ҳамнишини доноёни даврон
اگر ميان ما بود روز سوم دی‌‌ماه ساله می‌شد,агар миёни мо мебуд рӯзи десомбр даймоҳ мешуд
هفت سال پيش از کنار ما رفت تا برای هميشه بماند؛ جاويدنام و زنده‌ياد شد,ҳафт сол пеш аз канори мо рафт то барои ҳамеша бимонад ҷовидному зиндаёд шуд
مردی بود که زندگی‌اش‌را لحظه به لحظه زيست و تا می‌توانست برای مردم دور و نزديک سودرسان بود,марде буд ки зиндагиро лаҳза ба лаҳза зист ва то метавонист барои мардуми дуру наздик судрасон буд
اين شهسوار خِرَد آل‌محمد رجب پدرم بود که حضورش‌را پيشاروی شب يلدا و در آستانۀ زادروز فرخنده‌اش هر آن در کنارم احساس می‌کنم,ин шаҳсавори хирад олмуҳаммади раҷаб падарам буд ки ҳузурашро пешорӯи шаби ялдо ва дар остонаи зодрӯзи фархундааш ҳар он канорам эҳсос мекунам
اين بود که امشب پس از قهر چندين‌ماهۀ مرغ الهام شعرگونه‌ای از ذهنم تراويد بدين شرح,ин буд ки имшаб пас аз қаҳри чандинмоҳаи мурғи илҳом шеъргунае аз зеҳнам таровид бад-ин шарҳ
کوه غرور,кӯҳи ғурур
کوه بود,кӯҳ буд
روح بزرگش که پر از معدن عشق سره بود,рӯҳи бузургаш ки пур аз маъдани ишқи сара буд
بچۀ آب خروشان و طنين دره بود,бачаи оби хурӯшону танини дара буд
چشمه بود,чашма буд
چشمۀ درمان همه درد و بلای قدری,чашмаи дармони ҳама дарду балои қадарӣ
چاره‌ساز دل وامانده که هر چه شمری,чорасози дили вомонда ки ҳар чи шумарӣ
قامتی داشت که از رستم دستان حکايت می‌کرد,қомате дошт ки аз рустами дастон ҳикоят мекард
عالمی‌را همه مبهوت به نيروی درايت می‌کرد,оламеро ҳама мабҳут ба нерӯи мекард
فرّ او,фарри ӯ
مايۀ تنوير دل خرد و بزرگ,мояи дили хурду бузург
عقل او,ақли ӯ
مانع تزوير دد و ديو سترگ,монеъи тазвири даду деви сутург
باصلابت,босалобат
شهسوار اسپ فرهنگ و خِرَد,шаҳсавори аспи фарҳангу хирад
همه تسليم لگامش چه نيکو و چه بد,ҳама таслими лагомаш чи некӯву чи бад
هفت سال است که از نور رخش فيض نبردم الما,ҳафт сол аст ки аз нури рухаш файз набурдам аламо
وانگفتم ماجراهای پر از درد و غما,вонагуфтам моҷароҳои пур аз дарду ғамо
هفت سال است که از ضجۀ اندوه کرَم,ҳафт сол аст ки аз андӯҳ карам
در سياهی غمش بی‌بصرم,дар сиёҳии ғамаш бебасарам
بی‌پدرم,бепадарам
کوه بود,кӯҳ буд
کوه غرورم ته خاک افتاده,кӯҳи ғурурам таҳи хок уфтода
چشمه بود,чашма буд
آب شفا ره به بيابان داده,оби шифо раҳ ба биёбон дода
هان,ҳон
ميگو که يلان از ابدالآبادند,мегӯ ки аз
شهسوران خِرَد از شر مرگ آزادند,шаҳсаворони хирад аз шари марг озоданд
روح او نيست مگر در شفق ِ يازيده,рӯҳи ӯ нест магар дар шафақи ёзида
در زمين و آتش و باد و در آب ديده,дар замину оташу боду дар оби дида
در نگاه و نفس و ذکر و کلام مادر,дар нигоҳу нафасу зикру каломи модар
که نيايد به دو عالم احدی زو برتر,ки наояд ба ду олам аҳаде з-ӯ бартар
عدالت را,адолатро
که مردی‌ ست آشفته و ژوليده مو,ки мардест ошуфтаву жулидамӯ
با فريادهای خفه,бо фарёдҳои хафа
در ميدان طرف الغار لندن,дар майдони тарафулғори ландан
پای چوبۀ دار می‌برند,пои чӯбаи дор мебаранд
و من,ва ман
دست ظريف تو در دست مه آلود خيال,дасти зарифи ту дар дасти меҳолуди хиёл
به تماشای حادثه نشسته ام,ба тамошои ҳодиса нишастаам
چشم معصوم و گوسپندانۀ جلاد,чашми маъсуму гӯспандонаи ҷаллод
از پشت کلاه خود سياه,аз пушти кулоҳхӯди сиёҳ
با نگاه نگران تو گره می‌خورد,бо нигоҳи нигарони ту гиреҳ мехурад
خيره می‌شود,хира мешавад
تحليل می‌روی,таҳлил меравӣ
جلاد بی گناهانه,ҷаллод бегуноҳона
بی اين که از تو نگاه بردارد,бе ин ки аз ту нигоҳ бардорад
حلقه می‌اندازد,ҳалқа меандозад
عدالت,адолат
فرياد خفه,фарёди хафа
چند تکان دست و پای بسته,чанд такони дасту пои баста
و خاموشی,ва хомӯшӣ
اشک چشمان گوسپندوار,ашки чашмони гӯспандвор
چوبۀ دار‌را می‌شويد,чӯбаи дорро мешӯяд
در ميدان طرف الغار,дар майдони тарафулғор
گياه سياه نفرت,гиёҳи сиёҳи нафрат
خود به خود,худ ба худ
می رويد,мерӯяд
جلاد اشکبار,ҷаллоди ашкбор
پيچک‌های بی بو‌را می‌بويد,печакҳои бебӯро мебӯяд
و تو مبهوت حادثه,ва ту мабҳути ҳодиса
در نگاه لال جلاد تبخير شده ای,дар нигоҳи лоли ҷаллод табхир шудаӣ
دست خيالم بريده ای,дасти хиёлам буридаӣ
و به زادروزت رسيده ای,ва ба зодрӯзат расидаӣ
دير زی,дер зӣ
تا شايد عدالتی ديگر بزايی,то шояд адолате дигар бизоӣ
روز مولود تو‌را در تب حسرت سپرم,рӯзи мавлуди туро дар таби ҳасрат сипарам
بار اندوه تو اين بار نه آسوده برم,бори андӯҳи ту ин бор на осуда барам
گفته بودی که دگرباره پيامت ندهم,гуфта будӣ ки дигарбора паёмат надиҳам
اين تو گفتی يا همانی که کنَد بال و پرم,ин ту гуфтӣ ё ҳамоне ки канад болу парам
يا همانی که عداوت دل و دينش بربود,ё ҳамоне ки адоват дилу динаш бирабуд
هر دو گنجشک مرا برد و قرار و قدرم,ҳар ду гунҷишки маро бурду қарору қадарам
ای دل پاک تو در چنگ يخ بی ‌مهری,эй дили поки ту дар чанги яхи бемеҳрӣ
ای رخ شاد تو مخدوش ز توپ و تشرم,эй рухи шоди ту махдуш зи тӯпу ташарам
اين تو گفتی يا همانی که سرايم‌را سوخت,ин ту гуфтӣ ё ҳамоне ки сароямро сӯхт
در لهيب آتش رشک و گريزان ز برم,дар лаҳиби оташи рашку гурезон зи барам
خشم و حرمان و گرفتاری و خودبيزاری,хашму ҳирмону гирифторию худбезорӣ
چشم گريان و گنهکاری شده همسفرم,чашми гирёну гунаҳкорӣ шуда ҳамсафарам
خانه بردوش و تهی خانه سر خوان قدَر,хонабардӯшу тиҳихона сари хони қадар
همدم شمع و غروب و همنشين قمرم,ҳамдами шамъу ғурубу ҳамнишини қамарам
کاش خاکم به دهن مهر نمی پروردم,кош хокам ба даҳан меҳр намепарвардам
مهر ديدار توام بيخته خاکی به سرم,меҳри дидори туам бехта хоке ба сарам
باز آغوش مرا لانه توانی کردن,боз оғӯши маро лона тавонӣ кардан
باز گوشم بنوازی و بگويی,боз гӯшам бинавозиву бигӯӣ
پدرم,падарам
باز آيی که اهورا به برم بنشيند,боз оӣ ки аҳуро ба барам биншинад
بسرايی,бисароӣ
که ز نابودی آواز کرَم,ки зи нобудии овоз карам
زنگ در کندم و زنجير به جايش بستم,занги дар кандаму занҷир ба ҷояш бастам
کوست انگشت ظريفت بزند زنگ درم,кӯст ангушти зарифат бизанад занги дарам
کوست آبی نگاهت سرخ لبهايت کو,кӯст обии нигоҳат сурхи лабҳоят кӯ
زردی زلف تو‌را در چه کتابی نگرم,зардии зулфи туро дар чӣ китобе нигарам
عکس لرزان تو جان و جگرم می‌سوزد,акси ларзони ту ҷону ҷигарам месӯзад
جگرم وا جگرم وا جگرم وا جگرم,ҷигарам во ҷигарам во ҷигарам во ҷигарам
ديگر چيزی ما‌را شگفت‌ زده نمی کند,дигар чизе моро шигифтзада намекунад
گويا آفريده شده ايم تا در ته چاه حقارت بتپيم,гӯё офарида шудаем то дар таҳи чоҳи ҳақорат битапем
زبان وزين و بلندآوازه مان در خاستگاهش زبون شد,забони вазину баландовозаамон дар хостгоҳаш забун шуд
پذيرفتيم,пазируфтем
خط ما پيوندمان‌را با گذشته و امروز و فردا خط زد و بريد,хатти мо пайвандамонро бо гузаштаву имрӯзу фардо хат заду бурид
پذيرفتيم,пазируфтем
تاجيک ها‌را دسته دسته وادار به تغيير هويت کردند,тоҷикҳоро даста-даста водор ба тағйири ҳувият карданд
پذيرفتيم,пазируфтем
نوروزمان در گاهشماری اجنبی بی روز و آواره شد,наврӯзамон дар гоҳшумории аҷнабӣ берӯзу овора шуд
پذيرفتيم,пазируфтем
حسرت بخارا و سمرقند شعر شد ترانه شد داستان شد ياس شد و در نهانخانۀ دل‌های ما خشکيد,ҳасрати бухорову самарқанд шеър шуд тарона шуд достон шуд яъс шуд ва дар ниҳонхонаи дилҳои мо хушкид
پذيرفتيم,пазируфтем
انگار ما آفريده شده ايم تا هر ناپذيرفتنی‌را بپذيريم هر ناستودنی‌را بستائيم و هر نامعقولی‌را معقول بدانيم,ангор мо офарида шудаем то ҳар нопазируфтаниро бипазирем ҳар носутуданиро биситоем ва ҳар номаъқулеро маъқул бидонем
و سرورانی که بر تخت ما تکيه زدند همگی از اين برده خويی ما تاری تنديدند و ما‌را بر آن تار محکم تر بستند تا بيش از پيش پذيرای ناپذيرفتنی‌ها باشيم,ва сарвароне ки бар тахти мо такя заданд ҳамагӣ аз ин бардахӯии мо торе таниданд ва моро бар он тор муҳкамтар бастанд то беш аз пеш пазирои нопазируфтаниҳо бошем
ملت رستمزای ما با ذلت و ستمهای امروز خو گرفته است,миллати рустамзои мо бо зиллату ситамҳои имрӯз хӯ гирифтааст
باکی نيست که قطارهای ما در آن سوی مرز توسط چند ازبک برای ماهها متوقف شده اند,боке нест ки қаторҳои мо дар он сӯи марз тавассути чанд узбак барои моҳҳо мутаваққиф шудаанд
آن‌را هم می‌پذيريم,онро ҳам мепазирем
تا بلای سيل کولاب‌را درنوردد و سرور ازبک‌را به ترحم وادارد و عدد از واگن‌های وامانده به مقصد تاجيکستان راه بيفتند ندای درود بر اسلام کريمف,то балои сел кӯлобро дарнавардаду сарвари узбакро ба тараҳҳум водорад ва адад аз вогунҳои вомонда ба мақсади тоҷикистон роҳ биуфтанд нидои дуруд бар ислом каримов
سر می‌دهيم و از رسانه‌ها جار می‌زنيم که اين سرور ازبک عجب خوب آدمی است,сар медиҳем ва аз расонаҳо ҷор мезанем ки ин сарвари узбак аҷаб хуб одамест
غداری او‌را غمخواری جلوه می‌دهيم,ғаддории ӯро ғамхорӣ ҷилва медиҳем
تباهی نيت‌های آن تيمورلنگ ثانی‌را خيرخواهی عنوان می‌کنيم,табоҳии ниятҳои он темурланги сониро хайрхоҳӣ унвон мекунем
بخارا و سمرقند‌را به خال هندوی ناموجودش صد بار ديگر می‌بخشيم,бухорову самарқандро ба холи ҳиндуи номавҷудаш сад бори дигар мебахшем
و فراموش می‌کنيم که همين مدتی پيش اين آقا می‌گفت به دليل تعمير راه آهن ورود واگن‌ها به خاک تاجيکستان ناممکن است,ва фаромӯш мекунем ки ҳамин муддате пеш ин оқо мегуфт ба далели таъмири роҳи оҳан вуруди вогунҳо ба хоки тоҷикистон номумкин аст
فراموش می‌کنيم از او بخواهيم که صدها واگن باقی مانده‌را هم رها کند حالا که اين چندتا‌را فرستاده,фаромӯш мекунем аз ӯ бихоҳем ки садҳо вогуни боқимондаро ҳам раҳо кунад ҳоло ки ин чанд-торо фиристода
نه ما ملت قناعت پيشه ايم,на мо миллати қаноъатпешаем
قناعت می‌کنيم تا شايد روزی روزیمان حاصل شود,қаноъат мекунем то шояд рӯзе рӯзиамон ҳосил шавад
ولی دريغ که حاصل نمی شود که هيچ باطل هم می‌شود,вале дареғ ки ҳосил намешавад ки ҳеч ботил ҳам мешавад
از يادمان می‌رود که حرکت مايۀ برکت است,аз ёдамон меравад ки ҳаракат мояи баракат аст
يادمان می‌رود که ما در عرصۀ بين المللی اکنون بازيگر مستقليم,ёдамон меравад ки мо дар арсаи байнулмилалӣ акнун бозигари мустақиллем
پدر نمی خواهيم چون فرزند ملتی غير نيستيم,падар намехоҳем чун фарзанди миллате ғайр нестем
يادمان می‌رود که اکنون بايد ريشۀ مشکلات‌را تنها و تنها در خودمان جويا شويم,ёдамон меравад ки акнун бояд решаи мушкилотро танҳо ва танҳо дар худамон ҷӯё шавем
اگر ازبک‌ها راه واگن‌های ما‌را بسته اند پاسخگو آنانی هستند که سياست ما‌را اداره می‌کنند,агар узбакҳо роҳи вогунҳои моро бастаанд посухгӯ ононе ҳастанд ки сиёсати моро идора мекунанд
مديران سياسی ما مسئول جان و مال افرادی هستند که به آنها رای داده اند يا نداده اند و پول زندگی مرفهشان‌را می‌پردازند,мудирони сиёсии мо масъули ҷону моли афроде ҳастанд ки ба онҳо раъй додаанд ё надодаанд ва пули зиндагии мураффаҳашонро мепардозанд
و آن سياستمدار سودايی روز ژيرينوفسکی نام دوباره ظاهر می‌شود و هرزه‌های سياسی فراوانی از ما و شما می‌گويد,ва он сиёсатмадори савдоии рус жириновский ном дубора зоҳир мешавад ва ҳарзаҳои сиёсии фаровоне аз мову шумо мегӯяд
آن‌را هم می‌پذيريم يا پشت گوش می‌اندازيم,онро ҳам мепазирем ё пушти гӯш меандозем
اما يادمان می‌رود که آن مردک رهبر يک حزب سياسی روسيه است ليبرال دمکرات و خدا‌را چه ديدی,аммо ёдамон меравад ки он мардак раҳбари як ҳизби сиёсии русия аст либерол-демукрот ва худоро чӣ дидӣ
شايد روزی در پارلمان يا حتا دولت کشورش دست بالايی داشته باشد,шояд рӯзе дар порлумон ё ҳатто давлати кишвараш дасти болое дошта бошад
ژيرينوفسکی می‌گويد که ما و شما مستحق داشتن يک دولت مستقل نيستيم,жириновский мегӯяд ки мову шумо мустаҳаққи доштани як давлати мустақил нестем
راديو آزادی به نقل از منابع روسی از قول ژيرينوفسکی می‌نويسد,родю озодӣ ба нақл аз манобеъи русӣ аз қавли жириновский менависад
تاجيکستان و قرقيزستان همچون دولت آينده ندارند,тоҷикистон ва қирғизистон ҳамчун давлат оянда надоранд
