حوادث روزهای آخر در ایران تمام جهان‌را به خود جلب نموده,ҳаводиси рӯзҳои охар дар эрон тамоми ҷаҳонро ба худ ҷалб намуда
در این مطلب آمده که اسلامگرایی در این کشور برای تمام جهان نگران کننده است,дар ин матлаб омада ки исломгароӣ дар ин кишвар барои тамоми ҷаҳон нигаронкунанда аст
همچنین آمریکا نگران از نفوظ ایران در این کشور است,ҳамчунин омрико нигарон аз нуфузи эрон дар ин кишвар аст
این مطالب بار دیگرثابت نمود که کشور‌های ابر قدرت خواهان ویران نمودن ایران هستند,ин матлаб бори дигар собит намуд ки кишварҳои абарқудрат хоҳони вайрон намудани эрон ҳастанд
آمریکا حالا از آغاز می‌دانست که تاجیکستان زبان و فرهنگ و نژاد ایرانی دارد,омрико ҳоло аз оғоз медонист ки тоҷикистон забону фарҳангиу нажоди эронӣ дорад
آمریکا و غرب به خاطر آن از ایرانیان می‌هراسند چون می‌داند که این کشور توانایی آن‌را دارد که به یک ابر قدرت تبدیل گردد,омрико ва ғарб ба хотири он аз эрониён меҳаросанд чун медонанд ки ин кишвар тавоноии онро дорад ки ба як абарқудрат табдил гардад
کشور ایران امروز تنها کشوریست در خاور میانه که سیاست مستقل‌را پیش گرفته و گرایش کشوری مثل تاجیکستان به ایران برای آمریکا نگران کننده است,кишвари эрон имрӯз танҳо кишварест дар ховари миёна ки сиёсати мустақилро пеш гирифта ва гароиши кишваре мисли тоҷикистон ба эрон барои омрико нигаронкунанда аст
این هفته می‌خواهم به موضوع تاجیکانی که مقم سرزمین تحت کنترول رژیم اشغالگرای ازبکستان هستند بپردازم,ин ҳафта мехоҳам ба мавзӯъи тоҷиконе ки муқими сарзамини таҳти кунтрули режими ишғолгарои ӯзбакистон ҳастанд бипардозам
این مساله برای همۀ ما ایرانی‌ها مهم است و رسیدگی زودهنگامی می‌خواهد,ин масъала барои ҳамаи мо эрониҳо муҳим аст ва расидагии зудҳангоме мехоҳад
در دوام دو سه روز آخر که به این مساله توجه نمودم بسیار اطلاعات تکان دهنده ای‌را پیدا کردم و برایم روشن شد که آن افکار و احساساتی که دارم پوچ و توخالی نیستند,дар давоми ду-се рӯзи охар ки ба ин масъала таваҷҷӯҳ намудам бисёр иттилоъоти такондиҳандаеро пайдо кардам ва барои рӯшан шуд ки он афкору эҳсосоте ки дорам пучу тухолӣ нестанд
مردم تاجیک از حقوق بنیانی خود بی بهره هستند,мардуми тоҷик аз ҳуқуқи бунёнии худ бе баҳра ҳастанд
طیق اطلاع سازمان مستقل حقوق بشر ازبکستان که در روزنامۀ نووایا پوکولنیه ی چاپ آلما آتی قزاقستان به طبع رسیده سال میلادی در شهر‌های سمرقند و بخارا مطابق فرامان وزارت آموزش و پرورش ازبکستان از سال کتاب‌ها به زبان فارسی یا خود تاجیکی خراب کرده شده اند,тибқи иттилоъи созмони мустақили ҳуқуқи башари ӯзбакистон ки дар рӯзномаи нувуё пукуление новое поколение-и чопи олмо отии қазоқистон ба табъ расида соли мелодӣ дар шаҳрҳои самарқанду бухоро мутобиқи фармони вазорати омӯзишу парвариши ӯзбакистон аз соли китобҳо ба забони форсӣ ё худ тоҷикӣ хароб карда шудаанд
تنها در یک مکتب سمرقند زیاده از کتاب درسی راجع به علوم تکنیکی و طبیعی خراب کرده شده است,танҳо дар як мактаби самарқанд зиёда аз китоби дарсӣ роҷеъ ба улуми текникӣ ва табиъи хароб карда шудааст
این روند در سراسر سرزمين هاي تحت كنترول اين رژيم تا امروز دوام دارد,ин раванд дар саросари сарзаминҳои таҳти кунтрули ин режим то имрӯз давом дорад
جمال میر سعید اف نمایندۀ سازمان مستقل حقوق بشر ازبکستان می‌گوید که در کتابخانۀ نزدیک منزلم حتی یک کتابی به زبان تاجیکی نیست,ҷамол мирсаидуф мирсаидов намояндаи созмони мустақили ҳуқуқи башари ӯзбакистон мегӯяд ки дар китобхонаи наздики манзилам ҳатто як китобе ба забони тоҷикӣ нест
بدترین چیز این است که شاه کتاب هایی از ابو علی سینا سعدی شکسپیر بایرون پوشکین,бадтарин чиз ин аст ки шоҳкитобҳое аз абу алӣ сино саъдӣ шекспир бойрун пушкин
خراب کرده می‌شوند که همۀ آن به زبان فارسی بود,хароб карда мешаванд ки ба ҳамаи он ба забони форсӣ буд
طبق این آمار در سمرقند تنها یک آموزشگاهی باقی مانده که در آن آموزش به زبان فارسیست و آن هم بخش زبان شناسی فارسی در دانشگاه سمرقند است,тибқи ин омор дар самарқанд танҳо як омӯзишгоҳе боқӣ монда ки дар он омӯзиш ба забони форсист форсии сирилик ва он ҳам бахши забоншиносии форсӣ дар донишгоҳи самарқанд аст
گذشته از این رژیم اشغال گرای ازبکستان به پاک سازیِ نژادی نیز دست زده است,гузашта аз ин режими ишғолгарои ӯзбакистон ба поксозии нажодӣ этническая чистка низ даст задааст
سال طبق اطلاع مقامات تاجیکستان رژیم اشغالگرای ازبکستان تقریباً تاجیک‌را به اتهام تروریسم و تندگرایی اسلامی از خانه‌های خود در استان سرخان دریا به مناطق دیگر اجباراً بیرون کرده است,соли тибқ иттилоъи мақомоти тоҷикистон режими ишғолгарои ӯзбакистон тақрибан тоҷикро ба иттиҳоми терурисм ва тундгароии исломӣ аз хонаҳои худ дар устони сурхондарё ба минтақаи дигар иҷборан берун кардааст
درد آورترین چیز این است که خود مردم تاجيكي كه تحت اين رژيم به سر مي برنددر روی این همه نقض حقوقشان خاموش هستند,дардовартарин чиз ин аст ки худ мардуми тоҷике ки таҳти ин режим ба сар мебаранд дар рӯйи ин ҳама нақзи ҳуқуқашон хомӯш ҳастанд
این به خاطر آن است که رژیم اشغالگرا با قویترین راه‌ها کوشش کرد مهرۀ مردم‌را بشکند,ин ба хотири он аст ки режими ишғолгаро бо қавитарин роҳҳо кӯшиш кард кард мӯҳраи мардумро бишканад
این دوام سیاست دراز مدت ازبکسازی رژیم است,ин давоми сиёсати дароз-муддати ӯзбаксозии ин режим аст
از زمان تشکل شدن جمهوری خودمختار شوروی سوسیالیستی ترکستان که سروران اساسی آن پان ترکست‌ها بودند ازبکسازی تاجیکان آغاز شد,аз замони ташкил шудан ҷумҳурии худмухтори шӯравии сусиёлистии туркистон ки сарварони асосии он пон туркистҳо буданд ӯзбаксозии тоҷикон оғоз шуд
طبق سرشماری سال جمعیت تاجیک در سمرقند و ازبک نفر بود,тибқи саршумории соли ҷамъияти тоҷик дар самарқанд ва ӯзбак нафар буд
سال جمعیت تاجیک و ازبک می‌شود,соли ҷамъияти тоҷик ва ӯзбак мешавад
بالاخره سال جمعیت تاجیک در سمرقند به و ازبک به می‌رسد,билохира соли ҷамъияти тоҷик дар самарқанд ба ва ӯзбак ба мерасад
گذشته از این مردم تاجیک یا خود ایرانی‌را باز هم بیشتر از هم جدا می‌نمایند و آن هایی که شیعه بودند فارس نامیده می‌شوند,гузашта аз ин мардуми тоҷик ё худ эронӣ-ро боз ҳам бештар аз ҳам ҷудо менамоянд ва онҳое ки шиъа буданд форс номида мешаванд
در حالی که این‌ها فرقی از یک دیگر نداشتند و یک ملت بودند و هستند,дар ҳоле ки инҳо фарқе аз як дигар надоштанд ва як миллат буданду ҳастанд
مگر غیر شیعه که در ایران سیاسی امروز زندگی می‌کنند ایرانی نیستند,магар ғайри шиъа ки дар эрони сиёсии имрӯза зиндагӣ мекунанд эронӣ нестанд
سال با بیداری ملی به ویژه در بین روشنفکران در سراسر اتحاد شوروی پیشین از جمله در سرزمین‌های تحت کنترول رژیم اشغالگرای ازبکستان جنبش‌های ملی گرایی ظاهر شدند,соли бо бедории миллӣ ба вижа дар байни рӯшанфикрон дар саросари иттиҳоди шӯравии пешин аз ҷумла дар сарзаминҳои таҳти кунтрули режими ишғолгарои ӯзбакистон ҷунбишҳои миллигароӣ зоҳир шуданд
این گروه کوشش می‌کرد که جمهوری خودمختار سغد ایجاد شود که تمام این سرزمین هارا در بر داشته باشد,ин гурӯҳ кӯшиш мекард ки ҷумҳурии худмухтори суғд эҷод шавад ки тамоми ин сарзаминҳоро дар бар дошта бошад
ولی با زور آوری‌های رژیم تحت اسلام کریمف این سازمان‌را ویران کردند,вале бо зӯровариҳои режим таҳти ислом каримуф каримов ин созмонҳоро вайрон карданд
اين رژيم با مقصد بر هم زدن احساسات ملی گرایانه در سرزمین زير کنترول خویش همچنین به سر تاجیکستان جنگی‌را تحمیل کرد,ин режим бо мақсади бар ҳам задани эҳсосоти миллигароёна дар сарзамини зери кунтрули хеш ба сари тоҷикистон ҷангеро таҳмил кард
با بهانۀ جنگ و اسلام گرایی در تاجیکستان او موفق شد که مرز تاجیکستان‌را با ازبکستان ببندد,бо баҳонаи ҷанг ва исломгароӣ дар тоҷикистон ӯ муваффақ шуд ки марзи тоҷикистонро бо ӯзбакистон бибандад
با بهانۀ مبارزه با تروریسم و افراط گرایی اسلامی گروه‌های آزادی خواه‌را از بین برد,бо баҳонаи мубориза бо терурисм ва ифротгароии исломӣ гурӯҳҳои озодихоҳро аз байн бурд
یکی از پیشوایان جمعیت تاجیکان در سمرقند حیات نیعمت به زندان افتاد و مورد شکنجه هم قرار گرفت,яке аз пешвоёни ҷамъияти тоҷикон дар самарқанд ҳаёти неъмат ба зиндон уфтод ва мавриди шиканҷа ҳам қарор гирифт
سرنوشت آقای بیک محمد اف نیز چونین بود که از طرف خدمات مخفی اين رژيم در بیشکک پایتخت قرقزستان دستگیر شد,сарнавишти оқои бекмуҳаммадуф бекмуҳаммадов низ чунин буд ки аз тарафи хадамоти махфии ин режим дар бишкек пойтахти қирқизистон қирғизистон дастгир шуд
پیشوایان و اعضای این گروه زندانی و مورد شکنجه قرار گرفتند,пешвоён ва аъзои ин гурӯҳ зиндонӣ ва мавриди шиканҷа қарор гирифтанд
رئیس جمهور رژیم اشغالگرای ازبکستان اسلام کریمف همیشه اعلام می‌نماید که تاجیکان و ازبک‌ها یک ملتند که با دو زبان حرف می‌زنند,раиси ҷумҳури режими ишғолгарои ӯзбакистон ислом каримуф ҳамеша элом менамояд ки тоҷикон ва ӯзбакҳо як миллатанд ки бо ду забон ҳарф мезананд
این دوام سیاست‌های پان ترکستی است که دعوا داشت تاجیکان همان ترک هایی هستند که ایرانی شده اند,ин давоми сиёсатҳои пон туркистӣ аст ки даъво дошт тоҷикон ҳамон туркҳое ҳастанд ки эронӣ шудаанд
این در حالیست که ایرانیان آریایی هستند كه هزار‌ها سال پیش در این سرزمین پیدا شده اند,ин дар ҳолест ки эрониён ориёӣ ҳастанд ки ҳазорҳо сол пеш дар ин сарзамин пайдо шудаанд
در زمان تشکل نمودن جمهوری‌های ملی در آسیای میانه سال نمایندۀ ازبکستان علی خاجه یف ذکر می‌نماید که بین تاجیکان و ازبکان فرقی نیست و این دو باید با نام ازبک متحد شوند,дар замони ташкил намудани ҷумҳуриҳои миллӣ дар осиёи миёна соли намояндаи ӯзбакистон алихоҷаев зикр менамояд ки байни тоҷикону ӯзбакон фарқе нест ва ин ду бояд бо номи ӯзбак муттаҳид шаванд
روز دوشنبه گرجستان اعلام نمود که روسیه هواپیمای بدون خلبان این کشور‌را در داخل قلمرو خود یعنی جمهوری جدای خواه آبخازستان مورد هدف قرار داده است,рӯзи душанбе гурҷистон эълом намуд ки русия ҳавопаймои бидуни халбони ин кишварро дар дар дохили қаламрави худ яъне ҷумҳурии ҷудоихоҳи обхозистон мавриди ҳадаф қарор додааст
روسیه سال از آبخازستانِ جدایی خواه پشتبانی نمود و به شكست نیرو‌های گرجی کمک نمود,русия соли аз обхозистони ҷудоихоҳ пуштибонӣ намуд ва ба шикасти неруҳои гурҷӣ кумак намуд
اگر توجه نمایم همۀ نزاع‌های کشور‌های اتحاد شوروی پیشین در تقریباً یک وقت به وقوع پیوستند و در همۀ این‌ها روسیه دست داشت,агар таваҷҷуҳ намоем ҳамаи низоъҳои кишварҳои иттиҳоди шӯравии пешин дар тақрибан як вақт ба вуқӯъ пайвастанд ва дар ҳамаи инҳо русия даст дошт
امروز که گرجستان می‌خواهد از استقلال خود دفاع نماید روسیه سلطان تمام سرزمین‌ها از دریای سیاه تا اقیانوس آرام از دریا بالتیک تا رود آمو نمی خواهد از مال خود دست بکشد,имрӯз ки гурҷистон мехоҳад аз истиқлоли худ дифоъ намояд русия султони тамоми сарзаминҳо аз дарёи сиёҳ то уқёнуси ором аз дарёи болтик то руди ому намехоҳад аз моли худ даст бикашад
پس از فروپاشی شوروی روسیه در هر گوشۀ امپراتوری پیشین خویش جنگ و نزاع هارا ترح ریزی نمود,пас аз фурӯпошии шӯравӣ русия дар ҳар гӯшаи имперотурии пешини хеш ҷангу низоъҳоро тарҳрезӣ намуд
گرجستان تنها یکی از اهداف روسیه بود,гурҷистон танҳо яке аз аҳдофи русия буд
سازمان‌های مخفی روسیه در آبخازستان احساسات جدایی خواهی‌را رواج دادند,созмонҳои махфии русия дар обхозистон эҳсосоти ҷудоихоҳиро ривоҷ доданд
این منطقه خود‌را با پشتبانی روسیه مستقل اعلام نمد,ин минтақа худро бо пуштибонии русия мустақил эълом намуд
زمانی گرجستان از تمامیت ارضی خود دفاع کرد با کمک نظامی روسیه شکست خورد,замоне гурҷистон аз тамомияти арзии худ дифоъ кард бо кумаки низомии русия шикаст хӯрд
روسیه همچونین از اوستیای جنوبی پشتبانی نمد,русия ҳамчунин аз усетиёи ҷанубӣ пуштибонӣ намуд
در حالی که اوستیای شمالی در قلمرو روسیه است به اوستیای جنوبی کمک می‌کند تا مستقل باشد,дар ҳоле ки усетиёи шимолӣ дар қаламрави русия аст ба усетиёи ҷанубӣ кумак мекунад то мустақил бошад
اگر این قدر دلش به آن‌ها می‌سوزد پس چرا به اوستیای شمالی استقلالیت نمی دهد,агар ин қадр дилаш ба онҳо месӯзад пас чаро ба усетиёи шимолӣ истиқлолият намедиҳад
هدف روسیه تنها زیر ستطۀ خود نگاه داشتند گرجستان است و دیگر هیچ,ҳадафи русия танҳо зери султаи худ нигоҳ доштани гурҷистон аст ва дигар ҳеч
مسالۀ اوستیا‌را ولی به سوی دیگری می‌گذارم چون مردم اوستیا اصلاً مردم ایرانی هستند که در سدۀ میلادی زیر روسیه افتادند و از مردم گرجستان فرقی دارند,масъалаи усетиёро вале ба сӯи дигар мегузорам чун мардуми усетиё аслан мардуми эронӣ ҳастанд ки дар садаи мелодӣ зери русия уфтоданд ва аз мардуми гурҷистон фарқе доранд
مسالۀ آبخازستان ولی فرق می‌کند,масъалаи обхозистон вале фарқ мекунад
این سرزمین در طول تاریخ با گرجستان یکی بوده,ин сарзамин дар тӯли торих бо гурҷистон яке буда
درست است که این مردم با زبان غیر گرجی حرف می‌زنند ولی زبان آن‌ها با زبان گرجی همریشه است و درست مثل آن كه بدخشی‌ها و فارسی گوها و کرد‌ها و دیگر‌ها یکی هستند و ایرانی هستند آبخاز‌ها هم با گرج‌ها یکی هستند,дуруст аст ки ин мардум бо забони ғайри гурҷӣ ҳарф мезананд вале забони онҳо бо забони гурҷӣ ҳамреша аст ва дуруст мисли он ки бадахшиҳову форсигӯҳову курдҳо ва дигарҳо яке ҳастанд ва эронӣ ҳастанд обхозҳо ҳам бо гурҷҳо яке ҳастанд
آبخاز‌ها در ساختن و دیرتر دوباره متحد نمودن گرجستان نقش اساسناکی بازیده اند,обхозҳо дар сохтан ва дертар дубора муттаҳид намудани гурҷистон нақши асосноке бозидаанд
طبق دانشنامۀ ایرانیکا حتی واژۀ آبخازستان بارها برای مشخص نمودن تمام سرزمین گرجستان مورد استفاده قرار گرفته است باید ذکر نمایم که مردم سربلند گرجستان‌را احترام می‌نمایم,тибқи донишномаи иронико ҳатто вожаи обхозистон борҳо барои мушаххас намудани тамоми сарзамини гурҷистон мавриди истифода қарор гирифтааст
این مردم با تمام پافشاری‌ها و زوراوری‌های روسیه استقلال خود‌را از دست نمی دهد,бояд зикр намоям ки мардуми сарбаланди гурҷистонро эҳтиром менамоям
این مردم در زمان شوروی هم دبیرۀ خود‌را نگه داشتند,ин мардум дар замони шӯравӣ ҳам дабираи худро нигаҳ доштанд
به گفتۀ برخی پژوهشگران آن‌ها از دبیرۀ خود دفاع نکردند بلکه استالین به ایشان دست نزد,ба гуфтаи бархе пажӯҳишгарон онҳо аз дабираи худ дифоъ накарданд балки истолин ба эшон даст назад
ولی آموزش شخسیت استالین نشان می‌دهد که در حالی که استالین خود گرجی بود با آن‌ها هم بسیار بی رحمانه برخورد می‌کرد و حتی لنین اورا شوونیست روس خوانده است,вале омӯзиши шахсияти истолин нишон медиҳад ки дар ҳоле ки истолин худ гурҷӣ буд бо онҳо ҳам бисёр бе раҳмона бархӯрд мекард ва ҳатто ленин ӯро шувенисти рус хондааст
روسیه چند ماهی پیش در گرجستان کوشش نمود که یک انقلابی راه اندازی نماید,русия чанд моҳе пеш дар гурҷистон кӯшиш намуд ки як инқилобе роҳандозӣ намоянд
ولی مردم گرجستان به همۀ این سختی‌های اقتسادیِ به سرشان آمده نگاه نکرده از دولت خود پشتبانی نمودند,вале мардуми гурҷистон ба ҳамаи ин сахтиҳои иқтисодии ба сарашон омада нигоҳ накарда аз давлати худ пуштибонӣ намуданд
ما تاجیکان در سال از دولت خود پشتبانی نکرديم و گذاشتيم که دلخواه روسیه به سر قدرت رسد,мо тоҷикон дар соли аз давлати худ пуштибонӣ накардем ва гузоштем ки дилхоҳи русия ба сари қудрат расад
هم اکنون در ترس آن هستم که یک انقلاب تازه ای در تاجیکستان از طرف روسیه راه اندازی شود,ҳамакнун дар тарси он ҳастам ки як инқилоби тозае дар тоҷикистон аз тарафи русия роҳандозӣ шавад
مردم تاجیکستان باید یک دولت دلخواه و واقعاً ملی داشته باشد ولی باید مواظب بود که یک عروسک مسکو یا هر کشور دیگر‌را در کاخ ریاست جمهور نگذاریم تا مارا باز هم از اصلیت خود دور ننماید,мардуми тоҷикистон бояд як давлати дилхоҳ ва воқеъан миллӣ дошта бошад вале бояд мувозиб буд ки як арусаки маскав ё ҳар кишвари дигар-ро дар кохи раёсати ҷумҳур нагузорем то моро боз ҳам аз аслияти худ дур нанамояд
به نوشتۀ تارنگار بخش فارسی بی بی سی گروهی از زنان روز سه شنبه پانزدهم آوریل در اعتراض به تصمیم دولت در مورد تخریب منازل مسکونی شان روبروی دفتر ریاست جمهوری تاجیکستان دست به تظاهرات زدند و پلیس در جریان سرکوب گردهمایی اعتراضی آنان تعدادی از این زنها‌را لت و کوب کرد یک زن در نتیجه این حادثه جراحتهای سنگین برداشت,ба навиштаи торнигори бахши форсии би би сӣ гурӯҳе аз занон рӯзи сешанбе понздаҳуми оврил апрел дар эътироз ба тасмими давлат дар мавриди тахзиби манозил маскуниашон рӯ ба рӯйи дафтари раёсати ҷумҳурии тоҷикистон даст ба тазоҳурот заданд ва пулис дар ҷараёни саркӯби гирдиҳамоии эътирозии онон теъдоде аз ин занҳоро лату кӯб кард як зан дар натиҷаи ин ҳодиса ҷарроҳатҳои сангин бардошт
به اطلاع خبرگزاری‌ها شهرداری دوشنبه قصد دارد منازل واقع در نزدیکی کارخانۀ سمنت دوشنبه‌را تخریب نماید,ба иттилоъи хабаргузориҳо шаҳрдории душанбе қасд дорад манозили воқеъ дар наздикии корхонаи сементи душанберо тахриб намояд
شهرداری دوشنبه می‌گوید که این افراد در محل نامبرده از سال بدین سو غیر قانونی جا گرفته منزل بنا نموده اند,шаҳрдории душанбе мегӯяд ки ин афрод дар маҳалли номбурда аз соли бадин сӯ ҷо гирифта манзил бино намудаанд
شهرداری به این افراد در محلۀ خاوران دوشنبه زمین وعده نموده,шаҳрдорӣ ба ин афрод дар маҳаллаи ховарон-и душанбе замин ваъда намуда
ولی به انتقاد خانوادگان آن‌ها توان بنا نمودن ساختمان‌را ندارند,вале ба интиқоди хонаводагон онҳо тавони бино намудани сохтмонро надоранд
خواهش می‌کنم این ویدیو‌را از رادیو آزادی ببنید,хоҳиш мекунам ин видюро аз родю озодӣ бубинид
وقتی نوار‌را تماشا می‌کردم در فکر آن افتادم که مرد‌ها کجایند,вақте ки наворро тамошо мекардам дар фикри он уфтодам ки мардҳо куҷоянд
ولی به زودی جوابش‌را هم از زبان یکی از خانمان بدبخت پیدا کردم,вале ба зуддӣ ҷавобашро ҳам аз забони яке аз хонумони бадбахт пайдо кардам
پسر و شوهر و برادر هیشان همه در روسیه هستند,писару шавҳару бародарҳояшон ҳама дар дар русия ҳастанд
این خانم‌ها با آغاز جنگ به سر تاجیکستان تحمیل شده به افغانستان پناه می‌برند و همین حکومت بود که آن ها‌را از افغانستان باز می‌گرداند و در حومۀ شهر نزدیکی کارخانۀ سمنت که آب و هوای خوشی هم ندارد زمین کوچکی جدا می‌نماید تا برای خود منزل بنا نمایند,ин хонумҳо бо оғози ҷанги ба сари тоҷикистон таҳмил шуда ба афғонистон паноҳ мебаранд ва ҳамин ҳукумат буд ки онҳоро аз афғонистон боз мегардонад ва дар ҳумаи шаҳр наздикии корхонаи семент ки обу ҳавои хуше ҳам надорад замини кучаке ҷудо менамояд то барои худ манзил бино намоянд
امروز ایشان‌را می‌خواهند بیرون از در کنند,имрӯз эшонро мехоҳанд берун аз дар кунанд
درست است که شهرداری می‌تواند برای بهبودی بخشیدن به شهر مالکیت مردم‌را تخریب نماید ولی باید مبلغ کافی جدا نمایند تا شهروندان بتوانند در بالای سر بامی داشته باشند,дуруст аст ки шаҳрдорӣ метавонад барои беҳбудӣ бахшидан ба шаҳр моликияти мардумро тахриб намояд вале бояд маблағи кофӣ ҷудо намоянд то шаҳрвандон битавонанд дар болои сар боме дошта бошанд
منازلی که این مردم بیچاره دارد چیزی نیست و مبلغش هم زیاد نیست,манозиле ки ин мардуми бечора дорад чизе нест ва маблағаш ҳам зиёд нест
این‌ها از آن قصر هایی نیستند که نوتاجیک‌ها صاحبشان هستند,инҳо аз он қасрҳое нестанд ки навтоҷик- ҳо соҳибашон ҳастанд
این هم در حالیست که آقای رحمان سال گذشته قانون عفو مالکیت‌را تصویب نمود و امروز شهرداری در اساس غیر قانونی بودن این منازل می‌خواهد مردم‌را بی پناهگاه گذارد,ин ҳам дар ҳолест ки оқои раҳмон соли гузашта қонуни афви моликиятро тасвиб намуд ва имрӯз шаҳрдорӣ дар асоси ғайри қонунӣ будани ин манозил мехоҳад мардумро бе паноҳгоҳ гузорад
دیدن این نوار اصلاً دلم‌را داشت پاره پاره می‌کرد و بی اخطیار اشک روی چشمانم دوید که پلیس با خانمان بی سر و پناه چونین معامله می‌نماید,дидани ин навор аслан диламро дошт пора-пора мекард ва бе ихтиёр ашк руйи чашмонам давид ки пулис бо хонумони бе сару паноҳ чунин муъомила менамояд
وظیفۀ پلیس حفاظت شهروندان است,вазифаи пулис ҳифозати шаҳрвандон аст
گذشته از این اندوه آور آن است که این کار‌را واریسان آریان انجام داده اند؛ زادگان سرزمین پاک ایران – سرزمینی که جوانمردی‌را به جهان معرفی نموده,гузашта аз ин андӯҳовар он аст ки ин корро ворисони ориён анҷом додаанд зодагони сарзамини поки эрон – сарзамине ки ҷавонмардиро ба ҷаҳон муъаррифӣ намуда
کجاست آن جوانمردی که به زن و بچه‌ها حمله می‌کنند,куҷост он ҷавонмардӣ ки ба зану бачаҳо ҳамла мекунанд
به داد آن زنان و کودکان که می‌رسد,ба доди он занону кӯдакон кӣ мерасад
این‌را نمایندگان ملتی انجام می‌دهند که مادر‌را این قدر گرامی می‌دانند,инро намояндагони миллате анҷом медиҳанд ки модарро ин қадр гиромӣ медонанд
مگر ضرب و شتم نمودن مادران در نزد بچه‌های خود آدمی است مگر کسی فکر می‌کند که آیندۀ این اقدام چه می‌شود,магар зарбу шитам намудани модарон дар назди бачаҳои худ одамӣ аст
اگر این مادران نباشند این بچه‌ها چه کار خواهند کرد,агар ин модарон набошанд ин бачаҳо чӣ кор хоҳанд кард
دیدن اهانت مادران از طرف نیرو‌های حکمت به روان این بچه‌ها چه اثری می‌گذارد,дидани иҳонати модарон аз тарафи нируҳои ҳукумат ба равони ин бачаҳо чӣ асаре мегузорад
آینده تاجیکستان همین طفلاکان هستند و آیندۀ همین دولتمندان هم در دست آن هاست,ояндаи тоҷикистон ҳамин тифлакон ҳастанд ва ояндаи ҳамин давлатмандон ҳам дар дасти онҳост
طبق اطلاع رادیو آزادی نورمحمد امیرشاهی کارشناس در پژوهشگاه خاورشناسی تاجیکستان از رئیس جمهور امامعلی رحمان خواستار گذرش دوبارۀ تاجیکستان به دبیرۀ فارسی شده است,тибқи иттилоъи родю озодӣ нурмуҳаммади амиршоҳӣ коршнос дар пажуҳишгоҳи ховаршиносии тоҷикистон аз раиси ҷумҳур эмомалии раҳмон хостори гузариши дубораи тоҷикистон ба дабираи форсӣ шудааст
این موضوع در روند ملاقات سالانۀ آقای رحمان با روشنفکران تاجیک نیز از طرف برخی از روشنفکران به میان گذاشته شد,ин мавзуъ дар раванди мулоқоти солонаи оқои раҳмон бо рушанфикрони тоҷик низ аз тарафи бархе аз рушанфикрон ба миён гузошта шуд
باید ذکر نمود که این موضوع نخست سال میلادی به میان آمده بود,бояд зикр намуд ки ин мавзуъ нахуст соли мелодӣ ба миён омад
در اساس قانون زبان که همان سال از طرف شورای عالی تصویب شد تاجیکستان می‌بایست تا سال به دبیرۀ فارسی پس می‌گشت,дар асоси қонуни забон ки ҳамон сол аз тарафи шурои олӣ тасвиб шуд тоҷикистон мебоист то соли ба дабираи форсӣ пас мегашт
من که کوچک بودم ولی روز‌های پس از تصویب قانون زبان‌را یاد دارم,ман ки кучак будам вале рузҳрои пас аз тасвиби қонуни забонро ёд дорам
یاد دارم که در کوچه و خیابان‌های شهر همه جا لوحه‌ها با خط سیریلیک و فارسی نوشته شده بودند,ёд дорам ки дар кучаву хиёбонҳои шаҳр ҳама лавҳаҳо бо хати сирилик ва форсӣ навишта шуда буданд
اما آغاز جنگ داخلی به سر تاجیکستان تحمیل شده و به قدرت آمدن حکومت جدید در تاجیکستان فارسی ستیزی در تاجیکستان شدت گرفت و کل نوشتجات فارسی از کوچه و خیابان‌های شهر دوشنبه برداشنه شدند,аммо оғози ҷанги дохилии ба сари тоҷикистон таҳмил шуда ва ба қудрат омадани ҳукумати ҷадид дар тоҷикистон форсӣ ситезӣ дар тоҷикистон шиддат гирифт ва кулли навиштаҷоти форсӣ аз кучаву хиёбонҳои шаҳри душанбе бардошта шуданд
یاداور می‌شویم که تاجیکستان سال با خواست مقامات شوروی از دبیرۀ فارسی دست کشید و به لاتین گذشت و سال بر اساس قرار تازه به خط سیریلیک گذشت,ёдовар мешавем ки тоҷикистон соли бо хостори мақомоти шуравӣ аз дабираи форсӣ даст кашид ва ба лотин гузашт ва соли бар асоси қарори тоза ба хати сирилик гузашт
به گفتۀ آقای امیرشاهی خط سیریلیک تاجیکستان‌را از عالم جدا و بی خبر کرده است,ба гуфтаи оқои амиршоҳӣ хати сирилик тоҷикистонро аз олам ҷудо ва бехабар кардааст
دستاورد‌های جهانی توسط این جط به ما دسترس نیستند,дастовардҳои ҷаҳонӣ тавассути ин хат ба мо дастрас нестанд
اقای امیرشاهی همچنین ذکر می‌کند که با خط فارسی در ایران همۀ ادبیات جهانی‌را می‌توان دسترس کرد,оқои амиршоҳӣ ҳамчунин зикр мекунад ки бо хати форсӣ дар эрон ҳамаи адабиёти ҷаҳониро метавон дастрас кард
واقعاً هم امروز مردم تاجیکستان معمولاً به ادبیات جهان و به دستاورد‌های تازترین علمی و فنی از طریق زبان روسی دسترس دارند,воқеъан ҳам имруз мардуми тоҷикистон маъмулан ба адабиёти ҷаҳон ва ба дастовардҳои тозатарини илмию фаннӣ аз тариқи забони русӣ дастрас доранд
