پایان ماموریت ناتو در افغانستان نگرانیهایی‌را برای کشورهای آسیای میانه‌ در پی داشته است,поёни маъмурияти ноту дар афғонистон нигарониҳоро барои кишварҳои осиёи миёна дар пай доштааст
آقای وهاب گردآوری انتخاب آثار و نوشتن مقدمه کتاب‌را بر عهده داشته است,оқои ваҳҳоб гирдоварӣ ва интихоби осор ва нивиштани муқаддимаи китобро бар ӯҳда доштааст
رستم وهاب در مقدمه این کتاب توضیحاتی در باره شعر تاجیکستان و گرایشها در آن و همچنین تصاویری از شعر و شاعران معاصر تاجیک‌را ارائه کرده است,рустами ваҳҳоб дар муқадддимаи ин китоб тавзеҳоте дар бораи шеъри тоҷикистон ва гароишҳо дар он ва тасовире аз шеъру шоъирони муъосири тоҷикро ироа кардааст
فاطمه راکعی ویراستار بوی جوی مولیان در پیشگفتار این کتاب نوشته,фотима рокеъӣ виростори бӯи ҷӯи мӯлиён дар пешгуфтори ин китоб нивишта
امید است که این طرح یکی از مهمترین اهداف انجمن انجمن شاعران ایران‌را که معرفی شعر ایران به جهان و برعکس شعر جهان به ایران است محقق سازد,умед аст ки ин тарҳ яке аз муҳиммтарин аҳдофи анҷуман анҷумани шоъирони эрон-ро ки муъаррифии шеъри эрон ба ҷаҳон ва баръакс шеъри ҷаҳон ба эрон аст муҳаққақ созад
این کتاب گزیده‌ای است از اشعار شاعران معاصر تاجیک در صد سال اخیر که بخشی از طرح بزرگ گفتگوی شعر معاصر ایران و جهان‌را تشکیل می‌دهد,ин китоб гузидаест аз ашъори шоъирони муъосири тоҷик дар сад соли ахир ки бахше аз тарҳи бузурги гуфтугӯи шеъри муъосири эрон ва ҷаҳон-ро ташкил медиҳад
در کتاب بوی جوی مولیان نمونه‌هایی از اشعار شاعر معاصر تاجیک از صدرالدین عینی گرفته تا آرزو عیسی‌اف شاعر جوان انتخاب و معرفی شده‌اند,дар китоби бӯи ҷӯи мӯлиён намунаҳое аз ашъори шоъири муъосири тоҷик аз садриддин айнӣ гирифта то орзу исоев шоъири ҷавон интихоб ва муъаррифӣ шудаанд
رستم وهاب در باره کارهای خود در مقدمه این کتاب نوشته,рустами ваҳҳоб дар бораи кори худ дар муқаддимаи ин китоб навишта
موفقیت خود‌را اگر نشانی از آن هست مدیون استاد بزرگوار صدرالدین عینی می‌دانم زیرا شاهکار ایشان نمونه ادبیات تاجیک که استاد زنده‌یاد سعید نفیسی آن‌را نفیس‌ترین رهاورد برادران فرارودی ما عنوان کرده بودند همواره دستگیر و الهام‌بخش بنده بوده است,муваффақияти худро агар нишоне аз он ҳаст мадюни устоди бузургвор садриддин айнӣ медонам зеро шоҳкори эшон намунаи адабиёти тоҷик ки устоди зиндаёд саъиди нафисӣ онро нафистарин раҳоварди бародарони фарорӯдии мо унвон карда буданд ҳамвора дастгир ва илҳомбахши банда будааст
در میان اشعار منتخب شاعران معاصر تاجیک که در تذکره بوی جوی مولیان جای داده شده‌اند از میان شاعر اشعار شش شاعر زن گلرخسار فرزانه نقره سنت‌نیا گلناز ادیبه خجندی و رعنای مبارز معرفی شده است,дар миёни ашъори мунтахаби шоъирони муъосири тоҷик ки дар тазкираи бӯи ҷӯи мӯлиён ҷой дода шудаанд аз миёни шоъир фақат ашъори шаш шоъири зан - гулрухсор фарзона нуқраи суннатниё гулноз адибаи хуҷандӣ ва раънои мубориз муъаррифӣ шудааст
رستم وهاب در پاسخ به این سؤال که معیار گزینش شاعران و اشعار منتخب چه بود به بی‌بی‌سی گفت,рустами ваҳҳоб дар посух ба ин суол ки меъёри гузиниши шоъирон ва ашъори мунтахаб чи буд ба би-би-сӣ гуфт
شاید در این میان شاعرانی از این کتاب خارج باقی مانده باشند که آثار خوب و خواندنی دارند اما آنچه در این محدوده زمانی به ما دسترس گردید و چهره‌هایی که معرفی شدند هر یک در بخش خود معرفی کننده یک قسمت از نظم معاصر ما می‌باشد که جریانهای مختلف ذوق و سلیقه‌های مختلف و انواع گوناگون شعر رایج تاجیکستان‌را معرفی می‌کند,шояд дар ин миён шоъироне аз ин китоб хориҷ боқӣ монда бошанд ки осори хубу хондание доранд аммо ончи дар ин маҳдудаи замонӣ ба мо дастрас гардид ва чеҳраҳое ки муъаррифӣ шуданд ҳар яке дар бахши худ муъаррификунандаи як қисмат аз назми муъосири мо мебошад ки ҷараёнҳои мухталиф завқу салиқаҳои мухталиф ва анвоъи гуногуни шеъри роиҷи тоҷикистонро муъаррифӣ мекунад
او افزود,ӯ афзуд
البته بهترین شاعرانی که در ادبیات امروز ما مطرح هستند در این مجموعه جا یافته‌اند,албатта беҳтарин шоъироне ки дар адабиёти имрӯзи мо матраҳ ҳастанд дар ин маҷмӯъа ҷо ёфтаанд
ما تلاش کردیم که با تاکید به سال اخیر این گزینش‌را انجام بدهیم,мо талош кардем ки бо таъкид ба соли ахир ин гузинишро анҷом бидиҳем
بیشتر توجه به شاعرانی شده است که آنها در عین فعالیت ایجادی خلاقه هستند و آینده ادبیات ما نیز به فعالیت آنها بستگی دارد,бештар таваҷҷуҳ ба шоъироне шудааст ки онҳо дар айни фаъъолияти эҷодӣ ҳастанд ва ояндаи адабиёти мо низ ба фаъъолияти онҳо бастагӣ дорад
در مجموعه بوی جوی مولیان که در ظرف نیم سال تهیه و چاپ شده نام شاعران تازه‌ای هم به نظر می‌رسد که هنوز عضو اتحادیه نویسندگان تاجیکستان نیستند,дар маҷмӯъаи бӯи ҷӯи мӯлиён ки дар зарфи ним сол таҳия ва чоп шуда номи шоъирони тозае ҳам ба назар мерасад ки ҳанӯз узви иттиҳодияи нависандагон нестанд
آقای وهاب در باره افزودن نمونه‌هایی از اشعار آنها به مجموعه می‌گوید شعر آنها در مجله‌ها چاپ شده و شعرهایشان پخته است,оқои ваҳҳоб дар бораи афзудани намунаҳое аз ашъори онҳо ба маҷмӯъа мегӯяд шеъри онҳо дар маҷаллаҳо чоп шуда ва шеърҳояшон пухта аст
رستم وهاب مدرک دکترای خود‌را در رشته ادبیات و فیلولوژی زبان‌شناسی تاریخی از دانشگاه دولتی تاجیکستان و دانشگاه دولتی مسکو دریافت کرده و در موضوع تحول وزن در نظم معاصر فارسیتاجیکی از رساله علمی خود دفاع کرده است,рустами ваҳҳоб мадраки дуктурои худро дар риштаи адабиёт ва филулужӣ аз донишгоҳи давлатиитоҷикистон ва донишгоҳи давлатии маскав дарёфт карда ва дар мавзӯъи таҳаввули вазн дар назми муъосири форсӣ-тоҷикӣ рисолаи илмии худро дифоъ кардааст
آقای وهاب خود نیز صاحب قلم بوده و دو کتاب شعر با عنوان کلمه‌ها و شهر خورشید به چاپ رسانده است,оқои ваҳҳоб худ низ соҳибқалам буда ва ду китоби шеър бо унвонҳои калимаҳо ва шаҳри хуршед ба чоп расондааст
برخی از اشعار خود او نیز در تذکره بوی جوی مولیان معرفی شده است,бархе аз ашъори худи ӯ низ дар тазкираи бӯи ҷӯи мӯлиён муъаррифӣ шудааст
به گفته وی دوستداران ادبیات در ایران از کتاب بوی جوی مولیان خوش استقبال کرده‌اند و اکنون پیدا کردن این کتاب در کتاب‌فروشیها که تیراژ اولین آن با تعداد نسخه در کمتر از یک ماه به فروش رسیده دشوار است,ба гуфтаи вай дӯстдорони адабиёт дар эрон аз китоби бӯи ҷӯи мӯлиён хуш истиқбол кардаанд ва акнун пайдо кардани ин китоб дар китобфурӯшиҳо ки тирожи аввалини он камтар аз як моҳ қабл бо теъдоди нусха ба фурӯш расида душвор аст
او مطمئن است که ناشران بوی جوی مولیان‌را بارها به چاپ خواهند رساند,ӯ мутмаин аст ки ноширон бӯи ҷӯи мӯлиён-ро борҳо ба чоп хоҳанд расонд
آقای وهاب در پایان صحبت با بی‌بی‌سی گفت,оқои ваҳҳоб дар поёни суҳбат бо би-би-сӣ гуфт
نظرهایی امروز وجود دارد که شعر ما دچار فقر و افتادگی شده و یا سخن قالبی شده و هر کسی آید آن‌را تکرار می‌کند چندان درست نیست,назарҳое имрӯз вуҷуд дорад ки шеъри мо дучори фақру уфтодагӣ шуда ва ё сухан қолабӣ шуда ва ҳар касе ояд онро такрор мекунад чандон дуруст нест
تنظیم این مجموعه مرا بار دیگر به این نکته معتقد کرد زیرا هنگام گزینش نمونه‌هایی از اشعار شعرای تاجیکستان ما هیچ مشکلی در انتخاب نمونه‌های مناسب و شایسته نداشتیم هم از لحاظ سلامت زبان هم از لحاظ دید شاعرانه و شاعرانگی,танзими ин маҷмӯъа маро бори дигар ба ин нукта муътақид кард зеро ҳангоми гузиниши намунаҳое аз ашъори шуъарои тоҷикистон мо ҳеҷ мушкиле дар интихоби намунаҳои муносиб ва шоиста надоштем ҳам аз лиҳози саломати забон ҳам аз лиҳози диди шоъирона ва шоъиронагӣ
شورای رسانه‌های تاجیکستان آرزو عیسی‌اف خبرنگار سابق رادیوی امروز‌را در نقض پنج بند آیین‌‌نامه اخلاق روزنامه‌نگاری مقصر دانسته است,шӯрои расонаҳои тоҷикистон орзӯ исоев хабарнигори собиқи родиюи имрӯз-ро дар нақзи панҷ банди ойинномаи ахлоқи рӯзноманигорӣ муқассир донистааст
این شورا روز پنج‌شنبه‌ اوت با صدور اطلاعیه ای خبر داد که پس از دو مرحله بررسی شکایت مسئولان شرکت کویستنت علیه آقای عیسی‌اف به این نتیجه رسیده است,ин шӯро рӯзи панҷшанбеи август бо судури иттилоъияе хабар дод ки пас аз ду марҳила баррасии шикояти масъулони ширкати квестнет алайҳи оқои исоев ба ин натиҷа расидааст
در این اطلاعیه آمده است که در جریان بحثها پیرامون فعالیت این شرکت در برنامه بحث روز رادیوی امروز که آقای عیسی‌اف مجری آن بود مقررات بندهای در باره رسالت رسانه و روزنامه‌نگار در باره عقیده دلیل و گمان و تخمین در باره حفظ شان و شرف و اعتبار شخص در باره احتمال بی‌گناهی اصل براعت و در باره همرایی کسبی خللدار شده است,дар ин иттилоъия омадааст ки дар ҷараёни баҳсҳо перомуни фаъъолияти ин ширкат дар барномаи баҳси рӯз-и родиюи имрӯз ки оқои исоев муҷрии он буд муқаррароти бандҳои дар бораи рисолати расона ва рӯзноманигор дар бораи ақида далел ва гумону тахмин дар бораи ҳифзи шаъну шараф ва эътибори шахс дар бораи эҳтимоли бегуноҳӣ асли бароат ва дар бораи ҳамраъйии касбӣ халалдор шудааст
شورای رسانه‌ها هیچ دلیل یا شاهدی در باره چگونگی نقض این مقررات از سوی آرزو عیسی‌اف ارائه نکرده و فقط آورده است,шӯрои расонаҳо ҳеч далел ё шоҳиде дар бораи чигунагии нақзи ин муқаррарот аз сӯйи орзӯ исоев ироа накарда ва фақат овардааст
از بس که آرزو عیسی‌اف فعالیتش‌را در رادیوی امروز قطع نموده است به اداره رادیوی امروز توصیه داده می‌شود که از این به بعد هنگام آماده کردن چنین برنامه‌ها به احساسات داده نشوند و از مصلحت متخصصان ساحه استفاده کنند,азбаски орзу исоев фаъъолияташро дар родиюи имрӯз қатъ намудааст ба идораи родиюи имрӯз тавсия дода мешавад ки минбаъд ҳангоми омода кардани чунин барномаҳо ба эҳсосот дода нашаванд ва аз маслиҳати мутахассисони соҳа истифода кунанд
قرانشاه شریفزاده رئیس این شورا در پاسخ به این سؤال که چه دلیلهایی در زمینه نقض این پنج مقررات موجود است گفت که رجب میرزا یکی از اعضای این شورا ضبط همه برنامه‌های مربوط به این قضیه‌را گوش کرده و گزارشی در این زمینه به اعضای شورا ارائه داده است,қироншоҳ шарифзода раиси ин шӯро дар посух ба ин суол ки чи далелҳое дар заминаи нақзи ин панҷ муқаррарот мавҷуд аст гуфт ки раҷаби мирзо яке аз аъзои ин шӯро забти ҳамаи барномаҳои марбут ба ин қазияро гӯш карда ва гузорише дар ин замина ба аъзои шӯро ироа додааст
خود آقای میرزا در صحبتی تلفنی به بی بی سی گفت که برای شرکت در جلسه‌ای عجله دارد و متن گزارشی‌را که تهیه کرده بود در دست ندارد,худи оқои мирзо дар суҳбате телефунӣ ба би-би-сӣ гуфт ки барои ширкат дар ҷаласае аҷала дорад ва матни гузоришеро ки таҳия карда буд дар даст надорад
او گفت که دلایل زیادی در باره نقض این مقررات هست ولی چون متن گزارش پیشم نیست نمی‌توانم شرح دهم,ӯ гуфт ки далоили зиёде дар бораи нақзи ин муқаррарот ҳаст вале азбас матни гузориш пешам нест наметавонам шарҳ диҳам
خود آرزو عیسی‌اف روزنامه‌نگار شناخته که اخیرا فعالیتش‌را در رادیوی امروز متوقف کرده هنوز هیچ واکنشی به تصمیم شورای رسانه‌های تاجیکستان نکرده است,худи орзу исоев рӯзноманигори шинохта ки ахиран фаъъолияташро дар родиюи имрӯз мутаваққиф карда ҳанӯз ҳеч вокунише ба тасмими шӯрои расонаҳои тоҷикистон накардааст
تلاش ما برای ارتباط با او بعد از ظهر روز پنج‌شنبه‌ نتیجه‌ای نداد,талоши мо барои иртибот бо ӯ баъд аз зуҳри рӯзи панҷшанбе натиҷае надод
قرانشاه شریفزاده گفت که آقای عیسی‌اف به دلایلی نامعلوم در جلسه نخست برای بررسی این قضیه هم که قرار بود طرفهای دعوا روبروی هم قرار بگیرند شرکت نکرده و به همین دلیل تصمیم اعضای شورا بدون حضور طرفها اتخاذ شده است,қироншоҳ шарифзода гуфт ки оқои исоев ба далоиле номаълум дар ҷаласаи нахуст барои баррасии ин қазия ҳам ки қарор буд тарафҳои даъво рӯбарӯи ҳам қарор бигиранд ширкат накарда ва ба ҳамин далел тасмими аъзои шӯро бидуни ҳузури тарафҳо иттихоз шудааст
ضمنا شورای رسانه‌های تاجیکستان که در مورد بحثهای رسانه‌ای داوری می‌کند به نمایندگی شرکت کوستنت نیز توصیه داده که در صورت دعوت شدن به نشستهای مطبوعاتی و یا برنامه‌های رادیو و تلویزیونی شرکت مسئولانش‌را در این همایشها و برنامه‌ها تامین کند,зимнан шӯрои расонаҳои тоҷикистон ки дар мавриди баҳсҳои расонаӣ доварӣ мекунад ба намояндагии ширкати квестнет низ тавсия дода ки дар сурати лаъват шудан ба нишастҳои матбӯъотӣ ва ё барномаҳои родию ва телевизиюнӣ ширкати масъулонашро дар ин ҳамоишҳо ва барномаҳо таъмин кунад
این شورا به راهبران و کارمندان رسانه‌ها نیز توصیه کرده که به خاطر تامین آزادی سخن در فعالیت روزمره‌اشان اصول بنیادی اخلاق روزنامه‌نگاری‌را رعایت کنند,ин шӯро ба роҳбарону кормандони расонаҳо низ тавсия карда ки ба хотири таъмини озодии сухан дар фаъъолияти рӯзмарраашон усули бунёдии ахлоқи рӯзноманигориро риъоят кунанд
منابع این سازمان می‌گویند که بررسی این قضیه پس از شکایت سیدحامد محموداف که به عنوان رهبر نمایندگی شرکت کوستنت در تاجیکستان معرفی شده صورت گرفته است,манобеъи ин созмон мегӯянд ки баррасии ин қазия пас аз шикояти сайҳомид маҳмудов ки ба унвони раҳбари намояндагии ширкати квестнет дар тоҷикистон муъаррифӣ шуда сурат гирифтааст
همچنین جلسه این شورا برای بررسی این قضیه بینا بر حجما کلان بودن مواد برنامه بحث روز در دو دور برگزار شده است,ҳамчунин ҷаласаи ин шӯро барои баррасии ин қазия бино бар ҳаҷман калон будани маводди барномаи баҳси рӯз дар ду давр баргузор шудааст
شرکت بحث برنگیز کوستنت که طی سالهای اخیر بیشتر با نام کیونت فعالیت می‌کند در گذشته با نامهای و شهرت داشت در سال در هنگ کنگ تاسیس شده و از اوایل دهه به این سو در تاجیکستان نیز مشتریان زیادی پیدا کرده است,ширкати баҳсбарангези квестнет ки тайи солҳои ахир бештар бо номи кюнет фаъъолият мекунад дар гузашта бо номҳои ва шуҳрат дошт дар соли дар ҳунг кунг таъсис шуда ва аз авоили даҳаи ба ин сӯ дар тоҷикистон низ муштариёни зиёде пайдо кардааст
بر اساس گزارشها فعالیت این شرکت که بسیاری از آن به عنوان یک شرکت حرمی نام می‌برند در برخی از کشورها مانند ایران ترکیه و برخی ایالات هند ممنوع شده و تعدادی از مدیران و اعضای آن به اتهام کلاهبرداری بازداشت شده‌اند,бар асоси гузоришҳо фаъъолияти ин ширкат ки бисёре аз он ба унвони як ширкати ҳарамӣ ном мебаранд дар бархе аз кишварҳо монанди эрон туркия ва бархе иёлоти ҳинд мамнӯъ шуда ва теъдоде аз мудирон ва аъзои он ба иттиҳоми кулоҳбардорӣ боздошт шудаанд
به گفته مسئولان کوستنت شیوه فعالیت این شرکت چنین است که یک نفر در عوض پرداخت مبلغی و دریافت اشیایی مانند ساعت و بیودیسک عضو آن می‌شود و سپس وادار می‌شود که دست کم دو مشتری دیگر‌را به آن معرفی کند,ба гуфтаи масъулони квестнет шеваи фаъъолияти ин ширкат чунин аст ки як нафар дар ивази пардохти маблағе ва дарёфти ашёе монанди соъату биюдиск узви он мешавад ва сипас водор мешавад ки дастикам ду муштарии дигарро ба он муъаррифӣ кунад
هر کدامی از این دو مشتری باز دو مشتری دیگر پیدا و معرفی می‌کنند و این سلسله همین طور ادامه‌ می‌یابد,ҳар кадоме аз ин ду муштарӣ боз ду муштарии дигар пайдо ва муъаррифӣ мекунанд ва ин силсила ҳамин тур идома меёбад
با معرفی افراد بیشتر و دوام یافتن زنجیره مشتریان اعضای آن با توجه به مقامی که در این سلسله مراتب دارند سهم خود‌را از شرکت دریافت می‌کنند,бо муъаррифии афроди бештар ва давом ёфтани занҷираи муштариён аъзои он бо таваҷҷуҳ ба мақоме ки дар ин силсиламаротиб доранд саҳми худро аз ширкат дарёфт мекунанд
برخی از اقتصاددانها این شیوه فعالیت‌را خاص شرکتهای حرمی می‌دانند که در بسیاری از کشورهای پیشرفته ممنوع است,бархе аз иқтисоддонҳо ин шеваи фаъъолиятро хосси ширкатҳои ҳарамӣ медонанд ки дар бисёре аз кишварҳои пешрафта мамнӯъ аст
مسئولان کوستنت از آن به عنوان یک شرکت جهانی نام می‌برند که در بیش از کشور فعالیت داشته و کمک به مردم از اهداف اصلی‌اش است,масъулони квестнет аз он ба унвони як ширкати ҷаҳонӣ ном мебаранд ки дар беш аз кишвар фаъъолият дошта ва кумак ба мардум аз аҳдофи аслияш аст
اما آن گونه که از تارنمای این شرکت برمی‌آید دفاتر آن بیشتر در کشورهای آسیایی و آفریقایی و جماهیر شوروی سابق فعال است,аммо он гуна ки аз торнамои ин ширкат бармеояд дафотири он бештар дар кишварҳои осиёиву офриқоӣ ва ҷамоҳири шӯравии собиқ фаъъол аст
خبرگزاری آزادگان قبلا در استناد به سیدحامد محموداف رئیس نمایندگی این شرکت در تاجیکستان نوشته بود که او از پیوندان محمدسید عبیدالله‌اف شهردار دوشنبه است,хабаргузории озодагон қаблан дар истинод ба сайҳомид маҳмудов раиси намояндагии ин ширкат дар тоҷикистон нивишта буд ки ӯ аз пайвандони маҳмадсаид убайдуллоев шаҳрдори душанбе аст
آرزو عیسی‌اف از نخستین روزنامه‌نگاران در تاجیکستان است که مشروعیت کار این شرکت‌را زیر سؤال برده است,орзу исоев аз нахустин рӯзноманигорон дар тоҷикистон аст ки машрӯъияти кори ин ширкатро зери суол бурдааст
وزارت امور داخله کشور تاجیکستان از بازداشت دو نظامی روسیه به ظن قتل یک راننده تاکسی در جنوب شهر دوشنبه خبر داده است,вазорати умури дохилаи тоҷикистон аз боздошти ду низомии русия ба занни қатли як ронандаи токсӣ дар ҷануби шаҳри душанбе хабар дод
در وبسایت این نهاد آمده است که این دو نظامی روس در پی عملیات ویژه پلیس بعد از کشف جسد این راننده در یکی از محلات جنوب پایتخت تاجیکستان بازداشت شده‌اند,дар торнамои ин ниҳод омадааст ки ин ду низомии рус дар пайи амалиёти вижаи пулис баъд аз кашфи ҷасади ин ронанда дар яке аз маҳаллоти ҷануби пойтахти тоҷикистон боздошт шудаанд
پلیس می‌گوید که جسد رحیم‌جان تیشه‌یف راننده خودروی از نوع اوپلآسترا‌را روز اوت با نشانه‌های مرگ اجباری در روستای چیم تپه واقع در نزدیکی یکی از تاسیسات پایگاه نظامی روسیه معروف به شهرک نظامی در جنوب شهر دوشنبه پیدا کرده‌اند,пулис мегӯяд ки ҷасади раҳимҷон тешаев ронандаи худраве аз навъи опел-астра-ро рӯзи август бо нишонаҳои марги иҷборӣ дар рустои чимтеппа воқеъ дар наздикии яке аз таъсисоти пойгоҳи низомии русия маъруф ба военгородок дар ҷануби шаҳри душанбе пайдо кардаанд
کارمندان انتظامی هویت این دو نظامی‌را نیز مشخص کرده و می‌گویند که یکی از آنها به نام ایلدر ساخاپف فرمانده سابق یگان نظامی شماره پایگاه نظامی روسیه در تاجیکستان است,кормандони интизомӣ ҳувияти ин ду низомиро низ муъайян карда ва мегӯянд ки яке аз онҳо ба номи илдар сахапов фармондеҳи собиқи ягони низомии шумораи пойгоҳи низомии русия дар тоҷикистон аст
نام متهم دیگر فئودور بسیمف بوده و او نیز معاون فرمانده گروه این یگان نظامی بوده است,номи муттаҳами дигари ин ҷурм фёдор басимов буда ва ӯ низ муъовини фармондеҳи гурӯҳи ин ягони низомӣ будааст
عملیات ویژه پلیس روز اوت سال جاری صورت گرفته است,амалиёти вижаи пулис рӯзи августи соли ҷорӣ сурат гирифтааст
پلیس می‌گوید که این دو نظامی روس در بازداشتگاه به سر می‌برند و تحقیق پرونده جنایی در رابطه با این حادثه ادامه‌ دارد,пулис мегӯяд ки ин ду низомии рус ҳоло дар боздоштгоҳ ба сар мебаранд ва таҳқиқи парвандаи ҷиноӣ дар робита бо ин ҳодиса идома дорад
در همین حال به گفته پیوندان رحیم‌جان تیشه‌یف وی مدت طولانی در محلی در نزدیکی تاسیسات پایگاه نظامی روسیه در جنوب شهر دوشنبه مشغول رانندگی بود و معمولا مسافران اصلی او‌را افسران و سربازان روس تشکیل می‌دادند,дар ҳамин ҳол ба гуфтаи пайвандони раҳимҷон тешаев вай муддати тӯлонӣ дар маҳалле дар наздикии таъсисоти пойгоҳи низомии русия дар ҷануби шаҳри душанбе машғули ронандагӣ буд ва маъмулан мусофирони аслии ӯро афсарон ва сарбозони рус ташкил медоданд
به گفته یکی از برادران آقای تیشه‌یف یکی از افسران روس برای استفاده از خدمات تاکسی به او بیش از دلار بدهکار بوده هرچند تایید این ادعا به طور مستقل دشوار است,ба гуфтаи яке аз бародарони оқои тешаев яке аз афсарони рус барои истифода аз хадамоти токсӣ ба ӯ беш аз дулор бидеҳкор буда ҳарчанд таъйиди ин иддиъо ба таври мустақил душвор аст
برادر رحیم‌جان تیشه‌یف افزود که جسد او‌را در نیمه‌شب پیدا کرده‌اند و او به شکل فجیعی به قتل رسیده بود,ин бародари раҳимҷон тешаев афзуд ки ҷасади ӯро дар нимашаби август пайдо кардаанд ва ӯ ба таври фаҷеъе ба қатл расида буд
او می‌گوید که از جمله چهار انگشت برادرش شکسته و با چاقو گردن او بریده شده بود,ӯ мегӯяд ки аз ҷумла чаҳор ангушти бародараш шикаста ва бо чоқу гардани ӯ бурида шуда буд
مسئولان پایگاه نظامی روسیه در تاجیکستان از ابراز نظر در این باره خودداری می‌کنند,масъулони пойгоҳи низомии русия дар тоҷикистон аз ибрози назар дар ин бора худдорӣ мекунанд
اما گفته می‌شود این نخستین بار نیست که نظامیان پایگاه روسیه در تاجیکستان به ارتکاب جرایم مختلف از جمله قتل متهم می‌شوند,аммо гуфта мешавад ин нахустин бор нест ки низомиёни пойгоҳи русия дар тоҷикистон ба иртикоби ҷароими мухталиф аз ҷумла қатл муттаҳам мешаванд
در پاییز سال نیز وزارت کشورامور داخله تاجیکستان از بازداشت دو تن از نظامیان پایگاه روسیه در این کشور به اتهام قتل یک راننده تاکسی خبر داده بود,дар пойизи соли низ вазорати умури дохилаи тоҷикистон аз боздошти ду тан аз низомиёни пойгоҳи русия дар ин кишвар ба иттиҳоми қатли як ронандаи токсӣ иттилоъ дода буд
این افراد دمیتریی کوچما و ویاچسلاو چیرنف دو گروهبان از شهروندان روسیه بودند که در قتل یک راننده تاکسی مظنون دانسته شده بودند,ин афрод гурӯҳбонҳо сержантҳо дмитрий кучма ва вячеслав чернов ҳарду шаҳрвандони русия буданд ки дар қатл ва ғорати як ронандаи токсӣ мазнун дониста шуда буданд
اما تا کنون گزارشی در باره محاکمه و محکومیت این دو نظامی روس در تاجیکستان منتشر نشده است,аммо то кунун гузорише дар бораи муҳокима ва маҳкумияти ин ду низомии рус дар тоҷикистон мунташир нашудааст
بر اساس اطلاع منابع رسمی در تاجیکستان حدود هزار نظامی در پایگاه نظامی روسیه به سر می‌برند,бар асоси иттилоъи манобеъи расмӣ дар тоҷикистон ҳудуди ҳазор нафар аз низомиёни пойгоҳи низомии русия ба сар мебаранд
تاسیسات این پایگاه در شهرهای دوشنبه کولاب و قرغانتپه واقع است,таъсисоти ин пойгоҳ дар шаҳрҳои душанбе кӯлоб ва қурғонтеппа воқеъ аст
با وجود انتقادات گسترده در باره فعالیت پایگاه نظامی روسیه در تاجیکستان ولادیمیر پوتین رئیس جمهوری روسیه و امامعلی رحمان رئیس جمهوری تاجیکستان در پاییز سال برای تمدید حضور این پایگاه در تاجیکستان برای نزدیک به سال دیگر توافق کردند,бо вуҷуди интиқодоти густарда дар бораи фаъъолияти пойгоҳи низомии русия дар тоҷикистон владимир путин раиси ҷумҳурии русия ва эмомалӣ раҳмон раиси ҷумҳурии тоҷикистон дар пойизи соли барои тамдиди ҳузури ин пойгоҳ дар тоҷикистон барои наздик ба соли дигар тавофуқ карданд
هرچند منابع آگاه می‌گفتند که مقامات تاجیک با شرایط این توافقنامه موافق نیستند و ممکن است به تصویب مجلس نرسد ولی پارلمان تاجیکستان این سند‌را یک سال بعد در آستانه انتخابات ریاست جمهوری در پاییز سال تصویب کرد,ҳарчанд манобеъи огоҳ мегуфтанд ки мақомоти тоҷик бо шароити ин тавофуқнома мувофиқ нестанд ва мумкин аст он ба тасвиби маҷлис нарасад вале порлумони тоҷикистон ин санадро як сол баъд дар остонаи интихоботи риёсати ҷумҳурӣ дар пойизи соли тасвиб кард
بر اساس این توافق نظامیان روس از مصونیت ویژه‌ای برخوردارند و در صورت ارتکاب جرایمی محاکمه و مجازات آنان بر اساس قوانین روسیه صورت می‌گیرد,бар асоси ин тавофуқ низомиёни рус аз масунияти вижае бархурдоранд ва дар сурати иртикоби ҷароиме муҳокима ва муҷозоти онон бар асоси қавонини русия сурат мегирад
با توجه به این تحلیلگران در باره میزان مجازات این افراد ابراز تردید می‌کنند,бо таваҷҷуҳ ба ин таҳлилгарон мегӯянд ки муҷозоти дархури ин афрод баъид ба назар мерасад
پایگاه نظامی روسیه در تاجیکستان در زمینه لشکر پیاده‌نظام اتحاد شوروی که در قلمرو این جمهوری شوروی مستقر بود تاسیس شده است,пойгоҳи низомии русия дар тоҷикистон дар заминаи лашкари пиёданизоми иттиҳоди шӯравӣ ки дар қаламрави ин ҷумҳурии шӯравӣ мустақар буд таъсис шудааст
این لشکر پس از کسب استقلال تاجیکستان و با امضای موافقتنامه‌ای از سوی رحمان نبی‌اف رئیس جمهور وقت به تصرف روسیه درآمد,ин лашкар пас аз касби истиқлоли тоҷикистон ва бо имзои мувофиқатномае аз сӯи раҳмон набиев раисҷумҳури вақт ба тасарруфи русия даромад
روسیه کشورهای آسیای میانه‌ از جمله تاجیکستان‌را حوزه تحت نفوذ خود می‌داند و همواره تلاش کرده است حضور نظامی اش‌را در این منطقه حفظ کند,русия кишварҳои осиёи миёна аз ҷумла тоҷикистонро ҳавзаи таҳти нуфузи худ медонад ва ҳамвора талош кардааст ҳузури низомияшро дар ин минтақа ҳифз кунад
بانک مرکزی تاجیکستان ادعای مقامات ایرانی‌را مبنی بر این که دلار توسط بابک زنجانیبه یکی از بانک‌ها در تاجیکستان منتقل شده‌است بی‌پایه خواند,бонки миллии точикистон иддаъои бархе аз расонаҳои эронӣ мабнӣ бар ин ки милёрд дуллор тавассути бобаки занҷонӣ ба яке аз бонкҳо дар тоҷикистон мунтақил шудаастро бепоя хонд
