Ҳаводиси рӯзҳои охар дар Эрон тамоми ҷаҳонро ба худ ҷалб намуда	حوادث روزهای آخر در ایران تمام جهان‌را به خود جلب نموده
Мардуми тоҷик аз ҳуқуқи бунёнии худ бе баҳра ҳастанд	مردم تاجیک از حقوق بنیانی خود بی بهره هستند
Тибқи иттилоъи Созмони Мустақили Ҳуқуқи Башари Ӯзбакистон ки дар рӯзномаи Нувуё Пукуление Новое Поколение-и чопи Олмо Отии Қазоқистон ба табъ расида соли мелодӣ дар шаҳрҳои Самарқанду Бухоро мутобиқи фармони вазорати омӯзишу парвариши Ӯзбакистон аз соли китобҳо ба забони форсӣ ё худ тоҷикӣ хароб карда шудаанд	طیق اطلاع سازمان مستقل حقوق بشر ازبکستان که در روزنامۀ نووایا پوکولنیه ی چاپ آلما آتی قزاقستان به طبع رسیده سال میلادی در شهر‌های سمرقند و بخارا مطابق فرامان وزارت آموزش و پرورش ازبکستان از سال کتاب‌ها به زبان فارسی یا خود تاجیکی خراب کرده شده اند
Танҳо дар як мактаби Самарқанд зиёда аз китоби дарсӣ роҷеъ ба улуми текникӣ ва табиъи хароб карда шудааст	تنها در یک مکتب سمرقند زیاده از کتاب درسی راجع به علوم تکنیکی و طبیعی خراب کرده شده است
Ин раванд дар саросари сарзаминҳои таҳти кунтрули ин режим то имрӯз давом дорад	این روند در سراسر سرزمين هاي تحت كنترول اين رژيم تا امروز دوام دارد
Ҷамол Мирсаидуф Мирсаидов намояндаи Созмони Мустақили Ҳуқуқи Башари Ӯзбакистон мегӯяд ки дар китобхонаи наздики манзилам ҳатто як китобе ба забони тоҷикӣ нест	جمال میر سعید اف نمایندۀ سازمان مستقل حقوق بشر ازبکستان می‌گوید که در کتابخانۀ نزدیک منزلم حتی یک کتابی به زبان تاجیکی نیست
Бадтарин чиз ин аст ки шоҳкитобҳое аз Абу Алӣ Сино Саъдӣ Шекспир Бойрун Пушкин	بدترین چیز این است که شاه کتاب هایی از ابو علی سینا سعدی شکسپیر بایرون پوشکین
хароб карда мешаванд ки ба ҳамаи он ба забони форсӣ буд	خراب کرده می‌شوند که همۀ آن به زبان فارسی بود
Тибқи ин омор дар Самарқанд танҳо як омӯзишгоҳе боқӣ монда ки дар он омӯзиш ба забони форсист форсии сирилик ва он ҳам бахши забоншиносии форсӣ дар Донишгоҳи Самарқанд аст	طبق این آمار در سمرقند تنها یک آموزشگاهی باقی مانده که در آن آموزش به زبان فارسیست و آن هم بخش زبان شناسی فارسی در دانشگاه سمرقند است
Гузашта аз ин режими ишғолгарои Ӯзбакистон ба поксозии нажодӣ этническая чистка низ даст задааст	گذشته از این رژیم اشغال گرای ازبکستان به پاک سازیِ نژادی نیز دست زده است
Соли тибқ иттилоъи мақомоти Тоҷикистон режими ишғолгарои Ӯзбакистон тақрибан тоҷикро ба иттиҳоми терурисм ва тундгароии исломӣ аз хонаҳои худ дар устони Сурхондарё ба минтақаи дигар иҷборан берун кардааст	سال طبق اطلاع مقامات تاجیکستان رژیم اشغالگرای ازبکستان تقریباً تاجیک‌را به اتهام تروریسم و تندگرایی اسلامی از خانه‌های خود در استان سرخان دریا به مناطق دیگر اجباراً بیرون کرده است
Дардовартарин чиз ин аст ки худ мардуми тоҷике ки таҳти ин режим ба сар мебаранд дар рӯйи ин ҳама нақзи ҳуқуқашон хомӯш ҳастанд	درد آورترین چیز این است که خود مردم تاجيكي كه تحت اين رژيم به سر مي برنددر روی این همه نقض حقوقشان خاموش هستند
Ин ба хотири он аст ки режими ишғолгаро бо қавитарин роҳҳо кӯшиш кард кард мӯҳраи мардумро бишканад	این به خاطر آن است که رژیم اشغالگرا با قویترین راه‌ها کوشش کرد مهرۀ مردم‌را بشکند
Ин давоми сиёсати дароз-муддати ӯзбаксозии ин режим аст	این دوام سیاست دراز مدت ازبکسازی رژیم است
Аз замони ташкил шудан Ҷумҳурии Худмухтори Шӯравии Сусиёлистии Туркистон ки сарварони асосии он пон туркистҳо буданд ӯзбаксозии тоҷикон оғоз шуд	از زمان تشکل شدن جمهوری خودمختار شوروی سوسیالیستی ترکستان که سروران اساسی آن پان ترکست‌ها بودند ازبکسازی تاجیکان آغاز شد
Тибқи саршумории соли ҷамъияти тоҷик дар Самарқанд ва ӯзбак нафар буд	طبق سرشماری سال جمعیت تاجیک در سمرقند و ازبک نفر بود
Соли ҷамъияти тоҷик ва ӯзбак мешавад	سال جمعیت تاجیک و ازبک می‌شود
Билохира соли ҷамъияти тоҷик дар Самарқанд ба ва ӯзбак ба мерасад	بالاخره سال جمعیت تاجیک در سمرقند به و ازبک به می‌رسد
Гузашта аз ин мардуми тоҷик ё худ эронӣ-ро боз ҳам бештар аз ҳам ҷудо менамоянд ва онҳое ки шиъа буданд форс номида мешаванд	گذشته از این مردم تاجیک یا خود ایرانی‌را باز هم بیشتر از هم جدا می‌نمایند و آن هایی که شیعه بودند فارس نامیده می‌شوند
Дар ҳоле ки инҳо фарқе аз як дигар надоштанд ва як миллат буданду ҳастанд	در حالی که این‌ها فرقی از یک دیگر نداشتند و یک ملت بودند و هستند
Магар ғайри шиъа ки дар Эрони сиёсии имрӯза зиндагӣ мекунанд эронӣ нестанд	مگر غیر شیعه که در ایران سیاسی امروز زندگی می‌کنند ایرانی نیستند
Соли бо бедории миллӣ ба вижа дар байни рӯшанфикрон дар саросари Иттиҳоди Шӯравии пешин аз ҷумла дар сарзаминҳои таҳти кунтрули режими ишғолгарои Ӯзбакистон ҷунбишҳои миллигароӣ зоҳир шуданд	سال با بیداری ملی به ویژه در بین روشنفکران در سراسر اتحاد شوروی پیشین از جمله در سرزمین‌های تحت کنترول رژیم اشغالگرای ازبکستان جنبش‌های ملی گرایی ظاهر شدند
Ин гурӯҳ кӯшиш мекард ки Ҷумҳурии Худмухтори Суғд эҷод шавад ки тамоми ин сарзаминҳоро дар бар дошта бошад	این گروه کوشش می‌کرد که جمهوری خودمختار سغد ایجاد شود که تمام این سرزمین هارا در بر داشته باشد
Вале бо зӯровариҳои режим таҳти Ислом Каримуф Каримов ин созмонҳоро вайрон карданд	ولی با زور آوری‌های رژیم تحت اسلام کریمف این سازمان‌را ویران کردند
Ин режим бо мақсади бар ҳам задани эҳсосоти миллигароёна дар сарзамини зери кунтрули хеш ба сари Тоҷикистон ҷангеро таҳмил кард	اين رژيم با مقصد بر هم زدن احساسات ملی گرایانه در سرزمین زير کنترول خویش همچنین به سر تاجیکستان جنگی‌را تحمیل کرد
Бо баҳонаи ҷанг ва исломгароӣ дар Тоҷикистон ӯ муваффақ шуд ки марзи Тоҷикистонро бо Ӯзбакистон бибандад	با بهانۀ جنگ و اسلام گرایی در تاجیکستان او موفق شد که مرز تاجیکستان‌را با ازبکستان ببندد
Бо баҳонаи мубориза бо терурисм ва ифротгароии исломӣ гурӯҳҳои озодихоҳро аз байн бурд	با بهانۀ مبارزه با تروریسم و افراط گرایی اسلامی گروه‌های آزادی خواه‌را از بین برد
Яке аз пешвоёни ҷамъияти тоҷикон дар Самарқанд Ҳаёти Неъмат ба зиндон уфтод ва мавриди шиканҷа ҳам қарор гирифт	یکی از پیشوایان جمعیت تاجیکان در سمرقند حیات نیعمت به زندان افتاد و مورد شکنجه هم قرار گرفت
Сарнавишти оқои Бекмуҳаммадуф Бекмуҳаммадов низ чунин буд ки аз тарафи хадамоти махфии ин режим дар Бишкек пойтахти Қирқизистон Қирғизистон дастгир шуд	سرنوشت آقای بیک محمد اف نیز چونین بود که از طرف خدمات مخفی اين رژيم در بیشکک پایتخت قرقزستان دستگیر شد
Пешвоён ва аъзои ин гурӯҳ зиндонӣ ва мавриди шиканҷа қарор гирифтанд	پیشوایان و اعضای این گروه زندانی و مورد شکنجه قرار گرفتند
Раиси Ҷумҳури режими ишғолгарои Ӯзбакистон Ислом Каримуф ҳамеша элом менамояд ки тоҷикон ва ӯзбакҳо як миллатанд ки бо ду забон ҳарф мезананд	رئیس جمهور رژیم اشغالگرای ازبکستان اسلام کریمف همیشه اعلام می‌نماید که تاجیکان و ازبک‌ها یک ملتند که با دو زبان حرف می‌زنند
Ин давоми сиёсатҳои пон туркистӣ аст ки даъво дошт тоҷикон ҳамон туркҳое ҳастанд ки эронӣ шудаанд	این دوام سیاست‌های پان ترکستی است که دعوا داشت تاجیکان همان ترک هایی هستند که ایرانی شده اند
Ин дар ҳолест ки эрониён ориёӣ ҳастанд ки ҳазорҳо сол пеш дар ин сарзамин пайдо шудаанд	این در حالیست که ایرانیان آریایی هستند كه هزار‌ها سال پیش در این سرزمین پیدا شده اند
Дар замони ташкил намудани ҷумҳуриҳои миллӣ дар Осиёи Миёна соли намояндаи Ӯзбакистон Алихоҷаев зикр менамояд ки байни тоҷикону ӯзбакон фарқе нест ва ин ду бояд бо номи ӯзбак муттаҳид шаванд	در زمان تشکل نمودن جمهوری‌های ملی در آسیای میانه سال نمایندۀ ازبکستان علی خاجه یف ذکر می‌نماید که بین تاجیکان و ازبکان فرقی نیست و این دو باید با نام ازبک متحد شوند
Рӯзи душанбе Гурҷистон эълом намуд ки Русия ҳавопаймои бидуни халбони ин кишварро дар дар дохили қаламрави худ яъне Ҷумҳурии ҷудоихоҳи Обхозистон мавриди ҳадаф қарор додааст	روز دوشنبه گرجستان اعلام نمود که روسیه هواپیمای بدون خلبان این کشور‌را در داخل قلمرو خود یعنی جمهوری جدای خواه آبخازستان مورد هدف قرار داده است
Русия соли аз Обхозистони ҷудоихоҳ пуштибонӣ намуд ва ба шикасти неруҳои гурҷӣ кумак намуд	روسیه سال از آبخازستانِ جدایی خواه پشتبانی نمود و به شكست نیرو‌های گرجی کمک نمود
Агар таваҷҷуҳ намоем ҳамаи низоъҳои кишварҳои Иттиҳоди Шӯравии пешин дар тақрибан як вақт ба вуқӯъ пайвастанд ва дар ҳамаи инҳо Русия даст дошт	اگر توجه نمایم همۀ نزاع‌های کشور‌های اتحاد شوروی پیشین در تقریباً یک وقت به وقوع پیوستند و در همۀ این‌ها روسیه دست داشت
Имрӯз ки Гурҷистон мехоҳад аз истиқлоли худ дифоъ намояд Русия султони тамоми сарзаминҳо аз дарёи Сиёҳ то уқёнуси Ором аз дарёи Болтик то руди Ому намехоҳад аз моли худ даст бикашад	امروز که گرجستان می‌خواهد از استقلال خود دفاع نماید روسیه سلطان تمام سرزمین‌ها از دریای سیاه تا اقیانوس آرام از دریا بالتیک تا رود آمو نمی خواهد از مال خود دست بکشد
Пас аз фурӯпошии Шӯравӣ Русия дар ҳар гӯшаи имперотурии пешини хеш ҷангу низоъҳоро тарҳрезӣ намуд	پس از فروپاشی شوروی روسیه در هر گوشۀ امپراتوری پیشین خویش جنگ و نزاع هارا ترح ریزی نمود
Гурҷистон танҳо яке аз аҳдофи Русия буд	گرجستان تنها یکی از اهداف روسیه بود
Созмонҳои махфии Русия дар Обхозистон эҳсосоти ҷудоихоҳиро ривоҷ доданд	سازمان‌های مخفی روسیه در آبخازستان احساسات جدایی خواهی‌را رواج دادند
Ин минтақа худро бо пуштибонии Русия мустақил эълом намуд	این منطقه خود‌را با پشتبانی روسیه مستقل اعلام نمد
Замоне Гурҷистон аз тамомияти арзии худ дифоъ кард бо кумаки низомии Русия шикаст хӯрд	زمانی گرجستان از تمامیت ارضی خود دفاع کرد با کمک نظامی روسیه شکست خورد
Русия ҳамчунин аз Усетиёи Ҷанубӣ пуштибонӣ намуд	روسیه همچونین از اوستیای جنوبی پشتبانی نمد
Дар ҳоле ки Усетиёи Шимолӣ дар қаламрави Русия аст ба Усетиёи Ҷанубӣ кумак мекунад то мустақил бошад	در حالی که اوستیای شمالی در قلمرو روسیه است به اوستیای جنوبی کمک می‌کند تا مستقل باشد
Агар ин қадр дилаш ба онҳо месӯзад пас чаро ба Усетиёи Шимолӣ истиқлолият намедиҳад	اگر این قدر دلش به آن‌ها می‌سوزد پس چرا به اوستیای شمالی استقلالیت نمی دهد
Ҳадафи Русия танҳо зери султаи худ нигоҳ доштани Гурҷистон аст ва дигар ҳеч	هدف روسیه تنها زیر ستطۀ خود نگاه داشتند گرجستان است و دیگر هیچ
Масъалаи Усетиёро вале ба сӯи дигар мегузорам чун мардуми Усетиё аслан мардуми эронӣ ҳастанд ки дар садаи мелодӣ зери Русия уфтоданд ва аз мардуми Гурҷистон фарқе доранд	مسالۀ اوستیا‌را ولی به سوی دیگری می‌گذارم چون مردم اوستیا اصلاً مردم ایرانی هستند که در سدۀ میلادی زیر روسیه افتادند و از مردم گرجستان فرقی دارند
Масъалаи Обхозистон вале фарқ мекунад	مسالۀ آبخازستان ولی فرق می‌کند
Ин сарзамин дар тӯли торих бо Гурҷистон яке буда	این سرزمین در طول تاریخ با گرجستان یکی بوده
Дуруст аст ки ин мардум бо забони ғайри гурҷӣ ҳарф мезананд вале забони онҳо бо забони гурҷӣ ҳамреша аст ва дуруст мисли он ки бадахшиҳову форсигӯҳову курдҳо ва дигарҳо яке ҳастанд ва эронӣ ҳастанд обхозҳо ҳам бо гурҷҳо яке ҳастанд	درست است که این مردم با زبان غیر گرجی حرف می‌زنند ولی زبان آن‌ها با زبان گرجی همریشه است و درست مثل آن كه بدخشی‌ها و فارسی گوها و کرد‌ها و دیگر‌ها یکی هستند و ایرانی هستند آبخاز‌ها هم با گرج‌ها یکی هستند
Обхозҳо дар сохтан ва дертар дубора муттаҳид намудани Гурҷистон нақши асосноке бозидаанд	آبخاز‌ها در ساختن و دیرتر دوباره متحد نمودن گرجستان نقش اساسناکی بازیده اند
Тибқи донишномаи Иронико ҳатто вожаи Обхозистон борҳо барои мушаххас намудани тамоми сарзамини Гурҷистон мавриди истифода қарор гирифтааст	طبق دانشنامۀ ایرانیکا حتی واژۀ آبخازستان بارها برای مشخص نمودن تمام سرزمین گرجستان مورد استفاده قرار گرفته است باید ذکر نمایم که مردم سربلند گرجستان‌را احترام می‌نمایم
Бояд зикр намоям ки мардуми сарбаланди Гурҷистонро эҳтиром менамоям	این مردم با تمام پافشاری‌ها و زوراوری‌های روسیه استقلال خود‌را از دست نمی دهد
Ин мардум дар замони Шӯравӣ ҳам дабираи худро нигаҳ доштанд	این مردم در زمان شوروی هم دبیرۀ خود‌را نگه داشتند
Ба гуфтаи бархе пажӯҳишгарон онҳо аз дабираи худ дифоъ накарданд балки Истолин ба эшон даст назад	به گفتۀ برخی پژوهشگران آن‌ها از دبیرۀ خود دفاع نکردند بلکه استالین به ایشان دست نزد
Вале омӯзиши шахсияти Истолин нишон медиҳад ки дар ҳоле ки Истолин худ гурҷӣ буд бо онҳо ҳам бисёр бе раҳмона бархӯрд мекард ва ҳатто Ленин ӯро шувенисти рус хондааст	ولی آموزش شخسیت استالین نشان می‌دهد که در حالی که استالین خود گرجی بود با آن‌ها هم بسیار بی رحمانه برخورد می‌کرد و حتی لنین اورا شوونیست روس خوانده است
Русия чанд моҳе пеш дар Гурҷистон кӯшиш намуд ки як инқилобе роҳандозӣ намоянд	روسیه چند ماهی پیش در گرجستان کوشش نمود که یک انقلابی راه اندازی نماید
Вале мардуми Гурҷистон ба ҳамаи ин сахтиҳои иқтисодии ба сарашон омада нигоҳ накарда аз давлати худ пуштибонӣ намуданд	ولی مردم گرجستان به همۀ این سختی‌های اقتسادیِ به سرشان آمده نگاه نکرده از دولت خود پشتبانی نمودند
Мо тоҷикон дар соли аз давлати худ пуштибонӣ накардем ва гузоштем ки дилхоҳи Русия ба сари қудрат расад	ما تاجیکان در سال از دولت خود پشتبانی نکرديم و گذاشتيم که دلخواه روسیه به سر قدرت رسد
Ҳамакнун дар тарси он ҳастам ки як инқилоби тозае дар Тоҷикистон аз тарафи Русия роҳандозӣ шавад	هم اکنون در ترس آن هستم که یک انقلاب تازه ای در تاجیکستان از طرف روسیه راه اندازی شود
Мардуми Тоҷикистон бояд як давлати дилхоҳ ва воқеъан миллӣ дошта бошад вале бояд мувозиб буд ки як арусаки Маскав ё ҳар кишвари дигар-ро дар Кохи Раёсати Ҷумҳур нагузорем то моро боз ҳам аз аслияти худ дур нанамояд	مردم تاجیکستان باید یک دولت دلخواه و واقعاً ملی داشته باشد ولی باید مواظب بود که یک عروسک مسکو یا هر کشور دیگر‌را در کاخ ریاست جمهور نگذاریم تا مارا باز هم از اصلیت خود دور ننماید
Ба навиштаи торнигори Бахши Форсии Би Би Сӣ гурӯҳе аз занон рӯзи сешанбе понздаҳуми оврил апрел дар эътироз ба тасмими давлат дар мавриди тахзиби манозил маскуниашон рӯ ба рӯйи Дафтари Раёсати Ҷумҳурии Тоҷикистон даст ба тазоҳурот заданд ва пулис дар ҷараёни саркӯби гирдиҳамоии эътирозии онон теъдоде аз ин занҳоро лату кӯб кард як зан дар натиҷаи ин ҳодиса ҷарроҳатҳои сангин бардошт	به نوشتۀ تارنگار بخش فارسی بی بی سی گروهی از زنان روز سه شنبه پانزدهم آوریل در اعتراض به تصمیم دولت در مورد تخریب منازل مسکونی شان روبروی دفتر ریاست جمهوری تاجیکستان دست به تظاهرات زدند و پلیس در جریان سرکوب گردهمایی اعتراضی آنان تعدادی از این زنها‌را لت و کوب کرد یک زن در نتیجه این حادثه جراحتهای سنگین برداشت
Ба иттилоъи хабаргузориҳо шаҳрдории Душанбе қасд дорад манозили воқеъ дар наздикии корхонаи сементи Душанберо тахриб намояд	به اطلاع خبرگزاری‌ها شهرداری دوشنبه قصد دارد منازل واقع در نزدیکی کارخانۀ سمنت دوشنبه‌را تخریب نماید
Шаҳрдории Душанбе мегӯяд ки ин афрод дар маҳалли номбурда аз соли бадин сӯ ҷо гирифта манзил бино намудаанд	شهرداری دوشنبه می‌گوید که این افراد در محل نامبرده از سال بدین سو غیر قانونی جا گرفته منزل بنا نموده اند
Шаҳрдорӣ ба ин афрод дар маҳаллаи Ховарон-и Душанбе замин ваъда намуда	شهرداری به این افراد در محلۀ خاوران دوشنبه زمین وعده نموده
Вале ба интиқоди хонаводагон онҳо тавони бино намудани сохтмонро надоранд	ولی به انتقاد خانوادگان آن‌ها توان بنا نمودن ساختمان‌را ندارند
Хоҳиш мекунам ин видюро аз Родю Озодӣ бубинид	خواهش می‌کنم این ویدیو‌را از رادیو آزادی ببنید
Вақте ки наворро тамошо мекардам дар фикри он уфтодам ки мардҳо куҷоянд	وقتی نوار‌را تماشا می‌کردم در فکر آن افتادم که مرد‌ها کجایند
Вале ба зуддӣ ҷавобашро ҳам аз забони яке аз хонумони бадбахт пайдо кардам	ولی به زودی جوابش‌را هم از زبان یکی از خانمان بدبخت پیدا کردم
писару шавҳару бародарҳояшон ҳама дар дар Русия ҳастанд	پسر و شوهر و برادر هیشان همه در روسیه هستند
Ин хонумҳо бо оғози ҷанги ба сари Тоҷикистон таҳмил шуда ба Афғонистон паноҳ мебаранд ва ҳамин ҳукумат буд ки онҳоро аз Афғонистон боз мегардонад ва дар ҳумаи шаҳр наздикии корхонаи семент ки обу ҳавои хуше ҳам надорад замини кучаке ҷудо менамояд то барои худ манзил бино намоянд	این خانم‌ها با آغاز جنگ به سر تاجیکستان تحمیل شده به افغانستان پناه می‌برند و همین حکومت بود که آن ها‌را از افغانستان باز می‌گرداند و در حومۀ شهر نزدیکی کارخانۀ سمنت که آب و هوای خوشی هم ندارد زمین کوچکی جدا می‌نماید تا برای خود منزل بنا نمایند
Имрӯз эшонро мехоҳанд берун аз дар кунанд	امروز ایشان‌را می‌خواهند بیرون از در کنند
Дуруст аст ки шаҳрдорӣ метавонад барои беҳбудӣ бахшидан ба шаҳр моликияти мардумро тахриб намояд вале бояд маблағи кофӣ ҷудо намоянд то шаҳрвандон битавонанд дар болои сар боме дошта бошанд	درست است که شهرداری می‌تواند برای بهبودی بخشیدن به شهر مالکیت مردم‌را تخریب نماید ولی باید مبلغ کافی جدا نمایند تا شهروندان بتوانند در بالای سر بامی داشته باشند
Манозиле ки ин мардуми бечора дорад чизе нест ва маблағаш ҳам зиёд нест	منازلی که این مردم بیچاره دارد چیزی نیست و مبلغش هم زیاد نیست
Инҳо аз он қасрҳое нестанд ки навтоҷик- ҳо соҳибашон ҳастанд	این‌ها از آن قصر هایی نیستند که نوتاجیک‌ها صاحبشان هستند
Ин ҳам дар ҳолест ки Оқои Раҳмон соли гузашта Қонуни Афви Моликиятро тасвиб намуд ва имрӯз шаҳрдорӣ дар асоси ғайри қонунӣ будани ин манозил мехоҳад мардумро бе паноҳгоҳ гузорад	این هم در حالیست که آقای رحمان سال گذشته قانون عفو مالکیت‌را تصویب نمود و امروز شهرداری در اساس غیر قانونی بودن این منازل می‌خواهد مردم‌را بی پناهگاه گذارد
Дидани ин навор аслан диламро дошт пора-пора мекард ва бе ихтиёр ашк руйи чашмонам давид ки пулис бо хонумони бе сару паноҳ чунин муъомила менамояд	دیدن این نوار اصلاً دلم‌را داشت پاره پاره می‌کرد و بی اخطیار اشک روی چشمانم دوید که پلیس با خانمان بی سر و پناه چونین معامله می‌نماید
Вазифаи пулис ҳифозати шаҳрвандон аст	وظیفۀ پلیس حفاظت شهروندان است
Гузашта аз ин андӯҳовар он аст ки ин корро ворисони Ориён анҷом додаанд зодагони сарзамини поки Эрон – сарзамине ки ҷавонмардиро ба ҷаҳон муъаррифӣ намуда	گذشته از این اندوه آور آن است که این کار‌را واریسان آریان انجام داده اند؛ زادگان سرزمین پاک ایران – سرزمینی که جوانمردی‌را به جهان معرفی نموده
Куҷост он ҷавонмардӣ ки ба зану бачаҳо ҳамла мекунанд	کجاست آن جوانمردی که به زن و بچه‌ها حمله می‌کنند
Ба доди он занону кӯдакон кӣ мерасад	به داد آن زنان و کودکان که می‌رسد
Инро намояндагони миллате анҷом медиҳанд ки модарро ин қадр гиромӣ медонанд	این‌را نمایندگان ملتی انجام می‌دهند که مادر‌را این قدر گرامی می‌دانند
Магар зарбу шитам намудани модарон дар назди бачаҳои худ одамӣ аст	مگر ضرب و شتم نمودن مادران در نزد بچه‌های خود آدمی است مگر کسی فکر می‌کند که آیندۀ این اقدام چه می‌شود
Агар ин модарон набошанд ин бачаҳо чӣ кор хоҳанд кард	اگر این مادران نباشند این بچه‌ها چه کار خواهند کرد
Дидани иҳонати модарон аз тарафи нируҳои ҳукумат ба равони ин бачаҳо чӣ асаре мегузорад	دیدن اهانت مادران از طرف نیرو‌های حکمت به روان این بچه‌ها چه اثری می‌گذارد
Ояндаи Тоҷикистон ҳамин тифлакон ҳастанд ва ояндаи ҳамин давлатмандон ҳам дар дасти онҳост	آینده تاجیکستان همین طفلاکان هستند و آیندۀ همین دولتمندان هم در دست آن هاست
Тибқи иттилоъи Родю Озодӣ Нурмуҳаммади Амиршоҳӣ коршнос дар Пажуҳишгоҳи Ховаршиносии Тоҷикистон аз раиси ҷумҳур Эмомалии Раҳмон хостори гузариши дубораи Тоҷикистон ба дабираи форсӣ шудааст	طبق اطلاع رادیو آزادی نورمحمد امیرشاهی کارشناس در پژوهشگاه خاورشناسی تاجیکستان از رئیس جمهور امامعلی رحمان خواستار گذرش دوبارۀ تاجیکستان به دبیرۀ فارسی شده است
Ин мавзуъ дар раванди мулоқоти солонаи оқои Раҳмон бо рушанфикрони тоҷик низ аз тарафи бархе аз рушанфикрон ба миён гузошта шуд	این موضوع در روند ملاقات سالانۀ آقای رحمان با روشنفکران تاجیک نیز از طرف برخی از روشنفکران به میان گذاشته شد
Бояд зикр намуд ки ин мавзуъ нахуст соли мелодӣ ба миён омад	باید ذکر نمود که این موضوع نخست سال میلادی به میان آمده بود
Дар асоси Қонуни Забон ки ҳамон сол аз тарафи Шурои Олӣ тасвиб шуд Тоҷикистон мебоист то соли ба дабираи форсӣ пас мегашт	در اساس قانون زبان که همان سال از طرف شورای عالی تصویب شد تاجیکستان می‌بایست تا سال به دبیرۀ فارسی پس می‌گشت
Ман ки кучак будам вале рузҳрои пас аз тасвиби Қонуни Забонро ёд дорам	من که کوچک بودم ولی روز‌های پس از تصویب قانون زبان‌را یاد دارم
Ёд дорам ки дар кучаву хиёбонҳои шаҳр ҳама лавҳаҳо бо хати сирилик ва форсӣ навишта шуда буданд	یاد دارم که در کوچه و خیابان‌های شهر همه جا لوحه‌ها با خط سیریلیک و فارسی نوشته شده بودند
Аммо оғози ҷанги дохилии ба сари Тоҷикистон таҳмил шуда ва ба қудрат омадани ҳукумати ҷадид дар Тоҷикистон форсӣ ситезӣ дар Тоҷикистон шиддат гирифт ва кулли навиштаҷоти форсӣ аз кучаву хиёбонҳои шаҳри Душанбе бардошта шуданд	اما آغاز جنگ داخلی به سر تاجیکستان تحمیل شده و به قدرت آمدن حکومت جدید در تاجیکستان فارسی ستیزی در تاجیکستان شدت گرفت و کل نوشتجات فارسی از کوچه و خیابان‌های شهر دوشنبه برداشنه شدند
Ёдовар мешавем ки Тоҷикистон соли бо хостори мақомоти шуравӣ аз дабираи форсӣ даст кашид ва ба лотин гузашт ва соли бар асоси қарори тоза ба хати сирилик гузашт	یاداور می‌شویم که تاجیکستان سال با خواست مقامات شوروی از دبیرۀ فارسی دست کشید و به لاتین گذشت و سال بر اساس قرار تازه به خط سیریلیک گذشت
Ба гуфтаи оқои Амиршоҳӣ хати сирилик Тоҷикистонро аз олам ҷудо ва бехабар кардааст	به گفتۀ آقای امیرشاهی خط سیریلیک تاجیکستان‌را از عالم جدا و بی خبر کرده است
Дастовардҳои ҷаҳонӣ тавассути ин хат ба мо дастрас нестанд	دستاورد‌های جهانی توسط این جط به ما دسترس نیستند
Оқои Амиршоҳӣ ҳамчунин зикр мекунад ки бо хати форсӣ дар Эрон ҳамаи адабиёти ҷаҳониро метавон дастрас кард	اقای امیرشاهی همچنین ذکر می‌کند که با خط فارسی در ایران همۀ ادبیات جهانی‌را می‌توان دسترس کرد
Воқеъан ҳам имруз мардуми Тоҷикистон маъмулан ба адабиёти ҷаҳон ва ба дастовардҳои тозатарини илмию фаннӣ аз тариқи забони русӣ дастрас доранд	واقعاً هم امروز مردم تاجیکستان معمولاً به ادبیات جهان و به دستاورد‌های تازترین علمی و فنی از طریق زبان روسی دسترس دارند
Ин раванд ба коҳиши нуфузи забони русӣ дар Тоҷикистон ва баланд бардоштани мақоми забони давлатӣ ё худ ба ҷойгоҳи қонунии худ расидани забони давлатӣ забони миллӣ мусоидат наменамояд балки нуфузи забони русиро бештар менамояд	این روند به کاهش نفوذ زبان روسی در تاجیکستان و بلند برداشتن مقام زبان دولتی یا خود به جایگاه قانونی خود رسیدن زبان دولتی زبان ملی مساعدت نمی نماید بلکه نفوذ زبان روسی‌را بیشتر می‌نماید
Бархе аз соҳибназарон бар инанд ки гузаштан ба ҳуруфи форсӣ мардуми Тоҷикистонро бе савод менамояд	برخی از صاحبنظران بر اینند که گذشتن به حروف فارسی مردم تاجیکستان‌را بی سواد می‌نماید
Ба гуфти эшон омузиши дабираи форсӣ мушкили зиёде дорад ва барои ба ин хат дуруст навиштан дониши забони арабӣ воҷиб аст ва дар он сурат вазорати омузишу парвариш мебояд забони арабиро дар макотиби Тоҷикистон ҷорӣ намояд	به گفت ایشان آموزش دبیرۀ فارسی مشکلی زیادی دارد و برای به این خط درست نوشتن دانش زبان عربی واجب است و در آن صورت وزارت آموزش و پرورش می‌باید زبان عربی‌را در مکاتب تاجیکستان جاری نماید
Бидуни шак дониши забони арабӣ ба бартарии забони форсӣ ё худ тоҷикӣ кумак менамояд дуруст мисли дониши забони лотинӣ барои донандаи забони инглисӣ вале ба ҳеч ваҷҳ воҷиб нест	بدون شک دانش زبان عربی به برتری زبان فارسی یا خود تاجیکی کمک می‌نماید درست مثل دانش زبان لاتینی برای دانندۀ زبان انگلیسی ولی به هیچ وجه واجب نیست
Навиштан бо хати сирилик ҳеч мушкилӣ надорад ва аз навиштан ба унвони мисол бо забони инглисӣ ва ҳам русӣ душвортар нест	نوشتن با خط فارسی هیچ مشکلی ندارد و از نوشتن به عنوان مثال با زبان انگلیسی و هم روسی دشوارتر نیست
