гимнастика	ژیمناستیک
ЮТэйр Карго	یوتی‌ایر کارگو
ЮТэйр Карго	یوتی‌ایر کارگو
ЮТэйр Карго	یوتی‌ایر کارگو
ЮТэйр Карго	یوتی‌ایر کارگو
ЮТэйр Карго	یوتی‌ایر کارگو
ЮТэйр Карго	یوتی‌ایر کارگو
ЮТэйр Карго	یوتی‌ایر کارگو
ЮТэйр Карго	یوتی‌ایر کارگو
ЮТэйр Карго	یوتی‌ایر کارگو
ЮТэйр Карго	یوتی‌ایر کارگو
ЮТэйр Карго	یوتی‌ایر کارگو
ЮТэйр Карго	یوتی‌ایر کارگو
ЮТэйр Карго	یوتی‌ایر کارگو
ЮТэйр Карго	یوتی‌ایر کارگو
ЮТэйр Карго	یوتی‌ایر کارگو
ЮТэйр Карго	یوتی‌ایر کارگو
ЮТэйр Карго	یوتی‌ایر کارگو
ЮТэйр Карго	یوتی‌ایر کارگو
ЮТэйр Карго	یوتی‌ایر کارگو
Åland	آلاند
Åland	آلاند
Åland	آلاند
Åland	آلاند
Åland	آلاند
Åland	آلاند
Åland	آلاند
Åland	آلاند
Åland	آلاند
Åland	آلاند
Åland	آلاند
Åland	آلاند
Åland	آلاند
Åland	آلاند
Åland	آلاند
Åland	آلاند
Åland	آلاند
Åland	آلاند
Åland	آلاند
Åland	آلاند
Åland	آلاند
Åland	آلاند
Åland	آلاند
Днеправиа	دنیپرواویا
Днеправиа	دنیپرواویا
Мотор Сич	موتور سیچ
Мотор Сич	موتور سیچ
Мотор Сич	موتور سیچ
Мотор Сич	موتور سیچ
Мотор Сич	موتور سیچ
Мотор Сич	موتور سیچ
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Украина	یوتی-اوکراین
Окада Эйр	اوکادا ایر
Окада Эйр	اوکادا ایر
Окада Эйр	اوکادا ایر
Ҷет-2000	جت-۲۰۰۰
Ҷет-2000	جت-۲۰۰۰
Ҷет-2000	جت-۲۰۰۰
Ҷет-2000	جت-۲۰۰۰
Caraïbes	کارائیبس
Caraïbes	کارائیبس
Aeroméxico	آئرومکزیکو
Aeroméxico	آئرومکزیکو
Aeroméxico	آئرومکزیکو
Aeroméxico	آئرومکزیکو
Россия	روسیه
Россия	روسیه
Аэростар	آئرواستار
Côte d’Ivoire	ساحل عاج
Côte d’Ivoire	ساحل عاج
Côte d’Ivoire	ساحل عاج
Côte d’Ivoire	ساحل عاج
Côte d’Ivoire	ساحل عاج
Côte d’Ivoire	ساحل عاج
Côte d’Ivoire	ساحل عاج
Côte d’Ivoire	ساحل عاج
Côte d’Ivoire	ساحل عاج
Côte d’Ivoire	ساحل عاج
Côte d’Ivoire	ساحل عاج
Côte d’Ivoire	ساحل عاج
Côte d’Ivoire	ساحل عاج
Côte d’Ivoire	ساحل عاج
Côte d’Ivoire	ساحل عاج
Тибетские	تبت
Тибетские	تبت
Тибетские	تبت
Тибетские	تبت
Тибетские	تبت
Тибетские	تبت
Тибетские	تبت
Тибетские	تبت
Тибетские	تبت
Тибетские	تبت
Полярные	پولار
Чукотавиа	چوکوتاویا
Чукотавиа	چوکوتاویا
Ижавиа	آیزهاویا
Aérea	آئرئا
Aérea	آئرئا
–	اوییشن
–	اوییشن
–	اوییشن
Атлас	روس‌ایر
Атлас	روس‌ایر
Атлас	روس‌ایر
Атлас	روس‌ایر
Черномор	شرنومور-اویا
Черномор	شرنومور-اویا
Черномор	شرنومور-اویا
Черномор	شرنومور-اویا
Черномор	شرنومور-اویا
Warbelow’s	واربلوز
Warbelow’s	واربلوز
Warbelow’s	واربلوز
Warbelow’s	واربلوز
Aerolíneas	آئرولینئاس
Aerolíneas	آئرولینئاس
Aerolíneas	آئرولینئاس
Aerolíneas	آئرولینئاس
Aerolíneas	آئرولینئاس
Aerolíneas	آئرولینئاس
Aerolíneas	آئرولینئاس
Aerolíneas	آئرولینئاس
Aerolíneas	آئرولینئاس
Aerolíneas	آئرولینئاس
Aerolíneas	آئرولینئاس
Aerolíneas	آئرولینئاس
Aerolíneas	آئرولینئاس
Aerolíneas	آئرولینئاس
Aerolíneas	آئرولینئاس
Aerolíneas	آئرولینئاس
Aerolíneas	آئرولینئاس
Aerolíneas	آئرولینئاس
Aerolíneas	آئرولینئاس
Aerolíneas	آئرولینئاس
Aerolíneas	آئرولینئاس
Aerolíneas	آئرولینئاس
Аэрогавиота	آئروگاویوتا
Аэрогавиота	آئروگاویوتا
Аэрогавиота	آئروگاویوتا
Аэрогавиота	آئروگاویوتا
T’way	تی
T’way	تی
T’way	تی
T’way	تی
T’way	تی
T’way	تی
Ак Барс Аэро	آک بارس آئرو
Ак Барс Аэро	آک بارس آئرو
Ак Барс Аэро	آک بارس آئرو
Ак Барс Аэро	آک بارس آئرو
Ак Барс Аэро	آک بارس آئرو
Эйр Синай	ایر سینا
Эйр Синай	ایر سینا
Эйр Синай	ایر سینا
Эйр Синай	ایر سینا
Эйр Синай	ایر سینا
Эйр Синай	ایر سینا
Эйр Синай	ایر سینا
Эйр Синай	ایر سینا
Эйр Синай	ایر سینا
Эйр Синай	ایر سینا
Эйр Синай	ایر سینا
Эйр Синай	ایر سینا
Эйр Синай	ایر سینا
Эйр Синай	ایر سینا
Эйр Синай	ایر سینا
Эйр Синай	ایر سینا
Эйр Синай	ایر سینا
Когалымавиа	کاگلومویا
Когалымавиа	کاگلومویا
Когалымавиа	کاگلومویا
Когалымавиа	کاگلومویا
Когалымавиа	کاگلومویا
Когалымавиа	کاگلومویا
Когалымавиа	کاگلومویا
Когалымавиа	کاگلومویا
Когалымавиа	کاگلومویا
Гама	گاما
Гама	گاما
Гама	گاما
Гама	گاما
Гама	گاما
Гама	گاما
Гама	گاما
Гама	گاما
Гама	گاما
Гама	گاما
Aviação	اویاچائو
Комиавиатранс	کومی‌اویاترنس
Комиавиатранс	کومی‌اویاترنس
Комиавиатранс	کومی‌اویاترنس
Комиавиатранс	کومی‌اویاترنس
Комиавиатранс	کومی‌اویاترنس
СКОЛ	اسکول
СКОЛ	اسکول
СКОЛ	اسکول
СКОЛ	اسکول
СКОЛ	اسکول
СКОЛ	اسکول
СКОЛ	اسکول
СКОЛ	اسکول
Ҳели Эйр	هلی ایر
Ҳели Эйр	هلی ایر
Ҳели Эйр	هلی ایر
Ҳели Эйр	هلی ایر
Ҳели Эйр	هلی ایر
Ҳели Эйр	هلی ایر
Ҳели Эйр	هلی ایر
Ямал	یامال
Ямал	یامال
Ямал	یامال
Ямал	یامال
Ямал	یامال
Ямал	یامال
Ямал	یامال
Ямал	یامال
Ямал	یامال
Ямал	یامال
Ямал	یامال
Ямал	یامال
Ямал	یامال
Ямал	یامال
Ангара	آنگارا
Hex’Air	هکس
Эйр	ایر
Эйр	ایر
Эйр	ایر
Эйр	ایر
Эйр	ایر
Эйр	ایر
Эйр	ایر
Эйр	ایر
Эйр	ایر
Эйр	ایر
Эйр	ایر
Эйр	ایر
Эйр	ایر
Эйр	ایر
Эйр	ایر
–	–
–	–
–	–
–	–
–	–
–	–
–	–
–	–
ИрАэро	ایر آئرو
ИрАэро	ایر آئرو
Аэролимузин	آئرولیموزین
Аэролимузин	آئرولیموزین
Псковавиа	پسکوف‌اویا
Псковавиа	پسکوف‌اویا
Псковавиа	پسکوف‌اویا
Псковавиа	پسکوف‌اویا
Центр-Юг	سنتر-سوث
Центр-Юг	سنتر-سوث
Центр-Юг	سنتر-سوث
Центр-Юг	سنتر-سوث
Центр-Юг	سنتر-سوث
Центр-Юг	سنتر-سوث
Центр-Юг	سنتر-سوث
Центр-Юг	سنتر-سوث
Центр-Юг	سنتر-سوث
Центр-Юг	سنتر-سوث
Центр-Юг	سنتر-سوث
Центр-Юг	سنتر-سوث
Центр-Юг	سنتر-سوث
Центр-Юг	سنتر-سوث
Центр-Юг	سنتر-سوث
Центр-Юг	سنتر-سوث
Центр-Юг	سنتر-سوث
Центр-Юг	سنتر-سوث
Центр-Юг	سنتر-سوث
Центр-Юг	سنتر-سوث
Центр-Юг	سنتر-سوث
Центр-Юг	سنتر-سوث
Центр-Юг	سنتر-سوث
Aéro-Service	آئرو-سرویس
Aéro-Service	آئرو-سرویس
Aéro-Service	آئرو-سرویس
Aéro-Service	آئرو-سرویس
Aéro-Service	آئرو-سرویس
Aéro-Service	آئرو-سرویس
Aéro-Service	آئرو-سرویس
Aéro-Service	آئرو-سرویس
Aéro-Service	آئرو-سرویس
Aéro-Service	آئرو-سرویس
Aéro-Service	آئرو-سرویس
Aéro-Service	آئرو-سرویس
Aéro-Service	آئرو-سرویس
Аэротранспорт	ائروترانسپورت
Аэротранспорт	ائروترانسپورت
Аэротранспорт	ائروترانسپورت
Уральские	اورال
Уральские	اورال
Саратовские	ساراتوف
Саратовские	ساراتوف
Саратовские	ساراتوف
Саратовские	ساراتوف
Саратовские	ساراتوف
Саратовские	ساراتوف
Саратовские	ساراتوف
Саратовские	ساراتوف
Саратовские	ساراتوف
Саратовские	ساراتوف
Саратовские	ساراتوف
Глобус	گلوبوس
Глобус	گلوبوس
Глобус	گلوبوس
Глобус	گلوبوس
Глобус	گلوبوس
Глобус	گلوبوس
Глобус	گلوبوس
Глобус	گلوبوس
Глобус	گلوبوس
Глобус	گلوبوس
Вологодское авиапредприятие	وولوگدا انترپرایز
Вологодское авиапредприятие	وولوگدا انترپرایز
Вологодское авиапредприятие	وولوگدا انترپرایز
Вологодское авиапредприятие	وولوگدا انترپرایز
Вологодское авиапредприятие	وولوگدا انترپرایز
Ҷеталлианс	آئروفلوت-پلاس
Сомон Эйр	سامان ایر
Бурятские	بورال
Бурятские	بورال
Авиастар-ТУ	اویااستار-تی‌یو
Авиастар-ТУ	اویااستار-تی‌یو
Атран	اتران
Атран	اتران
Атран	اتران
Атран	اتران
Атран	اتران
Атран	اتران
Атран	اتران
Атран	اتران
Aéreas	آئرئاس
Aéreas	آئرئاس
Aéreas	آئرئاس
Aéreas	آئرئاس
Aéreas	آئرئاس
Aéreas	آئرئاس
Aéreas	آئرئاس
Aéreas	آئرئاس
Aéreas	آئرئاس
Aéreas	آئرئاس
Aéreas	آئرئاس
Наганаганӣ	ناگاناگانی
Наганаганӣ	ناگاناگانی
Тулпар Эйр	تولپار ایر
Тулпар Эйр	تولپار ایر
Тулпар Эйр	تولپار ایر
Тулпар Эйр	تولپار ایر
Тулпар Эйр	تولپار ایر
Тулпар Эйр	تولپار ایر
Тулпар Эйр	تولپار ایر
Тулпар Эйр	تولپار ایر
Тулпар Эйр	تولپار ایر
Омӯзишгоҳ нерӯе ҳаво дундигул	آموزشگاه نیروی هوایی دوندیگول
Тоттенҳем Ҳотспур	فوتبال تاتنهام هاتسپر
Краснодар	کراسنودار
Тулуза	تولوز
Ливерпyл	لیورپول
Жальгирис	ژالگیریس
Хайр	خیر
Паланга	پالانگا
Аугсбург	آگزبورگ
Перспулис	پرسپولیس
Локоматив	فوتبال لوکوموتیو
Борнмут	فوتبال ای.اف.سی بورنموث
Истиқлол	استقلال
Дортмунд	فوتبال بروسیا دورتموند
Хатлон	ختلان
Бордо	بوردو
Челси	چلسی
Талерес	تایرس
Интер	فوتبال اینتر
Манчестер Сити	فوتبال منچستر سیتی
Кубан	فوتبال کوبان
Ал-Иттиҳод	الاتحاد
Астон Вилла	فوتبال استون ویلا
Вердер	ورزشی وردر
Брентфорд	برنتفورد
Мӯнхенгладбах	فوتبال بروسیا مونشن‌گلادباخ
Айнтрахт Франкфурт	فوتبال اینتراخت فرانکفورت
Эвертон	اورتون
Алмерия	آلمریا
Паневежис	پانه‌وژیس
Олимпик Марсей	فوتبال المپیک مارسی
Ан-Наср	النصر
Кадис	کادیس
Равшан	فوتبال روشن
Насаф	فوتبال نسف
Истаравшан	استروشن
Жальгирис	فوتبال کاونو ژالگیریس
Ритеряй	ریتریای
Банга	باشگاه
Самарқанд	فوتبال دینامو سمرقند
Пари Сен-Жермен	پاریس سن ژرمن
Джюгас	دزیوگاس
Мадрид	فوتبال رئال مادرید
Судува	سودووا
Ал-Ҳилол	الهلال
Атлетик Билбао	فوتبال اتلتیک بیلبائو
Регар-ТадАЗ	ریگر-تداز
Арсенал	آرسنال
Ҳикмати	تئوسوفی
Антропософия	انسانی
Созмони иттилоъоти низомии	سرویسز اینتلیجنس
Амнияти Иёлоти Амрико	امنیت ایالات آمریکا
Кремли	کرملین
мунтақидони филми Лондон	منتقدان فیلم لندن
Пойгоҳи нерӯе ҳаво длнд	پایگاه نیروی هوایی دلند
Пойгоҳи нерӯе ҳаво длнд	پایگاه نیروی هوایی دلند
Пойгоҳи нерӯе ҳаво длнд	پایگاه نیروی هوایی دلند
Пойгоҳи нерӯе ҳаво длнд	پایگاه نیروی هوایی دلند
Фурудгоҳи так‌бондҳ озор	فرودگاه تک‌بانده ازار
Фурудгоҳи так‌бондҳ озор	فرودگاه تک‌بانده ازار
Фурудгоҳи так‌бондҳ озор	فرودگاه تک‌بانده ازار
Фурудгоҳи так‌бондҳ озор	فرودگاه تک‌بانده ازار
Фурудгоҳи так‌бондҳ озор	فرودگاه تک‌بانده ازار
Фурудгоҳи так‌бондҳ озор	فرودگاه تک‌بانده ازار
Фурудгоҳи ободон	فرودگاه ایبادان
Фурудгоҳи ободон	فرودگاه ایبادان
Фурудгоҳи ободон	فرودگاه ایبادان
Фурудгоҳи ободон	فرودگاه ایبادان
Лукойл	لوک اویل
Citroën	سیتروئن
Citroën	سیتروئن
Памперс	پمپرز
Дорулҳандаса	دار الهندسه
Рӯихати Тоҷикистон	شرکت تاجیک
Рӯихати Тоҷикистон	شرکت تاجیک
Рӯихати Тоҷикистон	شرکت تاجیک
Рӯихати Тоҷикистон	شرکت تاجیک
Рӯихати Тоҷикистон	شرکت تاجیک
Газпром нефт	گازپروم نفت
Газпром нефт	گازپروم نفت
Газпром нефт	گازپروم نفت
Квартал-95	کوارتال
Фурудгоҳи так‌бонд оҷуокуто	فرودگاه تک‌باند اجواکوتا
Фурудгоҳи так‌бонд оҷуокуто	فرودگاه تک‌باند اجواکوتا
Фурудгоҳи так‌бонд оҷуокуто	فرودگاه تک‌باند اجواکوتا
Фурудгоҳи бурӯксил шрлруо	فرودگاه بروکسل شرلروآ
Фурудгоҳи бурӯксил шрлруо	فرودگاه بروکسل شرلروآ
Фурудгоҳи бурӯксил шрлруо	فرودگاه بروکسل شرلروآ
Фурудгоҳи бурӯксил шрлруо	فرودگاه بروکسل شرلروآ
Фурудгоҳи бурӯксил шрлруо	فرودگاه بروکسل شرلروآ
Фурудгоҳи бурӯксил шрлруо	فرودگاه بروکسل شرلروآ
Гурӯҳи Саудии Бинлодин	گروه سعودی بن لادن
Гурӯҳи Саудии Бинлодин	گروه سعودی بن لادن
Гурӯҳи Саудии Бинлодин	گروه سعودی بن لادن
Гурӯҳи Саудии Бинлодин	گروه سعودی بن لادن
Гурӯҳи Саудии Бинлодин	گروه سعودی بن لادن
Азовсталь	آزووستال
Азовсталь	آزووستال
АвтоВАЗ	آوتوواز
АвтоВАЗ	آوتوواز
АвтоВАЗ	آوتوواز
АвтоВАЗ	آوتوواز
АвтоВАЗ	آوتوواز
АвтоВАЗ	آوتوواز
АвтоВАЗ	آوتوواز
АвтоВАЗ	آوتوواز
Райффайзенбанк	رایفیزن بانک
Райффайзенбанк	رایفیزن بانک
Райффайзенбанк	رایفیزن بانک
Райффайзенбанк	رایفیزن بانک
Райффайзенбанк	رایفیزن بانک
Бонк»	بانک
Бонк»	بانک
Бонк»	بانک
Фурудгоҳи так‌бонд гусов	فرودگاه تک‌باند گوساو
Монпелле	مون‌پلیه
Тур	تور
Метзс	مس،
Мубюж	موبوژ
Монсоро	مونسورو
Нис	نیس
Рубе	روبه
Салон-де-Прованс	سلون دو پروانس
Версал	ورسای
Сен-Жирон	سن-ژیرون،
Страсбург	استراسبورگ
Валонс	ولانس،
Севр	سور
Торб	تارب
Руон	روان
Мо	مو،
Гренобл	گرونوبل
Булун-Бийонкур	بولوین-بیانکور
Нёйӣ-сур-Сен	نوی-سور-سن
Сен-Клу	سن کلو
Шинун	شینون
Бурду	بوردو
Безансон	بزانسون
Амйен	امیان
Амбӯз	امبوز
Кламар	کلمر
По	پو
Марсел	مارسی
Нант	نانت
Маркази сармоягузорӣ	مرکز فصل اختلافات سرمایه‌گذاری
Созмони Тиҷорат	سازمان تجارت
Брюссел	بروکسل
Калисои морунӣ	کلیسای مارونی
Инаги	ایناگی،
Акуне	آکونه،
Иизука	ایزوکا،
Ода	اودا،
Содегаура	سودگائورا،
Нобеока	نوبه‌اوکا
Читосе	چیتوسه،
Кария	کاریا،
Сува	سووا،
Ҳюга	هیوگا،
Обу	اوبو،
Камагая	کاماگایا،
Аизувакаматсу	آیزوواکاماتسو،
Каи	کای،
Камеока	کامه‌اوکا
Ниноҳе	نینوهه،
Китаакита	کیتا-آکیتا،
Фукая	فوکایا،
Мине	مینه،
Нишитокё	نیشی‌توکیو،
Коганеи	کوگانی،
Кодаира	کودائیرا،
Ҳигашиоуми	هیگاشی‌اومی،
Кавачинагано	کاواچی‌ناگانو
Миура	میورا،
Шинҷо	شینجو،
Ябу	یابو، هیوگو
Аисаи	آیسای،
Омачи	اوماچی،
Кусатсу	کوساتسو،
Уҷи	کیوتو
Чичибу	چیچیبو،
Чёфу	چوفو،
Нода	نودا،
Томакомаи	توماکومای،
Оумиҳачиман	اومیهاچیمان،
Омута	اوموتا،
Кимитсу	کیمیتسو،
Камису	کامیسو،
Обаназава	اوبانازاوا،
Кашиҳара	کاشیهارا،
Сасаяма	ساسایاما،
Кашиба	کاشیبا،
Шимада	شیمادا،
Юбари	یوباری،
Футтсу	فوتسو،
Кирю	کیریو،
Тогане	توگانه،
Шиҷонауате	شیجوناواته،
Ҳигашиҳирошима	هیگاشی‌هیروشیما
Уако	واکو،
Катано	کاتانو،
Шинширо	شینشیرو،
Сеннан	سن‌نان
Маниуа	مانیوا،
Коуносу	کوئون‌اوسو
Масуда	ماسودا،
Китаибараки	کیتاایباراکی،
Митоё	میتویا،
Ивакура	ایواکورا،
Ҳокуто	هوکوتو،
Сакадо	ساکادو،
Наёро	نایورو،
Секи	سکی،
Фукагауа	فوکاگاوا،
Казо	کازو،
Такета	تاکه‌تا
Юки	یوکی،
Гёда	گیودا،
Сагае	ساگائه،
Ясуги	یاسوگی،
Анан	آنان،
Ҳофу	هوفو،
Такаҳаги	تاکاهاگی،
Чикушино	چیکوشینو،
Усуки	اوسوکی،
Нанкоку	نانکوکو،
Ёшикава	یوشیکاوا،
Мураяма	مورایاما،
Сатте	ساته،
Мёко	میوکو،
Сакаиминато	ساکای‌میناتو
Итоигава	ایتویی‌گاوا
Минамисатсума	مینامی‌ساتسوما،
Сакураи	ساکورای،
Ёнаго	یوناگو،
Такеҳара	تاکه‌هارا
Митака	میتاکا،
Куширо	کوشیرو،
Шиогама	شیئوگاما،
Ҳирадо	هیرادو،
Нагато	ناگاتو،
Исе	ایسه،
Агео	آگه‌ئو،
Чикума	چیکوما،
Ебетсу	ابتسو،
Мисава	میساوا،
Инуяма	اینویاما،
Акаиуа	آکایوا،
Тонами	تونامی،
Такаока	تاکائوکا،
Абико	آبیکو،
Ҳигашикуруме	هیگاشی‌کورومه،
Ячиё	چیبا
Ёшиногауа	یوشینوگاوا،
Аваҷи	هیوگو
Кашивара	کاشی‌وارا
Сумото	سوموتو،
Маругаме	ماروگامه،
Исеҳара	ایسه‌هارا
Асака	آساکا،
Аиои	آیویی،
Ҳигашиматсушима	هیگاشی‌ماتسوشیما
Яизу	یایزو،
Имабари	ایماباری،
Кудаматсу	کوداماتسو،
Тода	تودا،
Готсу	گوتسو،
Ритто	ریتو،
Изумиотсу	ایزومی‌اوتسو
Инзаи	اینزای،
Нииза	نی‌ایزا،
Уозу	اوئوزو،
Ясу	یاسو،
Татебаяши	تاته‌بایاشی
Асаго	آساگو،
Изунокуни	ایزونوکونی،
Мишима	میشیما،
Огори	اوگوری،
Сукагава	سوکاگاوا،
Токи	توکی،
Токамачи	توکاماچی،
Гобо	گوبو،
Тамана	تامانا،
Соҷа	سوجا،
Уеноҳара	اوئنوهارا،
Санйоонода	سانیو-اونودا،
Шисо	شیسو،
Ниими	نی‌ایمی
Нишиноомоте	نیشینواوموته،
Ояма	اویاما،
Янагава	یاناگاوا،
Гинован	گینووان،
Чоши	چوشی،
Окегава	اوکه‌گاوا
Мотосу	موتوسو،
Ичиносеки	ایچینوسکی،
Ятсуширо	یاتسوشیرو،
Сабае	سابائه،
Нанао	نانائو،
Сануки	سان‌اوکی
Таҷими	تاجیمی،
Тосу	توسو
Касуга	کاسوگا،
Гото	گوتو،
Ичиҳара	ایچیهارا،
Чирю	چیرو،
Ячимата	یاچیماتا،
Камаиши	کاماایشی،
Яватаҳама	یاواتاهاما،
Муроран	موروران،
Киёсе	کیوسه،
Акабира	آکابیرا،
Дайто	دایتو،
Ако	آکو،
Дате	داته،
Куробе	کوروبه،
Мияко	میاکو،
Такаҳаши	تاکاهاشی،
Изу	ایزو،
Минамиашигара	مینامی‌آشیگارا
Шимода	شیمودا،
Ниҳонматсу	نیهون‌ماتسو
Саики	سایکی،
Аябе	آیابه،
Изуми	ایزومی،
Маибара	مایبارا،
Ашибетсу	آشی‌بتسو
Тамура	تامورا،
Такикава	تاکیکاوا،
Томиока	تومی‌اوکا
Нирасаки	نیراساکی،
Озу	اوزو،
Тоба	توبا،
Оҷия	اوجی‌یا
Минамиарупусу	مینامی-آروپوسو،
Ҳигашикагава	هیگاشی‌کاگاوا
Фуефуки	فوئه‌فوکی
Тендо	تندو،
Шимотсума	شیموتسوما،
Мурото	موروتو،
Гоҷо	گوجو،
Юриҳонҷо	یوریهونجو،
Готенба	گوتنبا،
Каратсу	کاراتسو
Миёши	میوشی،
Бунготакада	بونگوتاکادا،
Кесеннума	کسن‌نوما،
Ҳакусан	هاکوسان،
Ҳанамаки	هاناماکی،
Нагареяма	ناگاریاما،
Ҳида	هیدا،
Нанё	نانیو،
Нииҳама	نی‌ایهاما،
Ашикага	آشیکاگا،
Немуро	نمورو،
Кадома	کادوما،
Фуҷиока	فوجی‌اوکا
Иё	ایو،
Катагами	کاتاگامی،
Такашима	تاکاشیما،
Тарумизу	تارومیزو،
Татсуно	تاتسونو،
Нанто	نانتو،
Касумигаура	کاسومیگائورا،
Ауа	آوا،
Ногата	نوگاتا،
Фукучияма	فوکوچی‌یاما
Обама	اوباما،
Ётсукаидо	یوتسوکایدو،
Саиҷо	سایجو،
Шимабара	شیمابارا،
Сакаиде	ساکایده،
Такасаго	تاکاساگو،
Томе	تومه،
Ҳатсукаичи	هاتسوکاایچی،
Гуҷо	گوجو،
Иназава	اینازاوا،
Таҳара	تاهارا،
Ичикава	ایشی‌کاوا،
Обиҳиро	اوبیهیرو،
Наруто	ناروتو،
Точиги	توچیگی
Сузука	سوزوکا،
Кунитачи	کونیتاچی،
Анҷо	آنجو،
Нарита	ناریتا،
Ена	انا،
Атами	آتامی،
Ҳитачи-Омия	هیتاچی‌اومیا
Тамба	تامبا،
Токаи	توکای،
Тсучиура	تسوچی‌اورا
Ишиока	ایشی‌اوکا
Даисен	دایسن،
Шибетсу	شیبتسو،
Шобара	شوبارا،
Шибуши	شیبوشی،
Явата	یاواتا،
Амами	آمامی،
Овасе	اوآسه،
Такаишӣ	تاکایشی،
Кикугава	کیکوگاوا،
Окая	اوکایا،
Фусса	فوسا،
Юкуҳаши	یوکوهاشی،
Санҷо	سانجو،
Коморо	کومورو،
Ҳашимото	هاشیموتو،
Косаи	کوسای،
Мусашино	موساشینو،
Кауаниши	کاوانیشی،
Томигусуку	تومیگوسوکو،
Минамата	میناماتا،
Катсура	کاتوسورا،
Митсуке	میتسوکه،
Кашима, Ибараки	کاشیما، ایباراکی
Аясе	آیاسه،
Сусоно	سوسونو،
Киёсу	کیوسو،
Каминояма	کامینویاما،
Камиамакуса	کامی‌آماکوسا
Какамигаҳара	کاکامیگاهارا،
Нака	ناکا،
Асаҳи	آساهی،
Кураёши	کورایوشی،
Кётанабе	کیوتانابه
Тондабаяши	توندابایاشی،
Тсуяма	تسویاما،
Ики	ایکی،
Ибара	ایبارا،
Убе	اوبه،
Татеяма	تاتیاما،
Фукурои	فوکورویی،
Каҳоку	کاهوکو،
Сузака	سوزاکا،
Ҳитачинака	هیتاچیناکا،
Оги	اوگی
Ноширо	نوشیرو،
Ҳиоки	هیوکی،
Икома	ایکوما،
Токонаме	توکونامه،
Кага	کاگا،
Нантан	نانتان،
Нишио	نیشیو،
Отару	اوتارو،
Ториде	توریده،
Садо	سادو،
Яме	یامه،
Итоман	ایتومان،
Ҳино	هینو،
Зентсуҷи	زنتسوجی،
Китаҳирошима	کیتاهیروشیما،
Беппу	بپو،
Ҳаги	هاگی،
Амакуса	آماکوسا،
Сатсумасендаи	ساتسوماسندای،
Омура	اومورا،
Тенри	تنری،
Набари	ناباری،
Натори	ناتوری،
Арида	آریدا،
Номи	نومی،
Вараби	وارابی،
Сакура	ساکورا،
Камакура	کاماکورا،
Шибукава	شیبوکاوا،
Фуҷиеда	فوجی‌ئدا
Ямагучи	یاماگوچی
Кока	کوکا،
Омаезаки	اومائه‌زاکی
Никко	نیکو،
Сунагава	سوناگاوا،
Окава	اوکاوا،
Отаке	اوتاکه،
Ашия	آشیا،
Куриҳара	کوریهارا،
Акитаката	آکیتاکاتا،
Ебина	ابینا،
Шунан	شونان،
Тсуру	تسورو،
Токушима	توکوشیما
Коматсушима	کوماتسوشیما،
Китамото	کیتاموتو،
Уннан	اون‌نان
Рикузентаката	ریکوزنتاکاتا،
Ҳидака	هیداکه،
Ҳекинан	هکینان،
Кокубунҷи	کوکوبونجی،
Ёкоте	یوکوته،
Тсуруга	تسوروگا،
Чикусеи	چیکوسی،
Тсугару	تسوگارو،
Намерикауа	نامه‌ریکاوا
Изумо	ایزومو
Оно	اونو،
Такео	تاکه‌ئو
Какуда	کاکودا،
Мутсу	موتسو،
Урума	اوروما،
Румои	روموی،
Морияма	موری‌یاما
Накатсу	ناکاتسو،
Санда	ساندا،
Коши	کوشی،
Китаката	کیتاکاتا،
Ҳанноу	هان نو،
Шикокучуо	شیکوکوچوئو،
Мимасака	میماساکا،
Нарашино	نارشینو،
Одате	اوداته،
Отсуки	اوتسوکی،
Ига	ایگا،
Мики	میکی،
Мунаката	موناکاتا،
Касама	کاساما،
Бизен	بیزن،
Фучу, Токио	فوچو، توکیو
Офунато	اوفوناتو،
Ҳамура	هامورا،
Тсу	تسو،
Оме	اومه،
Тама	تاما،
Акируно	آکیرونو،
Китами	کیتامی،
Ҳигашимураяма	هیگاشی‌مورایاما،
Вакканаи	واکانای،
Шима	شیما،
Аки	آکی،
Нисшин	نیسشین،
Ебино	ابینو،
Фуҷисава	فوجیساوا،
Насушиобара	ناسوشیوبارا،
Фуҷими	فوجیمی،
Ина	اینا،
Кани	کانی،
Куҷи	کوجی،
Киришима	کیریشیما،
Ивата	ایواتا،
Монбетсу	مومبتسو،
Яита	یایتا،
Ономичи	اونومیچی،
Сеиё	سییو،
Тсушима	تسوشیما،
Ҳитачи	هیتاچی،
