Сити-оф-Кентерберӣ	سیتی کنتربری
Пойгоҳи ҳавоӣ тотиомо	پایگاه هوایی تاتیاما
Пойгоҳи нерӯе ҳаво литл рок	پایگاه نیروی هوایی لیتل راک
Пойгоҳи ҳавоӣ мтз-фрскти	پایگاه هوایی متز-فرسکتی
Пойгоҳи ҳавоӣ артишӣ мидл волуп	پایگاه هوایی ارتشی میدل والوپ
Пойгоҳи нерӯе ҳаво голиов	پایگاه نیروی هوایی گالیاو
Фурудгоҳи саҳро лӯс оломитус артиш	فرودگاه صحرایی لوس آلامیتوس ارتش
Фурудгоҳи нерӯе ҳаво салтанате довн омпни	فرودگاه نیروی هوایی سلطنتی داون امپنی
Пойгоҳи ҳавоӣ муҳофизат брлингтун	پایگاه هوایی محافظت برلینگتون
Пойгоҳи ҳавоӣ фулкл	پایگاه هوایی فولکل
Пойгоҳи ҳавоӣ богруву	پایگاه هوایی باگرووو
Фурудгоҳи ҳуонгсувн	فرودگاه هوانگسوون
Фурудгоҳи саҳро артишӣ ҳонтр	فرودگاه صحرایی ارتشی هانتر
Фурудгоҳи дунксул	فرودگاه دونکسول
Фурудгоҳи трустн	فرودگاه تروستن
Фурудгоҳи саҳро гронсдн лоҷ	فرودگاه صحرایی گرانسدن لاج
Пойгоҳи нерӯе ҳаво нотол	پایگاه نیروی هوایی ناتال
Фурудгоҳи шаҳре бортув	فرودگاه شهری بارتوو
Фурудгоҳи оинз овткрш	فرودگاه اینز اوتکرش
Фурудгоҳи сиолкут контумнт	فرودگاه سیالکوت کانتومنت
Фурудгоҳи мурово	فرودگاه موراوا
Фурудгоҳи саҳро артишӣ бучулз	فرودگاه صحرایی ارتشی بوچولز
Болгрдгоҳ артишӣ ҳончи	بالگردگاه ارتشی هانچی
Пойгоҳи ҳавоӣ икобпилс	پایگاه هوایی یکابپیلس
Пойгоҳи ҳавоӣ овулито	پایگاه هوایی اوولیتا
Эстгоҳ ҳаво ондио	ایستگاه هوایی اندیا
Фурудгоҳи овиҷо	فرودگاه اویجا
Фурудгоҳи омиро	فرودگاه امیرا
Фурудгоҳи нерӯе ҳаво салтанате сотун бриҷ	فرودگاه نیروی هوایی سلطنتی ساتون بریج
Пойгоҳи нерӯе ҳаво колоикундо	پایگاه نیروی هوایی کالایکوندا
Лухи-3	لوخی-۳
Пойгоҳи нерӯе ҳаво грнир	پایگاه نیروی هوایی گرنیر
Пойгоҳи нерӯе ҳаво Покистон дар пишовр	پایگاه نیروی هوایی پاکستان در پیشاور
Пойгоҳи ҳавоӣ пувурину	پایگاه هوایی پووورینو
Фурудгоҳи нерӯе ҳаво салтанате котсмур	فرودگاه نیروی هوایی سلطنتی کاتسمور
Фурудгоҳи нерӯе ҳаво салтанате лимнпн	فرودگاه نیروی هوایی سلطنتی لیمنپن
Фурудгоҳи Конг‌дунг	فرودگاه کانگ‌دونگ
Фурудгоҳи ором‌ий‌уф гунг кдок	فرودگاه آرام‌ای‌اف گونگ کداک
Фурудгоҳи орон‌ий‌ис пулҳом	فرودگاه آران‌ای‌اس پولهام
Фурудгоҳи нерӯе ҳаво салтанате дишфурс	فرودگاه نیروی هوایی سلطنتی دیشفورث
Фурудгоҳи нерӯе ҳаво салтанате трнҳил	فرودگاه نیروی هوایی سلطنتی ترنهیل
Фурудгоҳи фолкуноро	فرودگاه فالکونارا
Пойгоҳи нерӯе ҳаво грифиз	پایگاه نیروی هوایی گریفیز
Фурудгоҳи нерӯе ҳаво салтанате листун	فرودگاه نیروی هوایی سلطنتی لیستون
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар лирмунт	فرودگاه نیروی هوایی سلطنتی استرالیا در لیرمونت
Фурудгоҳи нерӯе ҳаво салтанате суннат онҷлу	فرودگاه نیروی هوایی سلطنتی سنت انجلو
Фурудгоҳи ис‌ил‌ий‌уф вовнио	فرودگاه اس‌ال‌ای‌اف واونیا
Пойгоҳи нерӯе ҳаво пурту влҳу	پایگاه نیروی هوایی پورتو ولهو
Фурудгоҳи Низомй син куонтин	فرودگاه نظامی سن کوانتین
Пойгоҳи ҳавоӣ горд ворфилд	پایگاه هوایی گارد وارفیلد
Пойгоҳи ҳавоӣ ворнс	پایگاه هوایی وارنس
Пойгоҳи Мушакии Пасифик	پایگاه موشکی پاسیفیک
Пойгоҳи ҳавоии Авиано	پایگاه هوایی اویانو
Фурудгоҳи силоч	فرودگاه سیلاچ
Фурудгоҳи ҳанг нодим	فرودگاه هنگ نادیم
Си‌уф‌бе кумукс	سی‌اف‌بی کوموکس
Фурудгоҳи Батурст Айленд	فرودگاه بترست آیلند
Фурудгоҳи саҳро мотсушимо	فرودگاه صحرایی ماتسوشیما
Фурудгоҳи мукпу	فرودگاه موکپو
Фурудгоҳи сурмрск-3	فرودگاه سورمرسک-۳
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар пойгоҳи вого	فرودگاه نیروی هوایی سلطنتی استرالیا در پایگاه واگا
Пойгоҳи нерӯе ҳаво сукритинг	پایگاه نیروی هوایی سوکریتینگ
Пойгоҳи ҳавоӣ ҳовбрт	پایگاه هوایی هاوبرت
Фурудгоҳи орно	فرودگاه آرنا
Пойгоҳи нерӯе ҳаво никубор	پایگاه نیروی هوایی نیکوبار
Пойгоҳи ҳавоӣ хтофҳ	پایگاه هوایی ختافه
Фурудгоҳи вруно	فرودگاه ورونا
Пойгоҳи ҳавоии Тел Ноф	پایگاه هوایی تل نوف
Фурудгоҳи бин‌алмилалӣ соростобрднтн	فرودگاه بین‌المللی ساراستابردنتن
Фурудгоҳи саҳро ҳокнол	فرودگاه صحرایی هاکنال
Фурудгоҳи халеҷ ҷруис	فرودگاه خلیج جرویس
Пойгоҳи ҳавоӣ суту кону	پایگاه هوایی سوتو کانو
Пойгоҳи ҳавоӣ чорботио	پایگاه هوایی چارباتیا
Пойгоҳи муҳофизат ҳаво шоин	پایگاه محافظت هوایی شاین
Фурудгоҳи данейил‌ову	فرودگاه دنیل‌اوو
Фурудгоҳи гируо	فرودگاه گیروا
Пойгоҳи ҳавоӣ бубрувичи	پایگاه هوایی بوبروویچی
Пойгоҳи ҳавоӣ волкнбрг	پایگاه هوایی فالکن‌بورخ
Пойгоҳи ҳавоӣ чрниҳиф	پایگاه هوایی چرنیهیف
Фурудгоҳи саҳро ҳоисон	فرودگاه صحرایی هایسان
Пойгоҳи ҳавоӣ люордн	پایگاه هوایی لیواردن
Фурудгоҳи оюн	فرودگاه ایون
Эстгоҳ ҳаво нерӯе дарё снгиз тупл	ایستگاه هوایی نیروی دریایی سنگیز توپل
Пойгоҳи ҳавоӣ ҷкснуил	پایگاه هوایی جکسنویل
Фурудгоҳи томпр-приколо	فرودگاه تامپری-پریکالا
Пойгоҳи ҳавоӣ офрикндо	پایگاه هوایی آفریکندا
Фурудгоҳи клмр	فرودگاه کلمر
Фурудгоҳи шнту вишо	فرودگاه شنتو ویشا
Фурудгоҳи доксфурд	فرودگاه داکسفورد
Фурудгоҳи сира	فرودگاه سره
Фурудгоҳи шортр шмфул	فرودگاه شارتر شمفول
Пойгоҳи ҳавоӣ тул-рузир	پایگاه هوایی تول-روزیر
Пойгоҳи ҳавоӣ бокӯ коло	پایگاه هوایی باکو کالا
Пойгоҳи ҳавоӣ лилуордҳ	پایگاه هوایی لیلوارده
Фурудгоҳи муну	فرودگاه مونو
Пойгоҳи ҳавоӣ куфтн	پایگاه هوایی کوبی
Фурудгоҳи срту совт	فرودگاه سرتو ساوت
Пойгоҳи ҳавоӣ ол‌исмоъелейа	پایگاه هوایی آل‌اسماعیلیه
Фурудгоҳи саҳро артишӣ грилинг	فرودگاه صحرایی ارتشی گریلینگ
Фурудгоҳи пукчонг	فرودگاه پوکچانگ
Фурудгоҳи бристл	فرودگاه بریستل
Пойгоҳи ҳавоӣ олҷуфро	پایگاه هوایی الجوفرا
Пойгоҳи ҳавоӣ артишӣ оилизобт	پایگاه هوایی ارتشی ایلیزابت
Пойгоҳи ҳавоии Безмер	پایگاه هوایی بزمر
Фурудгоҳи саҳро артиш лодд	فرودگاه صحرایی ارتش لادد
Пойгоҳи ҳавоӣ овзунджув	پایگاه هوایی اوزوندژوو
Пойгоҳи ҳаво клог	پایگاه هوایی کلاگ
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар ҷинҷин	فرودگاه نیروی هوایی سلطنتی استرالیا در جینجین
Марказ ҳаво руоф навад	مرکز هوایی روآف نودم
Пойгоҳи ҳавоӣ пнуижис	پایگاه هوایی پنویژیس
Фурудгоҳи лидкупинг-ҳоби	فرودگاه لیدکوپینگ-هابی
Фурудгоҳи нерӯе ҳаво салтанате кмрингҳом	فرودگاه نیروی هوایی سلطنتی کمرینگهام
Пойгоҳи ҳавоӣ провдинск	پایگاه هوایی پراودینسک
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар пойгоҳи оист сийл	فرودگاه نیروی هوایی سلطنتی استرالیا در پایگاه ایست سیل
Пойгоҳи ҳавоӣ косуминумҳ	پایگاه هوایی کاسومینومه
Пойгоҳи ҳавоӣ горд кий филд	پایگاه هوایی گارد کی فیلد
Фурудгоҳи лихрст	فرودگاه لیخرست
Пойгоҳи ҳавоӣ фон ранг	پایگاه هوایی فان رنگ
Фурудгоҳи нерӯе ҳаво салтанате мтрингҳом	فرودگاه نیروی هوایی سلطنتی مترینگهام
Фурудгоҳи нерӯе ҳаво салтанате топклиф	فرودگاه نیروی هوایی سلطنتی تاپکلیف
Фурудгоҳи нерӯе ҳаво салтанате кордингтун	فرودگاه نیروی هوایی سلطنتی کاردینگتون
Фурудгоҳи нерӯе ҳаво салтанате ҳорлкстун	فرودگاه نیروی هوایی سلطنتی هارلکستون
Фурудгоҳи нерӯе ҳаво салтанате встун-он-д-грен	فرودگاه نیروی هوایی سلطنتی وستون-آن-د-گرین
Фурудгоҳи нерӯе ҳаво салтанате дунрди	فرودگاه نیروی هوایی سلطنتی دونردی
Фурудгоҳи нерӯе ҳаво салтанате мочриҳониш	فرودگاه نیروی هوایی سلطنتی ماچریهانیش
Фурудгоҳи влус орм	فرودگاه ولوس آرمی
Пойгоҳ нируҳуоии салтанате овдрн тойланд	پایگاه نیروهوایی سلطنتی اودرن تایلند
Иорусловл лутсув	یاروسلاول لوتسوو
Фурудгоҳи вуҳу	فرودگاه ووهو
Пойгоҳи ҳавоӣ млисуннҳ	پایگاه هوایی ملیسوننه
Фурудгоҳи фиронкфурт-ҳон	فرودگاه فرانکفورت-هان
Фурудгоҳи осник бе	فرودگاه اسنیک بی
Пойгоҳи ҳавоӣ ҳотзрим	پایگاه هوایی هاتزریم
Фурудгоҳи куотру винтус	فرودگاه کواترو وینتوس
Пойгоҳи ҳавоии Мендиг	پایگاه هوایی مندیگ
Фурудгоҳи саҳро пойгоҳи ҳавоӣ хфофзт мебарӣ	فرودگاه صحرایی پایگاه هوایی حفافظت ملی بری
Фурудгоҳи мдин-одую	فرودگاه مدین-ادویو
Фурудгоҳи форнбуру	فرودگاه فارنبورو
Фурудгоҳи саҳро артишӣ буом‌ҳлдр	فرودگاه صحرایی ارتشی بوام‌هلدر
Фурудгоҳи саҳро вдрз	فرودگاه صحرایی ودرز
Пойгоҳи ҳавоӣ вилоруч	پایگاه هوایی ویلاروچ
Фурудгоҳи крнфилд	فرودگاه کرنفیلد
Фурудгоҳи саҳро ботлово-дунио пндуҳо	فرودگاه صحرایی باتلاوا-دونیا پندوها
Фурудгоҳи доло	فرودگاه دالا
Пойгоҳи нерӯе ҳаво крич	پایگاه نیروی هوایی کریچ
Фурудгоҳи суподю	فرودگاه سوپادیو
Фурудгоҳи нерӯе ҳаво салтанате милднҳол	فرودگاه نیروی هوایی سلطنتی میلدنهال
Фурудгоҳи осмулнск шимолӣ	فرودگاه اسمولنسک شمالی
Пойгоҳи нерӯе ҳаво протико дий морҳ	پایگاه نیروی هوایی پراتیکا دی ماره
Пойгоҳи ҳавоӣ ктбус	پایگاه هوایی کتبوس
Фурудгоҳи клн бун	فرودگاه کلن بن
Фурудгоҳи ҳолмстод	فرودگاه هل
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар велеёмз	فرودگاه نیروی هوایی سلطنتی استرالیا در ویلیامز
Пойгоҳи ҳавоӣ килпиовр	پایگاه هوایی کیلپیاور
Си‌уф‌бе мус ҷав	سی‌اف‌بی موس جو
Пойгоҳи Ҳавоии Киртланд	پایگاه هوایی کرتلند
Фурудгоҳи нерӯе ҳаво салтанате осншн	فرودگاه نیروی هوایی سلطنتی اسنشن
Пойгоҳи ҳавоӣ чнгчинг боишиии	پایگاه هوایی چنگچینگ بایشییی
Пойгоҳи муҳофизат ҳаво чорлстун	پایگاه محافظت هوایی چارلستون
Фурудгоҳи бин‌алмилалӣ хуоно озурдуи до подило	فرودگاه بین‌المللی خوانا ازوردوی دا پادیلا
Фурудгоҳи онглҳулм-ҳлсингбург	فرودگاه آنگلهولم-هلسینگبورگ
Пойгоҳи ҳавоӣ горд ммфис	پایگاه هوایی گارد ممفیس
Пойгоҳи ҳавоӣ ннси–овши	پایگاه هوایی ننسی–اوشی
Фурудгоҳи суло ийр остишн	فرودگاه سولا ایر استیشن
Пойгоҳи нерӯе ҳаво дарё Чин	پایگاه نیروی هوایی دریایی چین
Пойгоҳи ҳавоӣ оирумо	پایگاه هوایی ایروما
Пойгоҳи ҳавоӣ туррхн	پایگاه هوایی توررخن
Фурудгоҳи сомрсоид	فرودگاه سامرساید
Фурудгоҳи Эртайзӣ	فرودگاه ارتایزی
Пойгоҳи ҳавоӣ осмирних	پایگاه هوایی اسمیرنیخ
Фурудгоҳи сон‌чон	فرودگاه سان‌چان
Фурудгоҳи нерӯе ҳаво салтанате кинлос	فرودگاه نیروی هوایی سلطنتی کینلاس
Пойгоҳи ҳавоӣ ҷодр	پایگاه هوایی جادر
Фукч	فوکچ
Пойгоҳи дифоъе жинирол мичл	پایگاه دفاعی ژنرال میچل
Пойгоҳи ҳавоӣ огонио	پایگاه هوایی آگانیا
Книдион фрс остишн лоднр	کنیدیان فرس استیشن لادنر
Фурудгоҳи саҳро ҳонздн	فرودگاه صحرایی هانزدن
Фурудгоҳи обчҳ	فرودگاه ابچه
Пойгоҳи ҳавоии Семабаванг	پایگاه هوایی سمبونگ
Пойгоҳи ҳавоӣ риоқ	پایگاه هوایی ریاق
Пойгоҳи ҳавоӣ бронзуик	پایگاه هوایی برانزویک
Фурудгоҳи оврлнд мен	فرودگاه اورلند مین
Пойгоҳи ҳавоӣ читус	پایگاه هوایی چیتوس
Пойгоҳи ҳавоӣ борбр пуинт	پایگاه هوایی باربر پوینت
Пойгоҳи нерӯе ҳаво кеп кнурл оскид острип	پایگاه نیروی هوایی کیپ کنورل اسکید استریپ
Пойгоҳи ҳавоӣ мунчгурск	پایگاه هوایی مونچگورسک
Пойгоҳи ҳавоӣ овструф	پایگاه هوایی اوستروف
Фурудгоҳи бин‌алмилалӣ зҳрон	فرودگاه بین‌المللی ظهران
Фурудгоҳи саҳро гулд	فرودگاه صحرایی گولد
Пойгоҳи ҳавоӣ реёз	پایگاه هوایی ریاض
Фурудгоҳи мумут	فرودگاه موموت
Фурудгоҳи обрпурт	فرودگاه آبرپورت
Пойгоҳи ҳавоӣ рнс-шомпоин	پایگاه هوایی رنس-شامپاین
Пойгоҳи Нерӯи Ҳавоии Махадо	پایگاه نیروی هوایی ماخادو
Фдутув	فدوتوو
Фурудгоҳи ионон шилипу	فرودگاه یانان شیلیپو
Пойгоҳи ҳавоӣ абӯ сувоир	پایگاه هوایی ابو سووایر
Фурудгоҳи нерӯе ҳаво салтанате ксл кмпс	فرودگاه نیروی هوایی سلطنتی کسل کمپس
Фурудгоҳи нерӯе ҳаво салтанате литл рисингтун	فرودگاه نیروی هوایی سلطنتی لیتل ریسینگتون
Пойгоҳи ҳавоӣ كбрит	پایگاه هوایی کبریت
Пойгоҳи ҳавоӣ коифнг	پایگاه هوایی کایفنگ
Фурудгоҳи нерӯе ҳаво салтанате вист‌ҳмпнт	فرودگاه نیروی هوایی سلطنتی وست‌همپنت
Пойгоҳи ҳавоӣ руоф навад ва сеюм	پایگاه هوایی روآف نود و سوم
Фурудгоҳи нерӯе ҳаво салтанате литл оснуринг	فرودگاه نیروی هوایی سلطنتی لیتل اسنورینگ
Пойгоҳи ҳавоӣ смрит	پایگاه هوایی ثمریت
Фурудгоҳи Саҳро кончропоро	فرودگاه صحرایی کانچراپارا
Пойгоҳи муҳофизат ҳаво هорбр	پایگاه محافظت هوایی هاربر
Фурудгоҳи нерӯе ҳаво салтанате бровди	فرودگاه نیروی هوایی سلطنتی براودی
Фурудгоҳи нерӯе ҳаво салтанате витун	فرودگاه نیروی هوایی سلطنتی ویتون
Фурудгоҳи суҳунг ҷанубе	فرودگاه سوهونگ جنوبی
Фурудгоҳи саҳро олингтн	فرودگاه صحرایی الینگتن
Фурудгоҳи саҳро артишӣ омд	فرودگاه صحرایی ارتشی امد
Фурудгоҳи овнчун	فرودگاه اونچون
Пойгоҳи ҳавоӣ фу кт	پایگاه هوایی فو کت
Фурудгоҳи оспорти	فرودگاه اسپارتی
Пойгоҳи нерӯе ҳаво сонто мореё	پایگاه نیروی هوایی سانتا ماریا
Фурудгоҳи нерӯе ҳаво салтанате боркстун ҳис	فرودگاه نیروی هوایی سلطنتی بارکستون هیث
Фурудгоҳи нерӯе ҳаво салтанате ҳнлу	فرودگاه نیروی هوایی سلطنتی هنلو
Пойгоҳи ҳавоӣ сил	پایگاه هوایی سلمی
Фурудгоҳи Низомй робирт	فرودگاه نظامی رابرت
Фурудгоҳи тоичн	فرودگاه تایچن
Фурудгоҳи ю-топоеҳв руиол нюи	فرودگاه یو-تاپائو رویال نیوی
Фурудгоҳи нерӯе ҳаво салтанате устуролеё дар пойгоҳи глнбрук	فرودگاه نیروی هوایی سلطنتی استرالیا در پایگاه گلنبروک
Фурудгоҳи нерӯе ҳаво салтанате совт крни	فرودگاه نیروی هوایی سلطنتی ساوت کرنی
Фурудгоҳи поеҳгом	فرودگاه پائگام
Фурудгоҳи понгҳюн	فرودگاه پانگهیون
Фурудгоҳи шионгюн	فرودگاه شیانگیون
Купер	کوپر
Пойгоҳи ҳавоӣ мридион	پایگاه هوایی مریدیان
Пойгоҳи ҳавоӣ вилув грув	پایگاه هوایی ویلوو گروو
Пойгоҳи ҳавоӣ вимт ҷанубе	پایگاه هوایی ویمت جنوبی
Фурудгоҳи гирод мантақа овминту	فرودگاه گراد منطقه اومینتو
Пойгоҳи ҳавоӣ олокурти	پایگاه هوایی آلاکورتی
Фурудгоҳи оинз роҷоли	فرودگاه اینز راجالی
Фурудгоҳи оинз горудо	فرودگاه اینز گارودا
Фурудгоҳи миноми туришимо	فرودگاه می‌نامی توریشیما
Пойгоҳи ҳавои Оушена	پایگاه هوایی وسانا
Фурудгоҳи оинз порунду	فرودگاه اینز پاروندو
Пойгоҳи ҳавоӣ крпс чристи	پایگاه هوایی کرپس چریستی
Пойгоҳи ҳавоӣ воилдувд	پایگاه هوایی وایلدوود
Пойгоҳи мкрон нерӯе дарё Покистон	پایگاه مکران نیروی دریایی پاکستان
Фурудгоҳи Салина Круз	فرودگاه سالینا کروز
Пойгоҳи ҳавоӣ кий вист	پایگاه هوایی کی وست
Фурудгоҳи оинз дго	فرودگاه اینز دگا
Пойгоҳи миҳрон нерӯе дарё Покистон	پایگاه مهران نیروی دریایی پاکستان
Пойгоҳи ҳавоӣ куонсит пуинт	پایگاه هوایی کوانسیت پوینت
Фурудгоҳи оинз ҳнсо	فرودگاه اینز هنسا
Пойгоҳи ҳавоии ҲМАС Албатрос	پایگاه هوایی هماس البترس
Пойгоҳи ҳавоии Патуксент	پایگاه هوایی پاتوکسنت
Фурудгоҳи оинз шикро	فرودگاه اینز شیکرا
Пойгоҳи ҳавоӣ кингзуил	پایگاه هوایی کینگزویل
Валденбург	ولدانبورگ،
Русинер	روسینی‌یر
Минтақаи Порис	منطقه پاریس
Минтақаи Порис	منطقه پاریس
минтақаи Порис	منطقه پاریس
Ҷанги Бузурги Ватанӣ	جنگ کبیر میهنی
Валлетта	والتا
Гуаяс	گوایاس
Фурудгоҳи нерӯе ҳаво салтанате гутрслу	فرودگاه نیروی هوایی سلطنتی گوترسلو
Фурудгоҳи нерӯе ҳаво салтанате вли	فرودگاه نیروی هوایی سلطنتی ولی
Фурудгоҳи нерӯе ҳаво салтанате никузио	فرودگاه نیروی هوایی سلطنتی نیکوزیا
Фурудгоҳи нерӯе ҳаво салтанате морҳом	فرودگاه نیروی هوایی سلطنتی مارهام
Фурудгоҳи нерӯе ҳаво салтанате ҳонингтун	فرودگاه نیروی هوایی سلطنتی هانینگتون
Пойгоҳи Force Дар Вилденрат	ایستگاه نیروی
Фурудгоҳи нерӯе ҳаво салтанате окрутири	فرودگاه نیروی هوایی سلطنتی اکروتیری
Фурудгоҳи нерӯе ҳаво салтанате бритз нӯратон	فرودگاه نیروی هوایی سلطنتی بریتز نورتون
Фурудгоҳи нерӯе ҳаво салтанате лиминг	فرودگاه نیروی هوایی سلطنتی لیمینگ
Пойгоҳи ҳавоӣ муо	پایگاه هوایی موا
Фурудгоҳи нерӯе ҳаво салтанате муно	فرودگاه نیروی هوایی سلطنتی مونا
Фурудгоҳи нерӯе ҳаво салтанате шовбри	فرودگاه نیروی هوایی سلطنتی شاوبری
Фурудгоҳи нерӯе ҳаво салтанате мовнт плзнт	فرودگاه نیروی هوایی سلطنتی ماونت پلزنت
Фурудгоҳи нерӯе ҳаво салтанате соирстун	فرودگاه نیروی هوایی سلطنتی سایرستون
Фурудгоҳи саҳро бисстр	فرودگاه صحرایی بیسستر
Фурудгоҳи нерӯе ҳаво салтанате лосимовс	فرودگاه نیروی هوایی سلطنتی لاسیماوث
Фурудгоҳи нерӯе ҳаво салтанате кронул	فرودگاه نیروی هوایی سلطنتی کرانول
Фурудгоҳи нерӯе ҳаво салтанате оскомптун	فرودگاه نیروی هوایی سلطنتی اسکامپتون
Фурудгоҳи нерӯе ҳаво салтанате чортрҳол	فرودگاه نیروی هوایی سلطنتی چارترهال
Фурудгоҳи нерӯе ҳаво салтанате нурсулт	فرودگاه نیروی هوایی سلطنتی نورثولت
Фурудгоҳи нерӯе ҳаво салтанате бнсун	فرودگاه نیروی هوایی سلطنتی بنسون
Фурудгоҳи нерӯе ҳаво салтанате витринг	فرودگاه نیروی هوایی سلطنتی ویترینگ
Фурудгоҳи нерӯе ҳаво салтанате линтун-он-ӯр	فرودگاه نیروی هوایی سلطنتی لینتون-آن-اوز
Фурудгоҳи нерӯе ҳаво салтанате домфриз	فرودگاه نیروی هوایی سلطنتی دامفریز
Фурудгоҳи нерӯе ҳаво салтанате лучорс	فرودگاه نیروی هوایی سلطنتی لوچارس
Хартум	خارطوم
Наҳр-ан-Нил	رود نیل
Мазуллас	ماسولاس
Алтавилла-Ирпина	التاویلا ایرپینا
Гоннозно	گونوسنو
Айелло-дел-Сабато	ایلو دل ساباتو
Боронедду	بوروندو
Таурази	تاوراسی
Мелито-Ирпино	ملیتو ایرپینو
Минтурно	مینتورنو
Луогосано	لووگوسانو
Бауладу	باولادو
Санту-Луссурҷу	سانتو لوسورجیو
Фордонҷанус	فوردونجیانوس
Монтреста	مونترستا
Самугео	ساموگئو
Сиапичча	سیاپیچیا
Моргонҷори	مورگونجیوری
Нуречи	نورچی
Куркурис	کورکوریس
Модоло	مودولو
Вилланова-дел-Баттиста	ویلانووا دل باتیستا
Монтефорте-Ирпино	مونته‌فورته ایرپینو
Олластра	اولاسترا
Кастелфранчи	کاستلفرانچی
Куадрелле	کوادرله
Вилламайна	ویلاماینا
Таурано	تاورانو
Боза	بوسا
Сиамаҷоре	سیاماجوره
Сагама	ساگاما
Конса-делла-Кампания	کونتزا دلا کامپانیا
Калитри	کالیتری
Теора	تئورا
Баратили-Сан-Пйетро	باراتیلی سن پیترو
Скано-Монтиферро	اسکانو دی مونتیفرو
Терралба	ترالبا
Кайрано	کایرانو
Трезнурагес	ترسنوراگس
Нарболия	ناربولیا
Сиаманна	سیامانا
Монтемарано	مونته‌مارانو
Ассоло	آسولو
Паулилатино	پائولیلاتینو
Рокка-Сан-Феличе	روکا سان فلیچه
Червинара	چروینارا
Монтефалчоне	مونته‌فالچیونه
Қоштилло	کارونا
Бузаки	بوساچی
Виллаурбана	ویلاوربانا
Урас	اوراس
Калабритто	کالابریتو
Нола	نولا
Кассано-Ирпино	کاسانو ایرپینو
Аллаи	الای،
Куиндичи	کویندیچی
Лиони	لیونی
Флуссио	فلوسیو
Кандида	کاندیدا،
Магомадас	ماگوماداس
Санта-Ҷуста	سانتا جیوستا
Ула-Тирсо	اولا تیرزو
Авелла	آولا
Каприля-Ирпина	کاپریلیا ایرپینا
Гонностраматса	گونوستراماتزا
Могоро	موگورو
Милис	میلیس
Лачедония	لاچدونیا
Монтемилетто	مونته‌میلتو
Манокалтсати	مانوکالتزاتی
Гроттаминарда	جروتامیناردا
Авеллино	آولینو
Казалборе	کاسالبوره
Волтурара-Ирпина	وولتورارا ایرپینا
Кастелветере-сул-Калоре	کاستلورتره سول کالوره
Сенис	سنیس
Содди	سودی
Баресса	بارسا
Сан-Николо-д’Арчидано	سان نیکولو دآرچیدانو
Лауро	لاورو
Пунтедеро	پونتدرا
Кастел-Барония	کاستل بارونیا
Ҷенони	جنونی
Банйоли-Ирпино	باگنولی ایرپینو
Вилла-Сант-Антонио	ویلا سانتآنتونیو
Кюзано-ди-Сан-Доменико	دی سان دومنیکو
Седдиани	زددیانی
Гиларса	گیلارتزا
Могорелла	مورگورلا
Лапио	لاپیو
Марсано-ди-Нола	مارتزانو دی نولا
Ардаули	آردائولی
Сан-Веро-Милис	سن ورو میلیس
Аквилония	آکویلونیا،
Ариано-Ирпино	آریانو ایرپینو
Кулйери	کولیری
Норбелло	نوربلو
Бизачча	بیساکچیا
Нураки	نوراچی
Арборея	آربوریا
Кянке	چیانچه
Суни	سونی
Атрипалда	آتریپالدا
Узеллус	اوزلوس
Карифе	کاریفه
Монтеверде	مونته‌ورده
Силиго	سیلی‌گو
Аббасанта	عباس‌انتا
Андретта	آندرتا
Баяно	بایانو
Черталдо	چرتالدو
Вентикано	ونتیکنو
Домичелла	دومیچلا
Бидони	بیدونی
Лоётику	لایاتیکو
Вилланова-Трускеду	ویلانووا تروسکدو
Сенеге	سنگه
Траматса	تراماتسا
Симаксис	سیماکسیس
Гонноскодина	گونوسکودینا
Бонито	بونیتو،
Дзерфалиу	تزرفالیو
Сини	سینی
Пау	پاو
Тсунголӣ	تزونگولی
Азуни	آسونی
Седило	سدیلو
Риола-Сардо	ریولا ساردو
Бонаркадо	بونارادو
Виллата	والاتا
Капоселе	کاپوزله
Мирабелла-Эклано	میرابلا اکلانو
Монтекалво-Ирпино	مونته‌کالوو ایرپینو
Монтефуско	مونته فوسکو
Монтагуто	مونتاگوتو
Лакони	لاکونی
Руинас	رویناس
Валлесаккарда	واله‌ساکاردا
Айдомаҷоре	ایداماجیور
Соларусса	سولاروسا
Албаҷара	الباگیارا
Барадили	بارادیلی
Кабрас	کابراس
Сеннариоло	سناریولو
Неонели	نئونلی
Сирис	سیریس
Монтелла	مونتلا
Тадазуни	تاداسونی
Гроттолелла	جروتوله‌لا
Монтефредане	مونته‌فردانه
Нугеду-Санта-Виттория	نوگدو سانتا ویتوریا
Палмас-Арбореа	پالماس آربورئا
Симала	سیمالا
Вилла-Верде	ویلا ورده
Помпу	پومپو
Тиннура	تینورا
Соррадиле	سورادیله
Шингтой	شینگتای
Славянск-на-Кубани	اسلاویانسک-نا-کوبانی
Маъодӣ	معادی
Горретсвилл	گارستویل،
Флорида	فلوریدا،
Гримстод	گریمستا
Вугу	ووگو
Кристиёнсонн	کریستیان‌ساند
Тюсвер	تیسور،
Тахиатош	تقیاتاس
