Диего Веласкес	دیه‌گو ولاسکز
Хуан Баэна	خوان بینا
Мик Стоквелл	میک استکول
Майк Дохерти	مایک دوهرتی
Гордон Клейтон	گوردون کلیتون
Грэм Шэв	گریم شو
Бланко	بلانکو
Папа	پاپا
Эстебан Беккер	استبان بکر
Гари Белл	گری بل
Барнетт	بارنت
Биван	بیوان
Браун	براون
Адам Чиксен	آدام چیکسن
Аден Флинт	آدن فلینت
Мантерола	مانترولا
Кэн Беннетт	کن بنت
Батлер	باتلر
Фрайр	فریر
Абулқосими Даргузинӣ	ابوالقاسم درگزینی
Леандро Каррижо	لیناردو کاریجو
Сид Клюлау	سید کلولو
Гитян	گوتیان
Антонио Амейхенда	انتونیو امیندا
Кэн Бимиш	کن بیمیش
Кэн Кут	کن کوت
Фаррухони Хурд	فرخان کوچک
Феде Кастанйос	فده کاستانیوس
Нейл Фриман	نیل فریمن
Алберт Лок	آلبرت لاک
Алекс Родман	الکس رادمن
Анайтс Арбила	انایتس اربیلا
Энди Гарнер	اندی گارنر
Фуэртес	فورتس
Пинто	پینتو
Сухро	زرمهر
Викторо Кокко	ویکتوریو کوکو
Оливейра	اولیویرا
Дарлингтон	دارلینگتون
Родригес	رودریگز
Хуан Мануэл Кортес	خوان مانوئل کورتس
Васселл	واسل
Ли Ҳаррисон	لی هریسون
Антонио	انتون
Хандон	خندان
Стив Браккенридҷ	استیو براکنیج
Лерой Гриффитс	لیروی گریفیث
Алайн Алварес	الن الوارز
Козирунӣ	کازرونی
Мануэл Де Оливейра Да Силва Жуниор	مانوئل دی اولیویرا دا سیلوا جونیور
Мануэл Бонаке	مانوئل بوناکه
Габбиадини	گابیدینی
Абулфутӯҳи Розӣ	ابوالفتوح رازی
Ника Чхапелийа	نیکا چخاپلیا
Дуров	دورف
Хонатан Скунке	جاناتان شونک
Сайид Иброҳим Раисӣ	سید ابراهیم رئیسی
Игор Де Соуза	ایگور دی سوزا
Куэста	کوئستا
Дарио Бенедетто	داریو بندتو
Петтс	پتس
Буффарини	بافرینی
Фаррухзод	فرخزاد
Франсиско Парренйо	فرانسیسکو پارنیو
Орас Барнет	هریس بارنیت
Роб Келли	راب کلی
Бридон	بریدون
Ҷек Липсхэм	جک لیپشام
Арнотт	آرنوت
Фарнен	فارنن
Марин	مارین
Марк Форд	مارک فورد
Марк Паттерсон	مارک پترسون
Бен Нунн	بن نون
Билли Фогг	بیلی فوگ
Харкер	هارکر
Бобби Гриффитс	بابی گریفیث
Ҷек Хэйг	جک هیگ
Линтон Браун	لینتون براون
Луис	لویس
Асел Хуарес	اکسل خوارز
Бетанкор	بتانگور
Уайтхид	وایتهد
Кэмпбелл	کمپبل
Блэквелл	بلکول
Ангус	آنگوس
Фреттингхэм	فرتینگهام
Тэйлор	تیلور
Силва	سیلوا
Дудҷон	داجن
Ян Грей	یان گری
Луис Эрнандес	لوئیس هرناندز
Эктор Окоа	اکتور اوچوا
Лукас Селарайян	لوکاس زلارایان
Пирӯзи	پیروز
Луис Алберто Эскобедо	لوئیس البرتو اسکوبدو
Пэт Ерлс	پت ارل
Пирӯз	پیروز
Питер Барлоу	پیتر بارلو
Фил Дандо	فیل داندو
Орас Грин	هوراس گرین
Лима	لیما
Бэнкс	بنکس
Дулан	دولان
Симеоне	سیمئونه
Франкс	فرانک
Юлиан Келли	جولیان کلی
Вандерcон Cкардовелли	واندرسون اسکاردولی
Кессиди	کسیدی
Кук	کوک
Лакслт	لکسالت
Доу	داو
Марсело Гоус	مارسلو گوکس
Камерон Дарквах	کامرون دارکوا
Масиел Луиз Франко	ماسیل لوئیز فرانکو
Марлон Бирсфорд	مارلون برسفورد
Виддоусон	ویدوسون
Бартон	بارتون
Флауэрс	فلاورز
Хуан Эстрада	خوان استرادا
Рафаэл Макена	رافائل ماسینا
Рег Бейнс	رگ بینز
Кудер	کودر
Чарлз	چارلز
Смит	اسمیت
Майкл Ботенг	مایکل بواتنگ
Мик Гудинг	میک گودینگ
Горман	گورمن
Майкл Баррон	مایکل بارون
Майкл Ҷексон	مایکل جکسون
Лерой Росенайор	لیروی رویارد
Бернал	برنال
Чю	چو
Коллинз	کالینز
Кину Марш Броун	کینو مارش براون
Браун	براون
Браун	براون
Мартин	مارتین
Ҷейсон Кузинс	جیسون کازینز
Гилл	گیل
Кайли Уилсон	کایل ویلسون
Кэн Брейсвелл	کن بریسول
Дей	دی
Шон Девин	شان دیواین
Пол Боттомли	پل باتملی
Пол Венрик	پال ورنیک
Кевин Грей	کوین گری
Фелл	فل
Дунгуорт	دانگوورث
Мингорансе	مینگورنس
Дерби	داربی
Гуд	گود
Форд	فورد
Ҷонсон Кларк Харрис	جونسون کلارک-هریس
Куффур	کافور
Ҷо Хоар	جو هار
Дэвис	دیویس
Лен Ашэрст	لن آشست
Ричард Карпентер	ریچارد کارپنتر
Хорхе Гаона	خورخه گائونا
Мартинес	مارتینز
Хуан Кобян	خوان کوبیان
Хуан Монтес	خوان مونتس
Леонел Алтобели	لئونل آلتوبلی
Ҷордан Игерс	جردن ایگلز
Моралес	مولیرو
Пачеко	پاچکو
Клементс	کلمنتس
Марк Каррингтон	مارک کارینگتون
Роберто Кармо	روبرتو کارمو
Люк Уилямс	لوک ویلیامز
Санти Мина	سانتی مینا
Махдуми Аъзам	احمد کاسانی
Кристиан Тула	کریستین تولا
Дэмиен Аллен	دیمین آلن
Дэвид Бирсфорд	دیوید برسفورد
Дэвид Ҳёрлӣ	دیوید هرلی
Брерли	بریل
Марк Деннис	مارک دنیس
Мел Блит	مل بلیت
Малколм Дейвс	مالکوم داوز
Марк Бэрроус	مارک باروز
Леопалди	لئوپالدی
Марк Аллен	مارک آلن
Марк Уилямс	مارک ویلیامز
Мирeл Йосa	میرل یوسا
Уотсон	واتسون
Винсент	وینسنت
Луиз Карлос Жуниор	لوئیز کارلوس جونیور
Мариано Углессик	ماریانو اوگلسیچ
Томас Беннетт	توماس بنت
Том Бучер	تام بوچر
Нейл Критчли	نیل کریچلی
Ли Браун	لی براون
Майк Грис	مایک گرایس
Делей	دیلی
Майкл Боствик	مایکل بوستویک
Мики Фентон	میکی فنتون
Майк Грин	مایک گرین
Хуанлу	خوانلو
Стив Макналти	استیو مک‌نالتی
Оейки Филд	اوکی فیلد
Майкон Ассис	مایکون آسیس
Нейл Эллис	نیل الیس
Бол	بال
Сезар Дус Сантос	سزار دوس سانتوس
Накисо	نکیسا
Малколм Девитт	مالکوم دویت
Мэтю Деликâт	متیو دلیکته
Люк Ҷойс	لوک جویس
Кейт Дублин	کیت دوبلین
Паскуал Парра	پاسکوال پارا
Норман Кол	نورمن کول
Де Оливейра Анастакио	دی اولیویرا آناستایکو
Майкл Говард	مایکل هاوارد
Майкл Вҳайтхэм	مایکل ویتهام
Луис Эдуардо	لوئیس پاچکو
Хорхе Массо	خورخه ماسو
Антонио Пардо	آنتونیو پاردو
Ботелю	بوتلو
Ҷастин Ричардс	جاستین ریچاردز
Майкл Бэрнс	مایکل برنز
Лучано Гонсалес	لوچیانو گونزالس
Луиз Энрике Сантос	لوئیز هنریکه سانتوس
Филип Насименто	فیلیپه ناسیمنتو
Марсело Берса	مارسلو برزا
Марк Брэдшав	مارک بردشاو
Марк Смит	مارک اسمیت
Марк Уорд	مارک وارد
Матео Мигес	ماتئو میگوئز
Мэтт Дайкинс	مت دیکنز
Кайли Критчелл	کایل کریتسل
Паулиню Диас	پائولینیو دیاز
Фил Бэрроус	فیل باروز
Роберто Гонсага	روبرتو گونزاگا
Петар Шегрт	پیتر سرگیت
Фил Эдвардс	فیل ادواردز
Бойер	بویر
Томми Гарретт	تامی گرت
Ник Бартон	نیک برتون
Фрэд Эйнсвэрт	فرد اینسورث
Гари Кросби	گری کرازبی
Элмор	المور
Марлон Брумс	مارلون برومز
Мэтю Бёрд	متیو برد
Лес Чаппелл	لس چپل
Роблес	روبلس
Маурис Конрой	موریس کانروی
Мик Бакли	میک باکلی
Питер Спиринг	پیتر اسپیرینگ
Оскар Фокс, Ҷр.	اسکار فاکس جونیور
Питер Фаррелл	پیتر فارل
Кейси	کیسی
Стевленд Ангус	استولند آنگوس
Грэм Энтони	گراهام آنتونی
Грэм Футчер	گراهام فوچر
Рафаэл Тейксира Де Соуза	رافائل تیکسیرا دی سوزا
Пол Андервуд	پل آندروود
Раул Медина	رائول مدینا
Матиас	ماتیاس
Норман Браун	نورمن براون
Лес Аффул	لس آفول
Нейл Кокс	نیل کاکس
Қайсари Аминпур	قیصر امین‌پور
Висенте	ویسنته
Дэвидсон	دیویدسون
Райан Ллойд	رایان لوید
Роберто Могровехо	روبرتو موگروجو
Ҷонсон	جانسون
Оскар Гоберн	اسکار گوبرن
Пол Кокс	پل کاکس
Лил Тэйлор	لایل تیلور
Синбӯя Асворӣ	سنبویه اسواری
Марк Бридҷ Вилкинсон	مارک بریج-ویلکینسون
Марк Берд	مارک بیرد
Рамон Гонсалес	رامون گونزالس
Рэй Сваллау	ری اسوالو
Ричард Ландон	ریچارد لاندون
Рон Фогг	ران فوگ
Блэкман	بلکمن
Пол Дамметт	پل دامت
Перси Фэрклоф	پرسی فیرکلاگ
Фил Кросби	فیل کرازبی
Ники Форстер	نیکی فورستر
Алколеа	الکولیا
Мэтти Эдвардс	متی ادواردز
Рубен Паррага	روبن پاراگا
Симон Доунер	سایمون داونر
Стэн Уикс	استن ویکس
Бартон	برتون
Райан Брунт	رایان برانت
Пол Адкок	پاول ادکاک
Мигел Тохо	میگل توخو
Майк Крейвен	مایک کریون
Майк Элвисс	مایک الویس
Покрнхик	پوکرنیک
Луис Эрнандес	لوئیس ارناندس
Карлос Лопес	کارلوس لوپز
Идигорас	ایدیگوراس
Бустос	بوستوس
Пол Комстив	پل شانه‌گیر
Педро	پدرو
Мохика	موهیکا
Сантамария	سانتاماریا
Хесус Месас	خسوس ماس
Андерсон Де Лима Фрейтас	آندرسون دی لیما فریتاس
Тансар	تنسر
Стив Броди	استیو برودی
Родригес Сантос	رودریگز دوس سانتوس
Эскаланте	اسکالانته
Роб Ҷонсон	راب جانسون
Стэн Алдус	استن آلدوس
Стеф Фрост	استف فراست
Рис Вабара	ریس وابارا
Рег Стокилл	رگ استوکیل
Стив Пеплау	استیو پپلاو
Тед Андерсон	تد اندرسون
Бартон	بارتون
Соҳиб ибни Аббод	صاحب بن عباد
Роберто Торрес	روبرتو تورس
Рубен Пеня	روبن پنیا
Рафаэл Морера	رافائل موررا
Ричард Купер	ریچارد کوپر
Скотт Кукси	اسکات کوسی
Микел Алваро	میکل الوارو
Фонсека	فونسکا
Том Бриггс	تام بریگز
Стюарт Флитвуд	استوارت فلیتوود
Рэй Кашли	ری اشلی
Рис Коннолли	ریس کانلی
Рег Смит	رگ اسمیت
Шон Коннелли	شان کانلی
Виттор	ویتور
Роберт Дон	رابرت داون
Дэвидсон	دیویدسون
Сергей Сукасян	سرگئی سوکیاسیان
Брага Де Соуза	براگا دی سوزا
Гудласс	گودلاس
Рубен Санс	روبن سانز
Руперт Кавторн	روپرت کاوتورن
Висенте Эставило	ویسنته استاویلو
Пол Дэвис	پاول دیویس
Бадахшӣ	بدخشی
Тони Бонд	تونی باند
Тони Генри	تونی هنری
Сеп Смит	اسپ اسمیت
Симон Иствуд	سیمون استوود
Умар Cигуейра	اسمار سیگوئرا
Том Уилкокс	تام ویلکاکس
Рэй Картер	ری کارتر
Ренато Недейрус	ریناتو مادیروس
Стив Дейви	استیو دیوی
Стив Ваддингтон	استیو وادینگتون
Пол Китсон	پل کیتسون
Стив Берри	استیو بری
Стэн Фазаккерли	استن فاکرلی
Стив Холленд	استیو هالند
Стив Томпсон	استیو تامسون
Икер Ундабаррена	ایکر اندابرنا
Ричард Брукс	ریچارد بروکس
Ричард Дриден	ریچارد درایدن
Гарднер	گاردنر
Рубен Бернунсио	روبن برنوسیو
Стюарт Бимсон	استوارت بیمسون
Батюп	بیت‌آپ
Натан Элдер	ناتان الدر
Да Силва Вагнер	دا سیلوا کیرونو
Валдемар Мендес	والدمار مندز
Уолтер Пас	والتر پاز
Уолтер Рибонетто	والتر ریبونتو
Тулин Озен	تولین اوزن
Алмонд	آلموند
Витти	ویتی
Якоб Эрскин	یاکوب ارسکین
Биумонт	بومونت
Ричард Барройлхет	ریچارد باروله
Ричи Поулинг	ریچی پولینگ
Гудчилд	گودچایلد
Батлер	باتلر
Рон Генри	رون هنری
Райан Аллсоп	رایان آلسوپ
Сэм Флетчер	سام فلچر
Трэвор Эйлотт	ترور آیلوت
Беванс	بیوانس
Мигел	میگل
Хуан Карлос Ортис	خوان کارلوس اورتیز
Хуан Бланко	خوان بلانکو
Арнолд Коутс	آرنولد کوتس
Селвин Пеннант	سلوین پنانت
Веймар Маркус Родригес	ویمار مارکوس رودریگز
Виктор Сегура	ویکتور سگورا
Нунес	نونس
Висенте Гомес	ویسنته گومز
Алехандро Родригес	الخاندرو رودریگز
Уилям Ярброуг	ویلیام یاربرو
Уилям Да Силва	ویلیام دا سیلوا
Боб Бейнбридҷ	باب بینبریج
Владенир Баррето	ولادمیر باریتو
Кэн Бирч	کن توس
Уолтер Антонио Хименес	والتر انتونیو خیمنز
Браун	براون
Брэдшав	برادشاو
Рэнкин	رنکین
Карвалю	کاروالیو
Стаффорд	استفورد
Марк Бирч	مارک برچ
Бутл	بوتل
Алберто	تاتو
Зек Роу	زیک رو
Санчес	سانچز
Лопес Лауриндо	لوپس لائوریندو
Марк Дин	مارک دین
Марк Уилямс	مارک ویلیامز
Алмонд	آلاموند
Мик Аткин	میک اتکین
Майк Смит	مایک اسمیت
Алекс Портило	الکس پورتیلو
Бертоти Падиля	برتوتی پادیلا
Нейл Бэрретт	نیل بارت
Нейл Кутлер	نیل کاتلر
Алмонд	آلموند
Абубакр Розӣ	ابوبکر رازی
Николас Нунйес	نیکلاس نونز
Паредес	پاردس
Висенте Арсе	ویسنته آرزه
Пол Эллендер	پل اللندر
Себастян Арриэта	سباستین اریتا
Луис Монтес	لوئیس مونتس
Хуан Мануэл Кавало	خوان مانوئل کاوالو
Иняки Болайн	اینیاکی بولاوین
Марсело Браво	مارسلو براوو
Лукас Аяла	لوکاس ایالا
Флорис	فلوریس
Роналд Митчелл	رونالد میچل
Бекетт	بکت
Рубен Пасос	روبن پازو
Хуан Уерта	خوان هورتا
Буфарини	بوفارینی
Шон Гейл	شان گیل
Беродия	برودیا
Чапман	چپمن
Мануэл Видал	مانوئل ویدال
Дус Сантос Роберто	دوس سانتوس روبرتو
Пауло Да Коста	پائولو دا کوستا
Мэтт Бразир	مت منقل
Мануэл Ромай	مانوئل رومی
ибни Абдуллоҳ ибни Тоҳир	بن عبدالله بن طاهر
Пити Белмонте	پیتی بلمونته
Валош	ولاش
Хуан Антонио Санйудо	خوان آنتونیو سانیودو
Оскар Рамирес	اسکار رامرز
Браун	براون
Абдулқодир Камил Муҳаммад	عبدالقادر کمیل محمد
Абел Эрнесто Эррера	آبل ارنست هررا
Колам Хиггинботем	کالوم هیگینبوتام
Пол Гарднер	پل گاردنر
Норман Белл	نورمن بل
Форрестер	فورستر
Ҷонсон	جانسون
Добинсон	دوبینسون
Линакр	لیناکر
Ли Элам	لی ایلام
Мики Бэрнс	میکی برنز
Бауза	بوزا
Пол Дайгби	پائول دیگبی
Майкл Ҳектор	مایکل هکتور
Алан Стефенс	آلن استفنز
Луна	لونا
Беттени	بتانی
Гоулдинг	گولدینگ
Диего Ассис	دیه گو آسیس
Ли Батчер	لی قصاب
Грей	گری
Алберт Фишер	آلبرت فیشر
Луиз Жуниор	لوئیز دی آزودو جونیور
Ҳаролд Бутон	هارولد بوتون
Ҷон Хоули	جان هاولی
Талиска	تالیسکا
Ҳайбберт	بیلی هیبرت
Рафаэл Ферейра	رافائل فریرا
Брэкстон	براکستون
Бёрд	برد
Хуан Угарте	خوان اوگارته
Календер	کالندر
Ҷозеф Бирдс	جوزف بردز
Коуен	کوئن
Родриго Контрерас	رودریگو کونتراپس
Пепе Диас	په دیاز
Хуан Палетта	خوان پالتا
Браун	براون
Насименто	ناسیمنتو
Дэвид Бак	دیوید باک
Пол Батлер	پل باتلر
Линч	لینچ
Тристан	تریستن
Монки	مونچی
Нас Башир	ناس بشیر
Энтони Ҷеффри	آنتونی جفری
Роберт Этерингтон	رابرت اترینگتون
Релиш	رلیش
Ҷейрон	جیران
Эдcон Гауко	ادسون گوچو
Люк Лихи	لوک لیهای
Крейг Этерингтон	کریگ اترینگتون
Эраклес	هراکلس
Рикки Хилл	ریکی هیل
Пол Арнисон	پل آرنیسون
Ник Фентон	نیک فنتون
Эван Хорвуд	ایوان هوروود
Запата	زاپاتا
Акквурофф	جک آکورف
Пабло Нинйо	پابلو نینو
Люк Эйлинг	لوک آیلینگ
Ҷон Додсуорт	جان دودزورث
Фелл	فل
Ралф Чапман	رالف چپمن
Адриан Моуринйо	ادریان مورینیو
Раул Лоренте	رائول لورنت
Ли Корнвелл	لی کورنول
Питер Эйтчисон	پیتر آیچیسون
Умар Сампедро	عمر سامپدرو
Адлӣ Мансур	عدلی منصور
Мануэл Матео	مانوئل متئو
Назр ибни Шумайл	نضر بن شمیل
Абдулазиз ибн Ҳабтур	عبدالعزیز بن حبتور
Анӯшервон ибни Холид	انوشیروان بن خالد
Алсоп	آلسوپ
Велтон Филип	ولتون فیلیپه
Ҳилол ибни Алӣ	هلال بن علی
Гастаняга	گزتاناگا
Делфин Алварес	دلفین الوارز
Дел Алли	دله الی
Доминик Вос	دومینیک ووز
Клэр	کلر
Анвар Чингизоглу	انور چنگیز اوغلو
Луис Фернандес	لوئیس فرناندز
Лоло	لولو
Алӣ Асадов	علی اسدف
Айнӣ	عینی
Насим Раҷаб	نسیم رجب
Ҳурмуздухт	هرمزدخت
Алекс Родригес	الکس رودریگز
Дидук	دیدوش
ибни Комил	بن كامل
Абулаббос ибни Аҳмади Исфароинӣ	ابوالحسن اسفراینی
Вандуй	وندوی
Элой Хименес	الوی خیمنز
Хесус Нарро	خسوس نارو
Да Силва Соуза	دا سیلوا سوزا
Леон Соломяк	لئون سولومیاک
Рид	رید
Ансола	انسلا
Гарсия	گارسیا
Самуэл Гарсия Санчес	ساموئل گارسیا سانچز
Витиню	ویکتور
Чиполина	چیپولینا
Дэвид Костас	دیوید کاستاس
Хуан Круз Капроф	خوان کروز کاپور
Ҷонсон	جانسون
Филип Августо	فیلیپه آگوستو
Алан Деннис	آلن دنیس
Сангали	سنگالی
Мунир Эл Аддади	منیر الحدادی
Бен Гринхалг	بن گرینهالگ
Эрик Ревертер	اریک رایتر
Крис Дикинсон	کریس دیکینسون
Иван Алварес	ایوان آلوارز
Люк О'ниен	لوک ناین
Ҳаролд Блэкмор	هارولد بلک مور
Френч	فرنچ
Майя Санду	مایا ساندو
Чемберс	چمبرز
Алан Пинйеро	آلان پینیرو
Родни Рук	رادنی روکه
Райан Кросдейл	رایان کرااسدیل
Хави Ноблехас	خاوی نخیبزاس
Фрэнк Бромли	فرانک بروملی
Галин Хонум	گلین خانم
Ланделлс	لاندلس
Адамс	آدامز
Абдуллоҳ Танӣ	عبدالله الثنی
Ли Эллисон	لی الیسون
Дей	دی
Тарсисио Агуадо	تارسیسیو اگوادو
Хавйер Кабрера	خاویر کابررا
Артур Эллиотт	آرتور الیوت
Малкон	مالکوم
Ҷим Готтс	جیم گات
Симон Басси	سایمون باسی
Маколи Бонн	مکولی بون
Бартомеу	بارتومئو
Алберт Ҳаррисон	آلبرت هریسون
Пол Барроуклифф	پل باروکلیف
Матеус Перейра	متیوس پریرا
Адриано	آدریانو
Мария Зубяррайн	زوبیرین
Вaлён Aҳмeди	وولان احمدی
Федерико Рикка	فدریکو ریکا
Рубен Янйес	روبن یانییز
Карвалю Де Оливейра	کاروالیو دی اولیویرا
Калум Кэмпс	کالوم کمپز
Алберт Грин	آلبرت گرین
Ҳасан	حسن
Оскар Ромеро	اسکار رومرو
Ҳарусиндон	هروسندان
Том Конлон	تام کونلون
Флинн	فلین
Корини	قارن
Рафаэл Алвес	رافائل آلوز
Рубен Вин	روبن واین
Чарлз Деннингтон	چارلز دنینگتون
Томас Багли	توماس باگلی
Куртни Бейкр Ричардсон	کورتنی بیکر-ریچاردسون
Алан Иглс	آلن ایگلز
Эксли	اکسلی
Сидни Эллиотт	سیدنی الیوت
Акоста	آکوستا
Албиол	البیول
Канйисарес	کانیی
Дидак Девеса	دیداک دوسا
Диего Санчес	دیگو سانچز
Марк Кастелс	مارک کاستلز
Хулио Родригес	خولیو رودریگز
Гуни	گونی
Коннор	کانر
Брайан Гриффитс	برایان گریفیتس
Ҷек Эбботт	جک ابوت
ибни Марзбон	بن مرزبان
Даниэл Пинилос	دانیل پینیلوس
Морено	مورنو
Васкес	باسکس
Тонер Олмаз	تانر اولماز
Арбер	آربر
Алекс Брайстер	الکس بریستر
Мосса	موسی
ибни Омир	بن عامر
Чарли Дикон	چارلی دیکن
Лерма	لرما
Микел Олмо	میکل اولمو
Карлос Калдерсон	کارلوس کالدرسون
Фаусто Тиенса	فائوستو تینزا
Ҷордан	اردن
Себас Корис	سباس کوریس
Планас	پلاناس
О'коннелл	کانل
Маркос	مارکوس
Луис Гарнер	لوئیس گارنر
Рубен Дарио Росси	روبن داریو روسی
Алберт Партридҷ	آلبرت پارتریج
Блаккер	بلکر
Энрике Галан	انریکه گالان
Корреа	کوریا
Лукас Лима	لوکاس لیما
Сиёвахш	سیاوخش
Хуаким Арсура	خواکین ارزرا
Мина	مینا
Райан Ҷонсон	رایان جانسون
Адан Перес	ادن پرز
Бернардо Круз	برناردو کروز
Жилберто	گیلبرتو
Фернандо Баррачина	فرناندو باراچینا
Амир Сурӣ	امیر سوری
Майк Бойл	مایک بویل
Ангой Круйфф	انگوی-کرایف
Ренато Де Лима	ریناتو دی لیما
Ҷон Эвс	جان ویس
Надалес	فونسی
Уолтер Бенитес	والتر بنیتز
Энди Пэрри	اندی پری
Вега	وگا
Мёрфи	مورفی
Дэвид Гарсия	دیوید گارسیا
Ирам Дариҷӣ	ایرم دریجی
Таргетт	تارگت
Хесус Имас	خسوس ایمز
Диас	دیاس
Фран Пинеда	فرن پیندا
Паскуа	پاسکوا
Иняки Саэнс	انیاکی سانز
Хосу Эрнаэс	یوسو هرنائز
Ҷош Гиллис	جاش گیلیز
Пабло Подио	پابلو پودیو
Чарли Дринквитер	چارلی درینکوت
Дон Бол	دان بال
Ли Бург	لی برگ
Рочет	روچت
Рон Форстер	ران فورستر
Хауме Домèнеч	خاومی دومنش
Кейт Амос	کیت آموس
Хавйер Содеро	خاویر سودرو
Грэм Браун	گراهام براون
Мэтт Крукс	مت کروکز
Томас Хирон	توماس خیرون
Дэвид Гаскон	دیوید گاسکون
Родригес	رودریگز
Даниэл Олдра	دنیل اولدرا
Алфред Дуглас	آلفرد داگلاس
Икер Гуаррочена	ایکر گوارتسنا
Дэвид Мунйос	دیوید مونیوس
Ривер Аллен	ریور آلن
Ян Дарҷи	ایان دارگی
Эрос Грeздa	اروس گرزدا
Сайфиев	سیفیف
Грэм Браун	گراهام براون
Жозе	بوبو
Сеговия	سگوویا
Эдгар Мендес	ادگار مندز
Томас Болсикко	توماس بولزیکو
Исфизорӣ	اسفزاری
Борха Майорал	بورخا مایورال
Баҳроми Гушнасп	بهرام گشنسپ
Масъуд Акуста	مسعود آکوستا
Иняки Уилямс	اینیاکی ویلیامز
Карлос Абад	کارلوس آباد
Талес Олекес	تالس اولکس
Яздёр	یزدیار
Майк Дикин	مایک دیکین
Мигел Массана	میگل ماسانا
Сперрин	اسپرین
Гуидо Родригес	گیدو رودریگز
Дэвид Бигас	دیوید بیگاس
Брэдли Голдберг	بردلی گلدبرگ
Клив Бейкер	کلایو بیکر
Андрес Родригес	اندی رودریگز
Акуня	اکونیا
Рафаэл Паэс	رافائل پاز
Бустос	بوستوس
Эдуардо Педро Жуниор	ادواردو پدرو جونیور
Тяго Нендес	تیاگو منجس
Фрэд Дэррант	فرد درانت
Рагелли	راگلی
Ӯрунбой Ашӯров	ارونبای عاشورف
Марин	مارین
Рафаэл Бадо	رافا بدو
Уйлcон	اویلسون
Питер Ҷонсон	پیتر جانسون
Зармеҳри Корин	زرمهر کارن
Гил Мунтадас	گیل مونتاداس
Эйнсли Мейтленд Нилс	اینسلی مایتلند نیلز
Серхио Нарваэс	سرخو ناروز
Ричард Дэвсон	ریچارد داوسون
Мария Мартинес	مارتینز
Алан Паркс	آلن پارکز
Компагнукси	کاماگنوچی
Сироҷидин Аслов	سراج‌الدین مُهرالدین
Пабло	پابلو
Бурбек	بربک
Грейс Виктория Кокс	گریس ویکتوریا کوکس
Дмитри Арапов	دمیتری آراپوف
Адам Смит	آدام اسمیت
Мария Путина	ماریا ورونتسوا
Фенвик	فنویک
Доминик Калверт Люин	دامینیک کالورت-لوین
Абрам	آبرام
Ҳаролд Кравшав	هارولد کرشاو
Хуан Сифре	خوان چیفره
Томас Кардона	توماس کاردونا
Асад Сикандар	اسد سکندر
Асиер Вилалибре	اسیر ویلالیبره
Ашби	اشبی
Луке	لوکه
Витор Ҳюго	ویتور هوگو
Микел Весга	میکل وسگا
Сэм Уайт	سام وایت
Гил	گیل
Стивен Буллок	استیون بولاک
Гарсия Де Андойн	گارسیا د اندن
Габриэл Хесус	گابریل ژسوس
Хорхе Ортис	خورخه اورتیز
Драупадӣ Мурму	دراپادی مورمو
Гарсия	گارسیا
Пуэртас	پوئرتاس
Юлиан Кикко	خولیان چیسکو
Эбер Ферейра Де Бесcа	ابر بیسا
Тилли	تیلی
Жуэлинтон	جوئلینتون
Гонсалес	گنزالز
Белтран	بلتران
Ҳерберт Лоусон	هربرت لاوسون
Ас-Сувайдӣ	السویدی
Кук	کوک
Кристиан Ривера	کریستیان ریورا
Дэвид Ҷонс	دیوید جونز
Шаҳролонюзон	شهر آلان یوزان
Сюга	شوگا
Максмиляно Ромеро	ماکسیمیلیانو رومرو
Солор Ақилӣ	سالار عقیلی
Магдалено	ماگدالنو
Даниил Фомин	دنیل فومین
Эуллер	ائولر
Баҳроми Моҳозар	بهرام ماه آذر
Раҳмонзода	رحمانذاده
Ричард Филд	ریچارد فیلد
Дал Фрай	دانیل فرای
Ариманй	اریمانی
Дуглас Танке	دوگلاس تانکی
Клаус Гясуля	کلاوس جاسولا
Сезар Монтес	سزار مونتس
Крейвен	کریون
Крейвен	کریون
Кристиан Карраседо	کریستین کارراکیدو
Максмиляно Гомес	مکسی گومز
Тири	تیری
Коксон	کاکسون
Салвадор Санчес	سالوادور سانچز
Ариманй	اریمانی
Марлос Морено	مارلوس مورنو
Гарсия	گارسیا
Кеши Андерсон	کشی اندرسون
Дэвид Серрано	دیوید سرانو
Рубен Алкарас	روبن الکاراز
Марк Ниерга	مارک نیرگا
Кайли Камерон	کایل کامرون
Питер Бейнбридҷ	پیتر بینبریج
Фелл	فیل
Алекс Ри	الکس رو
Лил Верд	لایل ورده
Амарал	آمارال
Арсен Айрапетян	آرسن هایراپتیان
Лячи	لاچی
Родригес	رودریگز
Перси Фриман	پرسی فریمن
Алексис Мессидоро	الکسیس مسیدورو
Райан Фултон	رایان فولتون
Ардавони Хоразмӣ	اردوان خوارزمی
Рафа Мир	رافا میر
Яки Ен	یاکی ین
Фернандес	فرناندز
Мир	میر
Николас Де Ла Круз	نیکلاس د لا کروز
Хуан Карлос Молина	خوان کارلوس مولینا
Науел Молина	ناهوئل مولینا
Дэвид Сория	دیوید سوریا
Сулаймон ибни Абдуллоҳ	سلیمان بن عبدالله
Андриго	آندریگو
Пеле	پله
Стэн Чарлтон,	استن چارلتون
Нолан Эванс	نولان ایوانز
Усмон Какей	عثمان کاکای
Родриго Линдозо	رودریگو لیندوسو
Тана	تنا
Тед Битесон	تد بیتسون
Бокос	بوکوس
Де Лос Рис	د لوس ریس
