аамм	اعم
хосса	خاصه
хост	خواست
хостагирӣ	خواسته گيري
хостан	خواستن
хостгор	خواستگار
хостгорӣ	خواستگاري
хостгоршаванда	خواستگارشونده
хостор	خواستار
хотам	خاتم
хотамбанд	خاتم بند
хотамбандӣ	خاتم بندي
хотамкор	خاتم کار
хотамкорӣ	خاتم کاري
хотамсоз	خاتم ساز
хотамсозӣ	خاتم سازي
хотамуланбиё	خاتم الانبيا
хотим	خاتم
хотима	خاتمه
хотимавӣ	خاتموي
хотир	خاطر
хотира	خاطره
хотиравӣ	خاطروي
хотирагӯӣ	خاطره گويي
хотиранавис	خاطره نويس
хотиранависӣ	خاطره نويسي
хотиранигорӣ	خاطره نگاري
хотирафсурда	خاطرافسرده
хотирбинӣ	خاطربيني
хотирдорӣ	خاطرداري
хотирдошт	خاطرداشت
хотирмушавваш	خاطرمشوش
хотирнавоз	خاطرنواز
хотирнишин	خاطرنشين
хотирнишон	خاطرنشان
хотирозор	خاطرآزار
хотирозурда	خاطرآزرده
хотирот	خاطرات
хотирошуфта	خاطرآشفته
хотирпазир	خاطرپذير
хотирпареш	خاطرپريش
хотирпарешон	خاطرپريشان
хотирпарешонӣ	خاطرپريشاني
хотиррасон	خاطررسان
хотирписанд	خاطرپسند
хотиррасонӣ	خاطررساني
хотирфиреб	خاطرفريب
хотирхоҳ	خاطرخواه
хотирхоҳӣ	خاطرخواهي
хотирҷамъ	خاطرجمع
хотирҷамъӣ	خاطرجمعي
хотирҷамъона	خاطرجمعانه
хотиф	خاطف
хотӣ	خاطي
хотун	خاتون
хохом	خاخام
хоҳ	خواه
хоҳам-нохоҳам	خواهم ناخواهم
хоҳанда	خواهنده
хоҳар	خواهر
хохарандар	خواهراندر
хоҳарарӯс	خواهرعروس
хоҳарзан	خواهرزن
хоҳарзода	خواهرزاده
хоҳарӣ	خواهري
хоҳарона	خواهرانه
хоҳархонд	خواهرخواند
хоҳархонда	خواهرخوانده
хоҳарча	خواهرچه
хоҳаршӯй	خواهرشوي
хоҳиш	خواهش
хоҳишгар	خواهشگر
хоҳишдор	خواهش دار
хоҳишманд	خواهش مند
хоҳ-нохоҳ	خواه ناخواه
хоҳон	خواهان
хоч	خاچ
хоҷ	خاج
хоҷа	خواجه
хоҷагидор	خاجگيدار
хоҷагидорӣ	خواجگيداري
хоҷагӣ	خواجگي
хоҷазода	خواجه زاده
хоҷасарой	خواجه سراي
хошок	خاشاک
хошокдаравӣ	خاشاک دروي
хоя	خايه
хоянда	خاينده
хоярез	خايه ريز
христианӣ	خرستياَني
хрестоматия	خرستامتيه
хром	خرام
хромгар	خرام گر
хромдор	خرام دار
хромосома	خراماسامه
хронология	خرانالاگيه
хронологӣ	خرانلاگي
хуб	خوب
хубӣ	خوبي
хубкирдор	خوب کردار
хубкор	خوب کار
хубманзар	خوب منظر
хубниҳод	خوب نهاد
хубонӣ	خوباني
хубрӯӣ	خوب روئي
хубрӯй	خوب روي
хубс	خبث
хубсимо	خوب سيما
хубсират	خوب سيرت
хубсиришт	خوب سرشت
хубсурат	خوب صور ت
хубфарҷом	خوب فرجام
хубхад	خوب خد
хубчеҳра	خوب چهره
хувора	خواره
худ	خود
худазобдиҳӣ	خودعذابدهي
худамалкунанда	خودعمل کننده
худангезӣ	خودانگيزي
худафрӯз	خودافروز
худафрӯзиш	خودافروزش
худбин	خودبين
худбинӣ	خودبيني
худбинона	خودبينانه
худбовар	خودباور
худбоварӣ	خودباوري
худбоварона	خودباورانه
худвижа	خودويژه
худвижагӣ	خودويژگي
худгард	خودگرد
худгудозӣ	خودگدازي
худгумкунӣ	خودگمکني
худдаргир	خوددرگير
худдаргирӣ	خوددرگيري
худдон	خوددان
худдонам	خوددانم
худдонамӣ	خوددانمي
худдор	خوددار
худдорӣ	خودداري
худдӯст	خوددوست
худдӯстӣ	خوددوستي
худидора	خوداداره
худӣ	خدي
худкарда	خودکرده
худкифоӣ	خودکفائي
худкомӣ	خودکامي
худкор	خودکار
худкушӣ	خودکشي
худмаблағгузорӣ	خودمبلغ گذاري
худманишӣ	خودمنشي
худмаҳдудкунӣ	خودمحدودکني
худмурда	خودمرده
худмухтор	خود مختار
худмухторӣ	خود مختاري
худнавис	خودنويس
худнамо	خودنما
худнамоӣ	خودنمايي
худо	خدا
худобезор	خدابيزار
худобехабар	خدابيخبر
худованд	خداوند
худогоҳ	خداگاه
худогоҳӣ	خداگاهي
худодод	خداداد
худодода	خداداده
худозада	خدازده
худозадагӣ	خدازدگي
худозмоӣ	خودآزمائي
худоӣ	خدائي
худой	خداي
худойгон	خدايگان
худойнамо	خداي نما
худомӯз	خودآموز
худомӯзанда	خودآموزنده
худомӯзӣ	خودآموزي
худонотарс	خداناترس
худонотарсӣ	خداناترسي
худоношинос	خداناشناس
худоношиносӣ	خداناشناسي
худопараст	خداپرست
худопарастӣ	خداپرستي
худописанд	خداپسند
худораҳматӣ	خدارحمتي
худоро	خودآرا
худороӣ	خودآرائي
худот	خدات
худотарс	خداترس
худотарсӣ	خداترسي
худоҳофизӣ	خداحافظي
худоҷӯй	خداجوي
худошинос	خداشناس
худошиносӣ	خداشناسي
худпараст	خودپرست
худпарастӣ	خودپرستي
худпарастона	خودپرستانه
худписанд	خودپسند
худписандӣ	خودپسندي
худписандона	خودپسندانه
худпур	خودپر
худрав	خودرو
худраста	خودرسته
худраъй	خودرأي
худрез	خودريز
худрӯй	خودروي
худсар	خودسر
худсарӣ	خودسري
худсарона	خودسرانه
худсито	خودستا
худситоёна	خودستايانه
худситоӣ	خودستايي
худсозӣ	خودسازي
худсохт	خودساخت
худсӯзӣ	خودسوزي
худсӯзонӣ	خودسوزاني
худфаоълиятӣ	خودفعاليتي
худфаъолӣ	خودفعالي
худфиребдиҳӣ	خودفريبدهي
худфиребӣ	خودفريبي
худфурӯз	خودفروز
худфурӯш	خودفروش
худфурӯшӣ	خودفروشي
худхизматгузорӣ	خودخذمتکذاري
худхизматрасонӣ	خودخذمترساني
худхоҳ	خودخواه
худхоҳӣ	خودخواهي
худхоҳона	خودخواهانه
худхӯр	خودخور
худҳаракат	خودحرکت
худчархзанӣ	خودچرخ زني
худшинос	خودشناس
худшиносӣ	خودشناسي
худшор	خودشار
худъа	خدعه
хук	خوک
хукбача	خوک بچه
хукбон	خوک بان
хукбонӣ	خوک باني
хукдорӣ	خوک داري
хукӣ	خوکي
хукпарвар	خوک پرور
хукпарварӣ	خوک پروري
хукпоӣ	خوک پايي
хуктинат	خوک طينت
хуксифат	خوک صفت
хукхона	خوک خانه
хулафо	خلفا
хулд	خلد
хулё	خليا
хулқ	خلق
хулқан	خلقاً
хулқон	خلقان
хуллас	خلص
хулоса	خلاصه
хулосавӣ	خلاصوي
хулосатан	خلاصتاً
хулус	خلوص
хулф	خلف
хум	خم
хумдон	خم دان
хумистон	خمستان
хумкалла	خم کله
хуммонанд	خم مانند
хуммор	خمار
хумо	خما
хумор	خمار
хуморгирифта	خمارگرفته
хуморин	خمارين
хуморӣ	خماري
хуморолуда	خمارآلوده
хуморона	خمارانه
хумохисрав	خماخسرو
хуморчашм	خمارچشم
хуморшикан	خمارشکن
хуморшиканӣ	خمارشکني
хумс	خمس
хумра	خمره
хумситон	خم ستان
хумул	خمول
хумхона	خمخانه
хумча	خمچه
хумчойник	خم چاينک
хун	خون
хунафшон	خون افشان
хунб	خنب
хунба	خنبه
хунбанд	خون بند
хунбаҳо	خون بها
хунбор	خون بار
хунгард	خون گرد
хунгардӣ	خون گردي
хунгарм	خون گرم
хунгармӣ	خون گرمي
хунгашта	خون گشته
хунгирифта	خون گرفته
хунгир	خون گير
хунгирӣ	خون گيري
хунгузарон	خون گذران
хунгузаронӣ	خون گذراني
хундор	خون دار
хундорӣ	خون داري
хунё	خنيا
хунёгар	خنياگر
хунёгарӣ	خنياگري
хунимардумхӯр	خون مردم خور
хунин	خونين
хуниндил	خونين دل
хунинҷигар	خنين جگر
хуниҷигар	خون جگر
хунӣ	خوني
хункашӣ	خون کشي
хунноқ	خناق
хунмак	خون مک
хунмаст	خون مست
хуноқ	خناق
хунолуд	خون آلود
хунолудагӣ	خون آلودگي
хуносо	خناثا
хунофар	خون آفر
хуношом	خون آشام
хуношомӣ	خون آشامي
хунпартоӣ	خون پرتايي
хунполой	خون پالاي
хунпош	خون پاش
хунрав	خون رو
хунравӣ	خون روي
хунранг	خون رنگ
хунрез	خون ريز
хунрезӣ	خون ريزي
хунсард	خون سرد
хунсардӣ	خون سردي
хунсардона	خون سردانه
хунсо	خنثا
хунтавон	خون توان
хунталаб	خون طلب
хунталабӣ	خون طلبي
хунташна	خون تشنه
хунук	خنک
хунукандом	خنک اندام
хунукбашара	خنک بشره
хунукзада	خنک زده
хунукзадагӣ	خنک زدگي
хунукӣ	خنکي
хунуккунанда	خنک کننده
хунукқиёфа	خنک قيافه
хунукназар	خنک نظر
хунукназарӣ	خنک نظري
хунукрӯй	خنک روي
хунукситора	خنک ستاره
хунуксухан	خنک سخن
хунуктарҳ	خنک طرح
хунукхона	خنک خانه
хунукхӯр	خنک خور
хунукхӯрда	خنک خورده
хунукхӯрӣ	خنک خوري
хунукшакл	خنک شکل
хунукшамоил	خنک شمايل
хунфишон	خون فشان
хунхор	خون خوار
хунхора	خون خواره
хунхорӣ	خون خواري
хунхорона	خون خوارانه
хунхоҳ	خون خواه
хунхоҳӣ	خون خواهي
хунхӯр	خون خور
хунхӯрӣ	خون خوري
хунхӯрона	خون خورانه
хунчакон	خون چکان
хунҷӯш	خون جوش
хунҷушӣ	خون جوشي
хуншинос	خون شناس
хуншиносӣ	خون شناسي
хуншор	خون شار
хуншорӣ	خون شاري
хур	خور
хурд	خرد
хурда	خرده
хурдабин	خرده بين
хурдабинӣ	خرده بيني
хурдагир	خورده گير
хурдагирӣ	خورده گيري
хурдагирона	خورده گيرانه
хурдакак	خوردکک
хурдакор	خورده کار
хурдамлок	خرد املاک
хурдандеш	خردانديش
хурдандоза	خرداندازه
хурдафурӯш	خرده فروش
хурдафурӯшӣ	خرده فروشي
хурдӣ	خردي
хурдкалла	خردکله
хурдманиш	خردمنش
хурдод	خرداد
хурдсол	خردسال
хурдсолӣ	خردسالي
хурдҳаҷм	خردحجم
хурдҷусса	خردجثه
хурёк	خرياک
хурма	خرمه
хурмача	خرمچه
хурмо	خرما
хурмозор	خرمازار
хурмоимӯй	خرمايي موي
хурмоиранг	خرمايي رنگ
хурмоӣ	خرمايي
хурной	خرناي
хуросонӣ	خراساني
хурофӣ	خرافي
хурофот	خرافات
хурофотӣ	خرافاتي
хурофотпараст	خرافات پرست
хурофотпарастӣ	خرافات پرستي
хуррок	خراک
хуррам	خرم
хуррамдил	خرم دل
хуррамӣ	خرمي
хуррамона	خرمانه
хурроккашӣ	خراک کشي
хуррос	خراس
хурсанд	خرسند
хурсандибахш	خرسندي بخش
хурсандиовар	خرسندي آور
хурсандӣ	خرسندي
хурсандкунанда	خرسندکننده
хурсандона	خرسندانه
хуруҷ	خروج
хурӯс	خروس
хурӯсак	خروسک
хурӯсбоз	خروس باز
хурӯсбозӣ	خروس بازي
хурӯсбонг	خروس بانگ
хурӯсвор	خروس وار
хурӯсӣ	خروسي
хурӯсчӯҷа	خروس چوجه
хурӯсҷанг	خروس جنگ
хурӯш	خروش
хурӯшидан	خروشيدن
хурӯшон	خروشان
хурӯҷ	خروج
хур-хур	خرخر
хурфа	خرفه
хуршед	خورشيد
хуршедваш	خورشيدوش
хуршедвор	خورشيدوار
хуршедӣ	خورشيدي
хуршеднамо	خورشيدنما
хуршедпараст	خورشيدپرست
хуршедрӯй	خورشيدروي
хуршедсавор	خورشيدسوار
хуршедсимо	خورشيدسيما
хуршедталъат	خورشيدطلعت
хуршедтоб	خورشيدتاب
хуршедфом	خرشيدفام
хуршедҳуш	خورشيدهوش
хусбидан	خسبيدن
хуспидан	خسپيدن
хусрав	خسرو
хусравӣ	خسرو
хусравона	خسروانه
хусумат	خصومت
хусуматгарӣ	خصومت گري
хусуматомез	خصومت آميز
хусур	خسر
хусус	خصوص
хусусан	خصوصاً
хусусигардонӣ	خصوصي گرداني
хусусишуда	خصوصي شده
хусусият	خصوصيت
хусусӣ	خصوصي
хусуф	خسوف
хутабо	خطبا
хутба	خطبه
хуфа	خوفه
хуфия	خوفيه
хуфиягӣ	خوفيگي
хуфият	خوفيت
хуфиятан	خوفيتاً
хуфт	خفت
хуфта	خفته
хуфтааркон	خفته ارکان
хуфтагӣ	خفتگي
хуфтан	خفتن
хуфтидан	خفتيدن
хуфтухез	خفت و خيز
хуфтухоб	خفت و خواب
хуч	خوچ
хучдор	خوچ دار
хуҷиста	خجسته
хуҷаста	خجسته
хуҷастаахтар	خجسته اختر
хуҷасталиқо	خجسته لقا
хуҷастаном	خجسته نام
хуҷастапай	خجسته پي
хуҷастатолеъ	خجسته طالع
хуҷастафарҷом	خجسته فرجام
хуш	خوش
хушадо	خوش ادا
хушадоӣ	خوش ادايي
хушандом	خوش اندام
хушандомӣ	خوش اندامي
хушатвор	خوش اطوار
хушатворӣ	خوش اطواري
хушахлоқ	خوش اخلاق
хушахлоқӣ	خوش اخلاقي
хушахтар	خوش اختر
хушахтарӣ	خوش اختري
хушбаён	خوش بيان
хушбаёнӣ	خوش بياني
хушбаст	خوش بست
хушбахт	خوش بخت
хушбахтӣ	خوش بختي
хушбахтона	خوش بختانه
хушбаҳр	خوش بهر
хушбин	خوش بين
хушбинӣ	خوش بيني
хушбинона	خوش بينانه
хушбовар	خوش باور
хушбод	خوش باد
хушбодуҳаво	خوش بادوهوا
хушбор	خوش بار
хушбофт	خوش بافت
хушбош	خوش باش
хушбошӣ	خوش باشي
хушбӯгулак	خوش بوگلک
хушбӯӣ	خوش بويي
хушбӯй	خوش بوي
хушвақт	خوش وقت
хушвақтӣ	خوش وقتي
хушгап	خوش گپ
хушгапӣ	خوش گپي
хушгил	خوش گل
хушгилӣ	خوش گلي
хушгувор	خوش گوار
хушгуворӣ	خوش گواري
хушгузаронӣ	خوش گذراني
хушгуфтор	خوش گفتار
хушгуфторӣ	خوش گفتاري
хушгӯй	خوش گوي
хушдаромад	خوش درامد
хушдил	خوش دل
хушдилӣ	خوش دلي
хушдимоғӣ	خوش دماغي
хушдоман	خوش دامن
хушдор	خوش دار
хушдӯхт	خوش دوخت
хушзабон	خوش زبان
хушзабонӣ	خوش زباني
хушзавқ	خوش ذوق
хушзавқӣ	خوش ذوقي
хушзеб	خوش زيب
хушзеҳн	خوش ذهن
хушзеҳнӣ	خوش ذهني
хушзот	خوش ذات
хушзотӣ	خوش ذاتي
хушзоткунӣ	خوش ذات کني
хушибора	خوش عباره
хушиқбол	خوش اقبال
хушилҳон	خوش الحان
хушистеъдод	خوش استعداد
хушифода	خوش افاده
хушиҷора	خوش اجاره
хушӣ	خوشي
хушк	خشک
хушка	خشکه
хушкандом	خشک اندام
хушканор	خوش کنار
хушкалом	خوش کلام
хушкаломӣ	خوش کلامي
хушкашӯӣ	خشکه شويي
хушкбадан	خشک بدن
хушкбанд	خشک بند
хушкборгир	خشک بارگير
хушкдаст	خشک دست
хушкигард	خشکي گرد
хушкида	خشکيده
хушкидан	خشکيدن
хушкитобовар	خشکي تاب آور
хушкитобоварӣ	خشکي تاب آوري
хушкитф	خش کتف
хушкӣ	خشکي
хушкком	خشک کام
хушккунак	خشک کنک
хушклаб	خشک لب
хушкмағз	خشک مغز
хушкмонда	خشک مانده
хушкомӣ	خوش کامي
хушконҷ	خشک آنج
хушкпаҳлу	خشک پهلو
хушкпой	خشک پاي
хушкрӯд	خشک رود
хушксар	خشک سر
хушксол	خشک سال
хушксолӣ	خشک سالي
хушксор	خشک سار
хушктинат	خشک طينت
хушктинатӣ	خشک طينتي
хушкшуда	خشک شده
хушқавл	خوش قول
хушқад	خوش قد
хушқадам	خوش قدم
хушқалам	خوش قلم
хушқаламӣ	خش قلمي
хушқариҳа	خوش قريحه
хушқиёфа	خوش قيافه
хушқомат	خوش قامت
хушлаҳн	خوش لحن
хушлаҳҷа	خوش لهجه
хушлибос	خوش لباس
хушлиқо	خوش لقا
хушмаза	خوش مزه
хушмазагӣ	خوش مزگي
хушмазмун	خوش مضمون
хушмаишат	خوش معيشت
хушмақол	خوش مقال
хушмақолӣ	خوش مقالي
хушманзар	خوش منظر
хушманзара	خوش منظره
хушманзарӣ	خوش منظري
хушманиш	خوش منش
хушманишӣ	خوش منشي
хушмаош	خوش معاش
хушмаҳзар	خوش محضر
хушмашом	خوش مشام
хушмизоҷ	خوش مزاج
хушмуомила	خوش معامله
хушмуомилагӣ	خوش معاملگي
хушмуошират	خوش معاشرت
хушмуоширатӣ	خوش معاشرتي
хушмӯйлаб	خوش مويلب
хушнавис	خوش نويس
хушнависӣ	خوش نويسي
хушнаво	خوش نوا
хушнавоз	خوش نواز
хушнавоӣ	خوش نوايي
хушназар	خوش نظر
хушнақш	خوش نقش
хушнамак	خوش نمک
хушнамо	خوش نما
хушнамоӣ	خوش نمايي
хушнамуд	خوش نمود
хушнамун	خوش نمون
хушнасл	خوش نسل
хушнигоҳ	خوش نگاه
хушниҳод	خوش نهاد
хушният	خوش نيت
хушном	خوش نام
хушномӣ	خوش نامي
хушнуд	خوشنود
хушнудӣ	خوشنودي
хушнудона	خوشنودانه
хушо	خوشا
хушоб	خوشآب
хушобунамак	خوشآب و نمک
хушобуранг	خوشآب و رنگ
хушобуҳаво	خوشآب وهوا
хушово	خوش آوا
хушовоз	خوش آواز
хушовозӣ	خوش آوازي
хушодоб	خوش آداب
хушодобӣ	خوش آدابي
хушомад	خوش آمد
хушомадгӯй	خوش آمدگوي
хушомадгӯёна	خوش آمدگويانه
хушомадгӯӣ	خوش آمدگويي
хушомадомез	خوش آمدآميز
хушоҳанг	خوش آهنگ
хушоҳангӣ	خوش آهنگي
хушоянд	خوش آيند
хушпазирӣ	خوش پذيري
хушпарвоз	خوش پرواز
хушпоиқадам	خوش پايقدم
хушпул	خوش پول
хушпулӣ	خوش پولي
хушпӯшок	خوش پوشاک
хушравиш	خوش روش
хушранг	خوش رنگ
хушрангӣ	خوش رنگي
хушрафтор	خوش رفتار
хушрафторӣ	خوش رفتاري
хушрехт	خوش ريخت
хушроҳ	خوش راه
хушрӯй	خوش روي
хушрӯзӣ	خوش روزي
хушрӯӣ	خوش رويي
хушрӯйбоз	خوش روي باز
хушсавод	خوش سواد
хушсадо	خوش صدا
хушсадоӣ	خوش صدايي
хушсалиқа	خوش سليقه
хушсаранҷом	خوش سرانجام
хушсарулибос	خوش سرولباس
хушсимо	خوش سيما
хушсифат	خوش صفت
хушсохт	خوش ساخت
хушсохтӣ	خوش ساختي
хушсулук	خوش سلوک
хушсурат	خوش صورت
хушсухан	خوش سخن
хушсӯҳбат	خوش صحبت
хуштабиат	خوش طبيعت
хуштабиатӣ	خوش طبيعتي
хуштабъ	خوش طبع
хуштабъӣ	خوش طبعي
хуштавозӯъ	خوش تواضع
хуштакаллум	خوش تکلم
хуштарбия	خوش تربيه
хуштарҳ	خوش ترح
хуштаъм	خوش طعم
хуштаъмӣ	خوش طعمي
хуштинат	خوش طينت
хуштинатӣ	خوش طينتي
хуштолеӣ	خوش طالعي
хуштолеъ	خوش طالع
хушу	خشو
хушунат	خشونت
хушунатомез	خشونت آميز
хушфаҳм	خوش فهم
хушфеъл	خوش فعل
хушфеълӣ	خوش فعلي
хушфитрат	خوش فطرت
хушфитратӣ	خوش فطرتي
хушхабар	خوش خبر
хушханда	خوش خنده
хушхат	خوش خط
хушхатӣ	خوش خطي
хушхиром	خوش خرام
хушхиромӣ	خوش خرامي
хушхисол	خوش خصال
хушхок	خوش خاک
хушхон	خوش خان
хушхулқ	خوش خلق
хушхулқӣ	خوش خلقي
хушхӯ	خوش خو
хушхӯр	خوش خور
хушхӯрак	خوش خورک
хушхӯрок	خوش خوراک
хушҳаво	خوش هوا
хушҳавсала	خوش حوصله
хушҳол	خوشحال
хушҳолӣ	خوشحالي
хушҳолкунанда	خوشحال کننده
хушҳолона	خوشحالانه
хушчақчақ	خوش چق چق
хушчоп	خوش چاپ
хушҷинс	خوش جنس
хушҷиҳоз	خوش جهاز
хӯд	خود
хӯй	خوي
хӯйгир	خوي گير
хӯл	خول
хӯла	خوله
хӯлагӣ	خولگي
хӯлагин	خولگين
хӯр	خور
хӯра	خوره
хӯранда	خورنده
хӯрд	خورد
хӯрда	خورده
хӯрдагирӣ	خورده گيري
хӯрдан	خوردن
хӯрданбоб	خوردنباب
хӯрданӣ	خوردني
хӯрдашуда	خورده شده
хӯрдхон	خورد خوان
хӯрдухоб	خوردو خواب
хӯрдухӯрок	خوردوخوراک
хӯриш	خورش
хӯришгар	خورش گر
хӯришхона	خورش خانه
хӯрӣ	خوري
хӯроба	خورابه
хӯрок	خوراک
хӯрокворӣ	خوراکواري
хурокдиҳӣ	خوراک دهي
хӯрокӣ	خوراکي
хӯрокнома	خوراک نامه
хӯрокпаз	خوراکپز
хӯрокпазӣ	خوراک پزي
хӯрокхӯрӣ	خوراک خوري
хӯрхӯрак	خورخورک
хӯрҷин	خورجين
хӯса	خوسه
хӯсидан	خوسيدن
хӯсондан	خوسانيدن
хӯтик	خوتک
хӯҷа	خوجه
хӯҷаин	خوجئن
хӯҷаинӣ	خوجئني
хӯҷаиншинос	خوجئن شناس
хӯш	خوش
хӯша	خوشه
хӯшабандӣ	خوشه بندي
хӯшавор	خوشه وار
хӯшагул	خوشه گل
хӯшадор	خوشه دار
хӯшачин	خوشه چين
хӯшачинӣ	خوشه چيني
хӯшидан	خوشيدن
хӯшонидан	خشانيدن
ҳа	هه
ҳабб	حب
ҳабак	هبک
ҳабаш	حبش
ҳабашизода	حبشي زاده
ҳабашӣ	حبشي
ҳаббат	حبة
ҳаббазо	حبذا
ҳаббот	حبات
ҳабдаҳ	هبده
ҳабдаҳсола	هبده ساله
ҳабдаҳсолагӣ	هبده سالگي
ҳабдаҳум	هبدهم
ҳабдаҳумин	هبدهمين
ҳабиб	حبيب
ҳабиба	حبيبه
ҳабк	هبک
ҳабл	حبل
ҳаблулварид	حبل الوريد
ҳаблулматин	حبل المتين
ҳабоъ	هباء
ҳабоб	حباب
ҳабоил	حبائل
ҳапок	هپاک
ҳабола	حباله
ҳабр	حبر
ҳабс	حبس
ҳабсгоҳ	حبسگاه
ҳабсхона	حبس خانه
ҳавал	حول
ҳавас	هوس
ҳавасакӣ	هوسکي
ҳавасангез	هوس انگيز
ҳавасангезона	هوس انگيزانه
ҳавасбоз	هوس باز
ҳавасбозӣ	هوس بازي
ҳавасдор	هوس دار
ҳаваскор	هوس کار
ҳавасманд	هوسمند
ҳавасмандӣ	هوسمندي
ҳавасмандгардонӣ	هوسمندگرداني
ҳаваснок	هوسناک
ҳаваснокӣ	هوسناکي
ҳавасобод	هوس آباد
ҳавасороӣ	هوس آرائي
ҳаваспеша	هوس پيشه
ҳавасрон	هوس ران
ҳавасронӣ	هوس راني
ҳавваз	هوز
ҳавво	حوا
ҳавдаҷ	هودج
ҳавз	حوض
ҳавза	حوزه
ҳавзавӣ	حوزوي
ҳавзак	حوضک
ҳавзан	هوزن
ҳавзгардак	حوض گردک
ҳавл	هول
ҳавлак	هولک
ҳавлангез	هول انگيز
ҳавлибон	حولي بان
ҳавлибонӣ	حولي باني
ҳавлидармиён	حولي درميان
ҳавлидор	حولي دار
ҳавлипой	حولي پاي
ҳавлипойӣ	حولي پائي
ҳавлирӯбӣ	حولي روبي
ҳавлисозӣ	حولي سازي
ҳавлӣ	حولي
ҳавлнок	هولناک
ҳаво	هوا
ҳавоангез	هواانگيز
ҳавобаланд	هوابلند
ҳавобаландӣ	هوابلندي
ҳавобаландона	هوابلندانه
ҳавобаро	هوابرا
ҳавобора	هواباره
ҳавоборонак	هوابارانک
ҳавобурд	هوابرد
ҳавогармкунак	هواگرمکنک
ҳавогир	هواگير
ҳавогирифта	هواگرفته
ҳавогирӣ	هواگيري
ҳавогузар	هواگذر
ҳавогузарӣ	هواگذري
ҳавогузарон	هواگذران
ҳавогузаронӣ	هواگذراني
ҳаводамак	هوادمک
ҳаводарояк	هوادرايک
ҳаводис	حوادث
ҳаводиҳӣ	هوادهي
ҳаводор	هوادار
ҳаводорӣ	هواداري
ҳавозадагӣ	هوازدگي
ҳавоиҷ	حوائج
ҳавоӣ	هوائي
ҳавокаш	هواکش
ҳавола	حواله
ҳаволагаҳ	هواله گه
ҳаволагоҳ	هواله گاه
ҳаволадиҳӣ	حواله دهي
ҳаволадор	حواله دار
ҳаволӣ	حوالي
ҳавомм	هوام
ҳавон	هوان
ҳавонавард	هوانورد
ҳавонавардӣ	هوانوردي
ҳавоногузар	هواناگذر
ҳавоногузарӣ	هواناگذري
ҳавопаймо	هواپيما
ҳавопаймобар	هواپيمابر
ҳавопаймозадагӣ	هواپيمازدگي
ҳавопаймоӣ	هواپيمائي
ҳавопайморабо	هواپيماربا
ҳавопайморабоӣ	هواپيماربائي
ҳавопараст	هواپرست
ҳавопарастӣ	هواپرستي
ҳавопарвар	هواپرور
ҳаворанг	هوارنگ
ҳавориюн	حواريون
ҳавосс	حواس
ҳавосанҷ	هواسنج
ҳавосанҷӣ	هواسنجي
ҳавосида	هواسيده
ҳавосидан	هواسيدن
ҳавосил	حواصل
ҳавософкунак	هواصافکنک
ҳавотозакунак	هواتازه کنک
ҳавофишор	هوافشار
ҳавофишорӣ	هوافشاري
ҳавохоҳ	هواخواه
ҳавохоҳӣ	هواخواهي
ҳавохӯрӣ	هواخوري
ҳавоҷиб	حواجب
ҳавоҷис	هواجس
ҳавоҷӯӣ	هواجوئي
ҳавоҷӯй	هواجوي
ҳавошинос	هواشناس
ҳавошиносӣ	هواشناسي
ҳавошӣ	حواشي
ҳавошуда	هواشده
ҳавр	حور
ҳавсала	حوصله
ҳавсаланок	حوصله ناک
ҳавуҷ	هوج
ҳадд	حد
ҳадаба	حدبه
ҳадақа	حدقه
ҳадар	هدر
ҳадаф	هدف
ҳадафгирӣ	هدف گيري
ҳадафдор	هدف دار
ҳадафманд	هدفمند
ҳадафмандӣ	هدفمندي
ҳадаҳа	هدهه
ҳадбандӣ	حدبندي
ҳадалимкон	حتي الامکان
ҳадгузор	حدگذار
ҳадгузорӣ	حدگذاري
ҳаддод	حداد
ҳаддодӣ	حدادي
ҳадзада	حدزده
ҳадид	حديد
ҳадида	حديده
ҳадидакашак	حديده کشک
ҳадидакашӣ	حديده کشي
ҳадиқа	حديقه
ҳадис	حديث
ҳадия	هديه
ҳадм	هدم
ҳадоё	هدايا
ҳадоиқ	حدايق
ҳадосат	حداثت
ҳадс	حدس
ҳаё	حيا
ҳаёзада	حيازده
ҳаёт	حيات
ҳаётан	حياتاً
ҳаётбахш	حيات بخش
ҳаётбахшанда	حيات بخشنده
ҳаётдӯст	حيات دوست
ҳаётдӯстӣ	حيات دوستي
ҳаётӣ	حياتي
ҳаётозмуда	حيات آزموده
ҳаётфаҳмӣ	حيات فهمي
ҳаётшинос	حيات شناس
ҳаётшиносӣ	حيات شناسي
ҳаёҳу	هياهو
ҳаёҳукунон	هياهوکنان
ҳаждаҳ	هژده
ҳаждаҳсола	هژده ساله
ҳаждаҳсолагӣ	هژده سالگي
ҳаждаҳум	هژدهم
ҳаждаҳумин	هژدهمين
ҳужир	هژير
ҳажир	هژير
ҳазаён	هذيان
ҳазар	حذر
ҳазаҷ	هزج
ҳазён	هذيان
ҳазёнгӯй	هذيان گوي
ҳазёномез	هذيان آميز
ҳазёнсаро	هذيان سرا
ҳазин	حزين
ҳазинона	حزينانه
ҳазл	هزل
ҳазлбардор	هزل بردار
ҳазлбоз	هزل باز
ҳазлбозӣ	هزل بازي
ҳазлгӯӣ	هزل گويي
ҳазлгӯй	هزل گوي
ҳазлдӯст	هزل دوست
ҳазлиёт	هزليات
